replicate,copy_edit_bits_per_event,matched_trigram_bits_per_event,delta_copy_minus_trigram_bits_per_event
1,3.441101586711786,2.34646119659849,1.094640390113296
2,3.4938797006330837,2.3837095182872208,1.110170182345863
3,3.498908239265734,2.373257791498846,1.1256504477668878
4,3.482679387746395,2.328992101217106,1.1536872865292889
5,3.422689486555014,2.2482616782929306,1.1744278082620836
6,3.47652807672,2.3100170365971437,1.1665110401228564
7,3.520628734084444,2.4862322057536126,1.0343965283308316
8,3.45900968687328,2.2759624371053158,1.1830472497679643
9,3.477429670433788,2.343187228689678,1.1342424417441097
10,3.4116908201119043,2.257881712581549,1.1538091075303551
11,3.521109271159398,2.499991496458315,1.0211177747010831
12,3.511980090095631,2.3536294249776146,1.1583506651180162
13,3.503191760510286,2.3446195142540285,1.1585722462562575
14,3.533733974304269,2.3753010842319813,1.1584328900722878
15,3.5295620732842345,2.5000857087536206,1.029476364530614
16,3.404067580290387,2.1803961763113677,1.223671403979019
17,3.5157642656000587,2.3906607151196777,1.125103550480381
18,3.475961496952061,2.3387400027081395,1.1372214942439216
19,3.4154859988156723,2.269790448730927,1.1456955500847452
20,3.5177953954278833,2.4591250947122387,1.0586703007156446
21,3.4611827352660334,2.3426883068570397,1.1184944284089937
22,3.4657412671020977,2.345351465661799,1.1203898014402989
23,3.453895424839204,2.2929342719989996,1.1609611528402044
24,3.4454517845798835,2.335588759212561,1.1098630253673227
25,3.5208626127555473,2.3930514729322416,1.1278111398233057
26,3.4665024807800835,2.4035334318887345,1.062969048891349
27,3.439623974836958,2.25874783883131,1.1808761360056481
28,3.518727557442305,2.3817919940972865,1.1369355633450184
29,3.4780486044113554,2.3478703386135082,1.1301782657978472
30,3.4707677617718016,2.351833627102567,1.1189341346692347
31,3.496940468416928,2.449520830498789,1.0474196379181389
32,3.454566774387776,2.3047723124610187,1.1497944619267573
33,3.468977408613545,2.337615162371336,1.131362246242209
34,3.450524822351479,2.311245948940541,1.1392788734109383
35,3.504251860421938,2.379305301007034,1.1249465594149042
36,3.3648858045246612,2.169086646955562,1.1957991575690992
37,3.503056796736068,2.402180975048674,1.1008758216873944
38,3.4132338110521623,2.207282693246007,1.2059511178061553
39,3.5276034202843887,2.4437976482082524,1.0838057720761363
40,3.4388013782875526,2.290340311149017,1.1484610671385358
41,3.498551671791512,2.36483746669026,1.1337142051012523
42,3.502786592581715,2.4347957906842765,1.0679908018974387
43,3.440795249483514,2.2606613139474483,1.1801339355360656
44,3.488051541578917,2.365285349742132,1.122766191836785
45,3.402186994292455,2.2253618719778796,1.1768251223145754
46,3.496652897036335,2.387567087372881,1.109085809663454
47,3.4241182556125453,2.3028950181225305,1.1212232374900148
48,3.4317553417069133,2.281091827111867,1.1506635145950463
49,3.412703511776809,2.225506979371696,1.187196532405113
50,3.4811817628635913,2.3456190577872804,1.1355627050763109
51,3.4482900249219517,2.2787174325192017,1.16957259240275
52,3.4507457090208944,2.281321793869923,1.1694239151509715
53,3.5219915333764984,2.434148945919557,1.0878425874569415
54,3.4916943061152166,2.3925154364999655,1.0991788696152511
55,3.4837245613301113,2.364852206475574,1.1188723548545374
56,3.4838539453070667,2.303029678034811,1.1808242672722558
57,3.5183493141727924,2.425206996148757,1.0931423180240354
58,3.4642594795881405,2.3175121361196447,1.1467473434684958
59,3.5379635060779555,2.51806846988976,1.0198950361881955
60,3.4223411436725475,2.2782660356119266,1.1440751080606208
61,3.4670518590469674,2.3619014567228094,1.105150402324158
62,3.5225109997703616,2.4798837141968644,1.0426272855734973
63,3.5064459292826244,2.3993479621269924,1.107097967155632
64,3.4358354078719455,2.2734275643325956,1.16240784353935
65,3.501226419944841,2.412199011417534,1.0890274085273073
66,3.4161904969183414,2.2741865737950295,1.142003923123312
67,3.4906308478697405,2.3175592936311618,1.1730715542385788
68,3.4471255485540317,2.2614905001291703,1.1856350484248614
69,3.4863518123720647,2.372528605896255,1.1138232064758098
70,3.509443972333449,2.435269139089701,1.074174833243748
71,3.5109600434016404,2.395145922438277,1.1158141209633632
72,3.4583783914548567,2.3335240343085064,1.1248543571463503
73,3.480554694288234,2.3813348829648855,1.0992198113233487
74,3.5052742695319554,2.441665239936177,1.0636090295957783
75,3.4442974805318416,2.35832230206371,1.0859751784681317
76,3.48427984798017,2.318242485845543,1.166037362134627
77,3.4479205127358785,2.270642336348056,1.1772781763878224
78,3.4798591053848926,2.335861535985424,1.1439975693994686
79,3.527498318290446,2.4364994186815037,1.0909988996089424
80,3.4307784276435167,2.3242083404527563,1.1065700871907604
81,3.4673258783998944,2.371570294051555,1.0957555843483395
82,3.476305591853805,2.320761368024531,1.1555442238292741
83,3.473020963982657,2.3481798380767294,1.1248411259059274
84,3.4669578056467634,2.291758071402483,1.1751997342442801
85,3.4890430478338113,2.349101689748707,1.139941358085104
86,3.449734158502223,2.3394026319394876,1.1103315265627356
87,3.479184231755442,2.323005327704663,1.1561789040507788
88,3.4835525230016837,2.3348273380587385,1.1487251849429452
89,3.4420432676659924,2.3311457933190223,1.1108974743469702
90,3.500792857583556,2.381886277871708,1.1189065797118478
91,3.4355379289899886,2.2564735538459746,1.179064375144014
92,3.45773084791401,2.3055209642396877,1.1522098836743222
93,3.48652214740022,2.3579310623271574,1.1285910850730625
94,3.500679460043568,2.405832848764079,1.0948466112794888
95,3.5077782799584702,2.428530041204835,1.0792482387536353
96,3.481699523504065,2.411973302969008,1.069726220535057
97,3.4444390706202634,2.284550417858444,1.1598886527618193
98,3.4940568149554934,2.3339206039829903,1.160136210972503
99,3.4888771080077885,2.3430581955852814,1.145818912422507
100,3.5164527204247276,2.4686617266866637,1.0477909937380638
101,3.3945766382462326,2.221704609411535,1.1728720288346977
102,3.3646332732589217,2.183237553510199,1.1813957197487226
103,3.41645111227171,2.293488134833188,1.122962977438522
104,3.5350617810105516,2.4671898759506097,1.067871905059942
105,3.4955584505091255,2.3636135164666237,1.1319449340425018
106,3.5183984920451294,2.4201228885333896,1.0982756035117398
107,3.4234701478394465,2.267180461436579,1.1562896864028676
108,3.426050140934503,2.2796235505279268,1.1464265904065765
109,3.522988952322528,2.423709529542404,1.0992794227801244
110,3.462528772011321,2.3390629137578225,1.1234658582534984
111,3.4107649722472684,2.2970559398123567,1.1137090324349117
112,3.4160515440299157,2.263102941692403,1.1529486023375126
113,3.522416100430049,2.455913109667464,1.0665029907625851
114,3.4359991447922593,2.2851253052375573,1.150873839554702
115,3.464529755607397,2.3544234211315653,1.1101063344758315
