view,hidden_states,restart,seed,iterations,converged,training_log_likelihood_nats,training_events,training_bits_per_event
space_free,2,0,40814061438,50,False,-302172.7370942416,111070,3.9249402115576384
space_free,2,1,40814061439,50,False,-297503.9319162761,111070,3.8642968148066927
space_free,2,2,40814061440,50,False,-288487.72815735365,111070,3.747184791302219
space_free,2,3,40814061441,50,False,-288480.2492764322,111070,3.747087647659321
space_free,2,4,40814061442,32,True,-301619.7568543976,111070,3.917757517313175
space_free,4,0,40814081438,50,False,-270149.9390945865,111070,3.5089941246800707
space_free,4,1,40814081439,50,False,-269316.0755457439,111070,3.498163019911067
space_free,4,2,40814081440,49,True,-265319.3239151627,111070,3.4462489678978825
space_free,4,3,40814081441,50,False,-268267.8749859972,111070,3.484547878564136
space_free,4,4,40814081442,47,True,-277931.94660391484,111070,3.6100750974168014
space_free,8,0,40814121438,50,False,-227872.51935427182,111070,2.959850127192602
space_free,8,1,40814121439,50,False,-231641.2989901399,111070,3.0088030369870578
space_free,8,2,40814121440,50,False,-239054.77325559256,111070,3.1050971088203743
space_free,8,3,40814121441,50,False,-243432.48159608128,111070,3.1619594308990755
space_free,8,4,40814121442,50,False,-233498.1218595252,111070,3.032921423099162
space_free,16,0,40814201438,50,False,-208630.97304921027,111070,2.7099205023312742
space_free,16,1,40814201439,50,False,-208905.60278533702,111070,2.7134876848143095
space_free,16,2,40814201440,50,False,-208765.488987835,111070,2.711667738106681
space_free,16,3,40814201441,50,False,-208595.26585186023,111070,2.7094566993553046
space_free,16,4,40814201442,50,False,-209062.57333157185,111070,2.7155265848648957
token_aware,2,0,40815061438,50,False,-363563.62177247554,134699,3.89395195345757
token_aware,2,1,40815061439,50,False,-348568.3659836669,134699,3.7333451103230577
token_aware,2,2,40815061440,34,True,-348107.65111722355,134699,3.728410618952805
token_aware,2,3,40815061441,29,True,-362935.16243105615,134699,3.8872208331428975
token_aware,2,4,40815061442,50,False,-348046.3536333679,134699,3.727754091614239
token_aware,4,0,40815081438,50,False,-315143.69005798927,134699,3.3753497710755807
token_aware,4,1,40815081439,46,True,-317902.03099447244,134699,3.404893010373165
token_aware,4,2,40815081440,50,False,-317931.972835246,134699,3.405213702770281
token_aware,4,3,40815081441,50,False,-325649.60818236123,134699,3.487873516448723
token_aware,4,4,40815081442,50,False,-315985.6774743489,134699,3.384367886058416
token_aware,8,0,40815121438,46,True,-262496.17803510756,134699,2.8114680458173864
token_aware,8,1,40815121439,50,False,-258647.661080954,134699,2.7702484649405097
token_aware,8,2,40815121440,48,True,-255728.71281352214,134699,2.7389850391538637
token_aware,8,3,40815121441,41,True,-270345.0277822091,134699,2.895533232692018
token_aware,8,4,40815121442,50,False,-265033.2987936791,134699,2.8386419040979054
token_aware,16,0,40815201438,50,False,-226444.32642595534,134699,2.4253343140792984
token_aware,16,1,40815201439,50,False,-227914.86024256833,134699,2.4410844818213535
token_aware,16,2,40815201440,50,False,-229101.44635130017,134699,2.4537934246839965
token_aware,16,3,40815201441,50,False,-226015.9357597241,134699,2.420746031391714
token_aware,16,4,40815201442,50,False,-235315.67441763892,134699,2.52035097904045
