templates,restart,seed,iterations,converged,training_log_likelihood_nats,training_tokens,training_glyphs,training_bits_per_token,training_bits_per_event
1,0,40814051438,5,True,-295728.98505736404,27367,110675,15.589824978601435,3.0907023962952254
1,1,40814051439,5,True,-295728.98505736404,27367,110675,15.589824978601435,3.0907023962952254
1,2,40814051440,5,True,-295728.98505736404,27367,110675,15.589824978601435,3.0907023962952254
1,3,40814051441,5,True,-295728.98505736404,27367,110675,15.589824978601435,3.0907023962952254
1,4,40814051442,5,True,-295728.98505736404,27367,110675,15.589824978601435,3.0907023962952254
2,0,40814061438,50,False,-282932.0942100008,27367,110675,14.91521647331082,2.9569604122303157
2,1,40814061439,50,False,-282937.9928311393,27367,110675,14.915527428529314,2.9570220594932106
2,2,40814061440,50,False,-287182.12202388246,27367,110675,15.13926346606586,3.0013780101405687
2,3,40814061441,50,False,-282931.7323180367,27367,110675,14.915197395598906,2.9569566300499504
2,4,40814061442,50,False,-282947.09009289456,27367,110675,14.916007005188064,2.95711713616857
4,0,40814081438,50,False,-275304.0887124249,27367,110675,14.513094000872243,2.8772391266561677
4,1,40814081439,50,False,-273942.35323526146,27367,110675,14.44130794394579,2.8630074506451977
4,2,40814081440,50,False,-275730.0544431529,27367,110675,14.535549463557592,2.8816909503569974
4,3,40814081441,50,False,-275066.1517665814,27367,110675,14.500550775388533,2.874752416438895
4,4,40814081442,50,False,-275716.9672828027,27367,110675,14.534859553032632,2.8815541747283
8,0,40814121438,50,False,-266939.1528712909,27367,110675,14.072123070358911,2.7898160854414766
8,1,40814121439,50,False,-266830.63198208733,27367,110675,14.06640221865113,2.7886819194000774
8,2,40814121440,50,False,-268818.32455551636,27367,110675,14.171186601977686,2.809455555094271
8,3,40814121441,50,False,-267612.514922457,27367,110675,14.107620424542421,2.796853480523699
8,4,40814121442,50,False,-268164.90748521546,27367,110675,14.136740679262179,2.802626607622086
16,0,40814201438,50,False,-265154.27793204016,27367,110675,13.978030542004905,2.7711621234337973
16,1,40814201439,43,True,-268335.90032287047,27367,110675,14.145754839342288,2.80441367618754
16,2,40814201440,50,False,-264465.9517979269,27367,110675,13.941744332329039,2.7639683367587318
16,3,40814201441,50,False,-265510.22620430216,27367,110675,13.996794922726409,2.774882185496107
16,4,40814201442,50,False,-264566.6108265159,27367,110675,13.947050733519012,2.765020337464067
