view,order,leaf_group,total_bits,total_events,glyph_bits,glyph_events,boundary_bits,boundary_events,oov_events,bits_per_event,glyph_bits_per_glyph
token_reset_eot,3,f102,7090.137851405316,2855,6751.478720765781,2296,338.65913063953656,559,1,2.483410806096433,2.9405395125286504
token_reset_eot,3,f106,10493.947919282562,4688,10110.888357674514,3813,383.05956160804266,875,1,2.238470119300888,2.6516885281076616
token_reset_eot,3,f11,1278.4535224777806,466,1200.4680256775002,357,77.98549680028025,109,1,2.743462494587512,3.3626555341106448
token_reset_eot,3,f113,12201.610887549416,5293,11664.160988659622,4263,537.449898889796,1030,2,2.305235384007069,2.736139101257242
token_reset_eot,3,f17,2709.5072366047393,1024,2567.8816483710048,809,141.62558823373405,215,1,2.6460031607468157,3.174142952250933
token_reset_eot,3,f27,1890.3373802831184,673,1731.139994919351,518,159.1973853637676,155,1,2.808822258964515,3.3419691021609093
token_reset_eot,3,f30,2001.8762164957295,777,1878.542656785767,615,123.33355970996283,162,0,2.576417267047271,3.0545409053427104
token_reset_eot,3,f33,1906.047226230359,846,1855.7271247767048,658,50.320101453653855,188,0,2.2530109057096444,2.8202539890223477
token_reset_eot,3,f35,2101.4546878908227,803,1971.9543546781929,618,129.50033321262922,185,0,2.6170045926411243,3.1908646515828365
token_reset_eot,3,f38,1146.611484724532,464,1015.1447069634911,352,131.466777761041,112,1,2.4711454412166636,2.883933826600827
token_reset_eot,3,f50,2195.9116392107885,988,2107.6669995745146,795,88.2446396362738,193,0,2.2225826307801504,2.6511534585842953
token_reset_eot,3,f54,2235.9635400069997,908,2099.912149064187,705,136.05139094281333,203,1,2.462514911901982,2.978598792998847
token_reset_eot,3,f66,5676.241247195411,2364,5276.278310329862,1902,399.9629368655495,462,3,2.4011172788474666,2.774068512265963
token_reset_eot,3,f70,7302.64659559152,2950,6933.983575087238,2379,368.66302050428106,571,0,2.4754734222344137,2.9146631252993855
token_reset_eot,3,f84,6930.667298853448,3636,6725.867488527141,2927,204.79981032630454,709,1,1.9061241195966578,2.2978706827902773
