variant_count,relation,runs,mean_delta_bits_per_event,median_delta_bits_per_event,sd_delta_bits_per_event,min_delta_bits_per_event,max_delta_bits_per_event,positive_direction_runs,strong_direction_runs,note
4,hmm_space_free,20,0.4181875559975378,0.4042042420149916,0.044223630562776256,0.36296480027887856,0.5013886494504356,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,hmm_token_aware,20,0.3790459516683046,0.36708962009797164,0.04254827864920171,0.3239036513100957,0.46391714953268837,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,slot_grammar,20,0.5086325004249103,0.47838837444746884,0.07710649999472226,0.43873882724619184,0.6425621499781222,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,token_markov,20,-0.12843646336606393,-0.12962684413812786,0.08725767695635038,-0.24980905094773664,-0.01581980752043277,0,0,Exploratory descriptive summary only; no automatic winner threshold.
4,copy_edit,20,1.4271628767099376,1.4500585045977457,0.07125500562311521,1.3123457984737397,1.499169662839111,20,20,Exploratory descriptive summary only; no automatic winner threshold.
8,hmm_space_free,20,0.3979003686540949,0.3775754822034725,0.050539422042170115,0.3392991565739325,0.4832555767006941,20,20,Exploratory descriptive summary only; no automatic winner threshold.
8,hmm_token_aware,20,0.3794625943399566,0.3698558825546452,0.047351490797531204,0.3229518520057604,0.4738094989307404,20,20,Exploratory descriptive summary only; no automatic winner threshold.
8,slot_grammar,20,0.5082204095158032,0.47383219362486906,0.07884086563998112,0.43715806777533084,0.6442464236004599,20,20,Exploratory descriptive summary only; no automatic winner threshold.
8,token_markov,20,-0.038280372305886615,-0.03011448209668166,0.0738134513285433,-0.1519447266927516,0.05064192672640466,10,8,Exploratory descriptive summary only; no automatic winner threshold.
8,copy_edit,20,1.4418980865209274,1.463985496954443,0.06021406701696782,1.34202268305593,1.4994125288908413,20,20,Exploratory descriptive summary only; no automatic winner threshold.
16,hmm_space_free,20,0.3631200334085376,0.3404841606547544,0.060362747126614304,0.3044970935658684,0.47869366496604027,20,20,Exploratory descriptive summary only; no automatic winner threshold.
16,hmm_token_aware,20,0.36799625313806034,0.36235697342114515,0.04168633568016418,0.3157488958258057,0.45715001764718544,20,20,Exploratory descriptive summary only; no automatic winner threshold.
16,slot_grammar,20,0.5042203073188479,0.47131362141729327,0.07744153079243818,0.43378436709668655,0.6393286736855974,20,20,Exploratory descriptive summary only; no automatic winner threshold.
16,token_markov,20,0.028096967000709915,0.0415686319817421,0.060448866898309646,-0.06842153740554435,0.09262189801456255,14,10,Exploratory descriptive summary only; no automatic winner threshold.
16,copy_edit,20,1.4480147840075033,1.4713251396391624,0.05070072203432198,1.3604874991702474,1.493085959024437,20,20,Exploratory descriptive summary only; no automatic winner threshold.
