variant_count,relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds
4,hmm_space_free,French,5,0.37592002273267006,0.00814804563663197,5,5
4,hmm_space_free,German,5,0.38771182968555784,0.014485180989683119,5,5
4,hmm_space_free,Italian,5,0.42490194687767674,0.01730006450524074,5,5
4,hmm_space_free,Latin,5,0.4842164246942467,0.011278556819369397,5,5
4,hmm_token_aware,French,5,0.3318499491677622,0.005609219283980163,5,5
4,hmm_token_aware,German,5,0.3708738875799276,0.01474250582745919,5,5
4,hmm_token_aware,Italian,5,0.3677040651152102,0.0033292243544136724,5,5
4,hmm_token_aware,Latin,5,0.44575590481031846,0.01041316416375461,5,5
4,slot_grammar,French,5,0.44846438340607186,0.009894455089222532,5,5
4,slot_grammar,German,5,0.4510228349142481,0.002870408094445573,5,5
4,slot_grammar,Italian,5,0.49760903457515654,0.003635115850160812,5,5
4,slot_grammar,Latin,5,0.6374337488041647,0.003455656973852299,5,5
4,token_markov,French,5,-0.18149430849326098,0.004751226096721149,0,0
4,token_markov,German,5,-0.021156864979821766,0.004387744652973644,0,0
4,token_markov,Italian,5,-0.0703368657889337,0.006703137955602477,0,0
4,token_markov,Latin,5,-0.2407578142022393,0.007290678193336484,0,0
4,copy_edit,French,5,1.4796323719826352,0.001845214191845411,5,5
4,copy_edit,German,5,1.4949385579801087,0.0024394010663720384,5,5
4,copy_edit,Italian,5,1.4204981606575493,0.0027284691193462025,5,5
4,copy_edit,Latin,5,1.313582416219457,0.0008791573198413696,5,5
8,hmm_space_free,French,5,0.3521334212926176,0.005909519654772886,5,5
8,hmm_space_free,German,5,0.36502816482840217,0.01445552748271716,5,5
8,hmm_space_free,Italian,5,0.3968867242729968,0.020453373823793235,5,5
8,hmm_space_free,Latin,5,0.477553164222363,0.005823826180358512,5,5
8,hmm_token_aware,French,5,0.32952783014362896,0.005059933003204074,5,5
8,hmm_token_aware,German,5,0.38152926132001175,0.013588187193847273,5,5
8,hmm_token_aware,Italian,5,0.355150020368509,0.015883738057639978,5,5
8,hmm_token_aware,Latin,5,0.45164326552767664,0.01439505127197887,5,5
8,slot_grammar,French,5,0.4476096460163861,0.0052758479227334835,5,5
8,slot_grammar,German,5,0.4500638671012247,0.006208751195808437,5,5
8,slot_grammar,Italian,5,0.49456975669621467,0.004096744700810868,5,5
8,slot_grammar,Latin,5,0.6406383682493871,0.0019125125924604892,5,5
8,token_markov,French,5,-0.07268016694443782,0.005341813925962935,0,0
8,token_markov,German,5,0.04473065875492974,0.003500748541962646,5,5
8,token_markov,Italian,5,0.016115122403039094,0.00626812960793788,5,3
8,token_markov,Latin,5,-0.14128710343707745,0.00837789180240667,0,0
8,copy_edit,French,5,1.4863165012133341,0.002056870252720289,5,5
8,copy_edit,German,5,1.495955890117445,0.001907326568856338,5,5
8,copy_edit,Italian,5,1.4413298365372107,0.0030580857483845946,5,5
8,copy_edit,Latin,5,1.3439901182157203,0.002044531587084951,5,5
16,hmm_space_free,French,5,0.3205450795075551,0.008862959168044743,5,5
16,hmm_space_free,German,5,0.31485312877780036,0.013225033049630573,5,5
16,hmm_space_free,Italian,5,0.3550746984188808,0.012993409237727642,5,5
16,hmm_space_free,Latin,5,0.46200722692991425,0.012908814614655999,5,5
16,hmm_token_aware,French,5,0.3234353977649039,0.006494910452373988,5,5
16,hmm_token_aware,German,5,0.3513930814626843,0.014869521488188401,5,5
16,hmm_token_aware,Italian,5,0.3646896696786618,0.009460473798035473,5,5
16,hmm_token_aware,Latin,5,0.4324668636459914,0.013018716507138796,5,5
16,slot_grammar,French,5,0.44447490718412486,0.004362645021311412,5,5
16,slot_grammar,German,5,0.4433110044458348,0.006723350908153016,5,5
16,slot_grammar,Italian,5,0.4962110093912441,0.0031710672321179755,5,5
16,slot_grammar,Latin,5,0.632884308254188,0.004054747314069188,5,5
16,token_markov,French,5,0.006842945095455644,0.004011927890177124,4,0
16,token_markov,German,5,0.08985118112262658,0.0017490698079170928,5,5
16,token_markov,Italian,5,0.07659596868636775,0.006383501552289449,5,5
16,token_markov,Latin,5,-0.06090222690161031,0.004246415637734656,0,0
16,copy_edit,French,5,1.4858040117104103,0.0019411589078126123,5,5
16,copy_edit,German,5,1.488623333787583,0.00257643749591877,5,5
16,copy_edit,Italian,5,1.4540770272476133,0.004281161022488613,5,5
16,copy_edit,Latin,5,1.3635547632844065,0.0024884638149971915,5,5
