variant_count,language,seeds,mean_validation_token_coverage_fraction,mean_validation_base_form_recovery_accuracy,mean_validation_base_form_preservation_fraction,mean_validation_token_length_plus_one_accuracy,mean_validation_mean_realized_surface_forms_per_plaintext_word_present,mean_validation_same_surface_probability_given_same_plaintext_word,mean_validation_exact_cipher_token_recurrence_fraction,mean_validation_suffix_entropy_bits,mean_validation_suffix_entropy_fraction_of_max
4,French,5,1.0,1.0,1.0,1.0,1.4333333333333333,0.24933636579653076,0.46431956668923496,1.999165237432236,0.999582618716118
4,German,5,1.0,1.0,1.0,1.0,1.4227504244482174,0.2497828447339848,0.43435707053661826,1.9995385904312333,0.9997692952156166
4,Italian,5,1.0,1.0,1.0,1.0,1.3974429223744291,0.24995102840352595,0.45833628318584074,1.999231451938615,0.9996157259693075
4,Latin,5,1.0,1.0,1.0,1.0,1.3743396226415094,0.2522609379093529,0.3639538945162417,1.9996393262157506,0.9998196631078753
8,French,5,1.0,1.0,1.0,1.0,1.6759057971014493,0.12471570657524016,0.3736628300609343,2.9980267663040743,0.9993422554346914
8,German,5,1.0,1.0,1.0,1.0,1.6563667232597623,0.1261672095548317,0.341478231522106,2.9987358105805484,0.9995786035268495
8,Italian,5,1.0,1.0,1.0,1.0,1.6186301369863014,0.12566764609859615,0.37260176991150445,2.998507643765458,0.9995025479218193
8,Latin,5,1.0,1.0,1.0,1.0,1.5500377358490567,0.12535499083049517,0.282640586797066,2.9988837156837858,0.9996279052279285
16,French,5,1.0,1.0,1.0,1.0,1.922463768115942,0.06249363522183374,0.2815165876777251,3.9963522193805794,0.9990880548451448
16,German,5,1.0,1.0,1.0,1.0,1.8937181663837013,0.06349981903727832,0.24711441106986162,3.9960007108206934,0.9990001777051734
16,Italian,5,1.0,1.0,1.0,1.0,1.8365296803652968,0.06276852758733269,0.28814159292035396,3.996597050646692,0.999149262661673
16,Latin,5,1.0,1.0,1.0,1.0,1.7169811320754718,0.06267749541524757,0.20537897310513448,3.996767186974181,0.9991917967435453
