variant_count,relation,runs,mean_delta_bits_per_event,median_delta_bits_per_event,sd_delta_bits_per_event,min_delta_bits_per_event,max_delta_bits_per_event,positive_direction_runs,strong_direction_runs,note
1,hmm_space_free,20,0.4380108678448532,0.43360388161197894,0.04042592467148985,0.38595575621069633,0.5055043245120818,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1,hmm_token_aware,20,0.38689362771489477,0.37100409582378213,0.05491872675046113,0.32761192770168357,0.5005952751820777,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1,slot_grammar,20,0.5102402263973176,0.479265434928976,0.0758187228326199,0.44096422943384006,0.6424121277293229,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1,token_markov,20,-0.381228835165656,-0.398229670836716,0.11735546666980268,-0.5047545337557031,-0.22370146523348877,0,0,Exploratory descriptive summary only; no automatic winner threshold.
1,copy_edit,20,1.3797272078800942,1.403616630700292,0.09692488648259225,1.2328696609101217,1.478805909209671,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,hmm_space_free,20,0.43210446086500287,0.4221673469158369,0.03439914997588898,0.3891347783893817,0.49087639063197175,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,hmm_token_aware,20,0.3818305981102339,0.3740845378714486,0.041444903747507075,0.32929026928524063,0.46321291034328604,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,slot_grammar,20,0.5115928772822467,0.47986503628991084,0.07582386779870716,0.4450987251410461,0.6426460782809644,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,token_markov,20,-0.24620222298402045,-0.24759115977808,0.09993118267443712,-0.3687896761829941,-0.10624983759090201,0,0,Exploratory descriptive summary only; no automatic winner threshold.
2,copy_edit,20,1.4053599464485225,1.4288220852602176,0.0825298775291363,1.2745847867572393,1.4883438850168487,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,hmm_space_free,20,0.4181875559975378,0.4042042420149916,0.044223630562776256,0.36296480027887856,0.5013886494504356,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,hmm_token_aware,20,0.3790459516683046,0.36708962009797164,0.04254827864920171,0.3239036513100957,0.46391714953268837,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,slot_grammar,20,0.5086325004249103,0.47838837444746884,0.07710649999472226,0.43873882724619184,0.6425621499781222,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,token_markov,20,-0.12843646336606393,-0.12962684413812786,0.08725767695635038,-0.24980905094773664,-0.01581980752043277,0,0,Exploratory descriptive summary only; no automatic winner threshold.
4,copy_edit,20,1.4271628767099376,1.4500585045977457,0.07125500562311521,1.3123457984737397,1.499169662839111,20,20,Exploratory descriptive summary only; no automatic winner threshold.
