variant_count,relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds
1,hmm_space_free,French,5,0.39146364951706286,0.006219952317552796,5,5
1,hmm_space_free,German,5,0.42116599048886405,0.011615294356690163,5,5
1,hmm_space_free,Italian,5,0.4406198377530866,0.013161102332988641,5,5
1,hmm_space_free,Latin,5,0.4987939936203992,0.006198026098209503,5,5
1,hmm_token_aware,French,5,0.3326002877442974,0.0044960082397451214,5,5
1,hmm_token_aware,German,5,0.3756952958245961,0.01693298379523017,5,5
1,hmm_token_aware,Italian,5,0.3649555990225358,0.015968331094993998,5,5
1,hmm_token_aware,Latin,5,0.4743233282681499,0.017433861284286978,5,5
1,slot_grammar,French,5,0.45165587776742244,0.00607956233446121,5,5
1,slot_grammar,German,5,0.45441763216790143,0.006769615956874961,5,5
1,slot_grammar,Italian,5,0.4974250996222894,0.0017176337762395176,5,5
1,slot_grammar,Latin,5,0.6374622960316573,0.0031946011505559362,5,5
1,token_markov,French,5,-0.48319347169394833,0.0,0,0
1,token_markov,German,5,-0.22370146523348877,0.0,0,0
1,token_markov,Italian,5,-0.3132658699794837,0.0,0,0
1,token_markov,Latin,5,-0.5047545337557031,0.0,0,0
1,copy_edit,French,5,1.4538789290664433,0.0,5,5
1,copy_edit,German,5,1.478805909209671,0.0,5,5
1,copy_edit,Italian,5,1.3533543323341406,0.0,5,5
1,copy_edit,Latin,5,1.2328696609101217,0.0,5,5
2,hmm_space_free,French,5,0.39560657542095357,0.00505778811504745,5,5
2,hmm_space_free,German,5,0.41315786278511457,0.007396880309696286,5,5
2,hmm_space_free,Italian,5,0.43429123735000125,0.009445116636863825,5,5
2,hmm_space_free,Latin,5,0.48536216790394204,0.005609475725018377,5,5
2,hmm_token_aware,French,5,0.33699516048721384,0.008187653808652405,5,5
2,hmm_token_aware,German,5,0.3734708471649504,0.009995669123969804,5,5
2,hmm_token_aware,Italian,5,0.3695321474915641,0.007815925246624935,5,5
2,hmm_token_aware,Latin,5,0.44732423729720716,0.011041279757585112,5,5
2,slot_grammar,French,5,0.44901218008175203,0.0034493922319698916,5,5
2,slot_grammar,German,5,0.4585731904649789,0.005602378476829124,5,5
2,slot_grammar,Italian,5,0.5003749635312633,0.0032483530617539343,5,5
2,slot_grammar,Latin,5,0.6384111750509925,0.002654406271449816,5,5
2,token_markov,French,5,-0.32199105060026395,0.012614846473677305,0,0
2,token_markov,German,5,-0.11644829597312834,0.006345339306538806,0,0
2,token_markov,Italian,5,-0.18481898908158562,0.007900336896947198,0,0
2,token_markov,Latin,5,-0.36155055628110394,0.005475829833312861,0,0
2,copy_edit,French,5,1.4672875142799606,0.0017746892848503081,5,5
2,copy_edit,German,5,1.4874772201785345,0.0007835175744079343,5,5
2,copy_edit,Italian,5,1.3893570570209834,0.002760170820202087,5,5
2,copy_edit,Latin,5,1.2773179943146111,0.002058275111134668,5,5
4,hmm_space_free,French,5,0.37592002273267006,0.00814804563663197,5,5
4,hmm_space_free,German,5,0.38771182968555784,0.014485180989683119,5,5
4,hmm_space_free,Italian,5,0.42490194687767674,0.01730006450524074,5,5
4,hmm_space_free,Latin,5,0.4842164246942467,0.011278556819369397,5,5
4,hmm_token_aware,French,5,0.3318499491677622,0.005609219283980163,5,5
4,hmm_token_aware,German,5,0.3708738875799276,0.01474250582745919,5,5
4,hmm_token_aware,Italian,5,0.3677040651152102,0.0033292243544136724,5,5
4,hmm_token_aware,Latin,5,0.44575590481031846,0.01041316416375461,5,5
4,slot_grammar,French,5,0.44846438340607186,0.009894455089222532,5,5
4,slot_grammar,German,5,0.4510228349142481,0.002870408094445573,5,5
4,slot_grammar,Italian,5,0.49760903457515654,0.003635115850160812,5,5
4,slot_grammar,Latin,5,0.6374337488041647,0.003455656973852299,5,5
4,token_markov,French,5,-0.18149430849326098,0.004751226096721149,0,0
4,token_markov,German,5,-0.021156864979821766,0.004387744652973644,0,0
4,token_markov,Italian,5,-0.0703368657889337,0.006703137955602477,0,0
4,token_markov,Latin,5,-0.2407578142022393,0.007290678193336484,0,0
4,copy_edit,French,5,1.4796323719826352,0.001845214191845411,5,5
4,copy_edit,German,5,1.4949385579801087,0.0024394010663720384,5,5
4,copy_edit,Italian,5,1.4204981606575493,0.0027284691193462025,5,5
4,copy_edit,Latin,5,1.313582416219457,0.0008791573198413696,5,5
