variant_count,language,seeds,mean_validation_token_coverage_fraction,mean_validation_base_form_recovery_accuracy,mean_validation_base_form_preservation_fraction,mean_validation_token_length_plus_one_accuracy,mean_validation_mean_realized_surface_forms_per_plaintext_word_present,mean_validation_same_surface_probability_given_same_plaintext_word,mean_validation_exact_cipher_token_recurrence_fraction,mean_validation_suffix_entropy_bits,mean_validation_suffix_entropy_fraction_of_max
1,French,5,1.0,1.0,1.0,1.0,1.0,1.0,0.6262694651320244,0.0,1.0
1,German,5,1.0,1.0,1.0,1.0,1.0,1.0,0.6024299696253796,0.0,1.0
1,Italian,5,1.0,1.0,1.0,1.0,1.0,1.0,0.6123893805309735,0.0,1.0
1,Latin,5,1.0,1.0,1.0,1.0,1.0,1.0,0.5371987425777157,0.0,1.0
2,French,5,1.0,1.0,1.0,1.0,1.2119565217391306,0.49857089514240127,0.5470548408937035,0.9999469609631193,0.9999469609631193
2,German,5,1.0,1.0,1.0,1.0,1.2062818336162988,0.49941187115454216,0.5204184947688154,0.9999571913958119,0.9999571913958119
2,Italian,5,1.0,1.0,1.0,1.0,1.1948858447488584,0.4978844270323213,0.5368495575221239,0.9998844972472939,0.9998844972472939
2,Latin,5,1.0,1.0,1.0,1.0,1.1877735849056603,0.5064815299973802,0.450296891372686,0.999919085546143,0.999919085546143
4,French,5,1.0,1.0,1.0,1.0,1.4333333333333333,0.24933636579653076,0.46431956668923496,1.999165237432236,0.999582618716118
4,German,5,1.0,1.0,1.0,1.0,1.4227504244482174,0.2497828447339848,0.43435707053661826,1.9995385904312333,0.9997692952156166
4,Italian,5,1.0,1.0,1.0,1.0,1.3974429223744291,0.24995102840352595,0.45833628318584074,1.999231451938615,0.9996157259693075
4,Latin,5,1.0,1.0,1.0,1.0,1.3743396226415094,0.2522609379093529,0.3639538945162417,1.9996393262157506,0.9998196631078753
