factorization,language,seeds,mean_validation_token_coverage_fraction,mean_validation_base_form_recovery_accuracy,mean_validation_base_form_preservation_fraction,mean_validation_token_length_plus_two_accuracy,mean_validation_phase3a4_k16_variant_schedule_accuracy,mean_validation_mean_realized_surface_forms_per_plaintext_word_present,mean_validation_same_surface_probability_given_same_plaintext_word,mean_validation_exact_cipher_token_recurrence_fraction,mean_validation_slot_a_entropy_bits,mean_validation_slot_b_entropy_bits,mean_validation_joint_affix_pair_entropy_bits,mean_validation_abstract_variant_index_entropy_bits
1x16,French,5,1.0,1.0,1.0,1.0,1.0,1.922463768115942,0.06249363522183374,0.2815165876777251,0.0,3.9963522193805794,3.9963522193805794,3.9963522193805794
1x16,German,5,1.0,1.0,1.0,1.0,1.0,1.8937181663837013,0.06349981903727832,0.24711441106986162,0.0,3.9960007108206934,3.9960007108206934,3.9960007108206934
1x16,Italian,5,1.0,1.0,1.0,1.0,1.0,1.8365296803652968,0.06276852758733269,0.28814159292035396,0.0,3.996597050646692,3.996597050646692,3.996597050646692
1x16,Latin,5,1.0,1.0,1.0,1.0,1.0,1.7169811320754718,0.06267749541524757,0.20537897310513448,0.0,3.996767186974181,3.996767186974181,3.996767186974181
2x8,French,5,1.0,1.0,1.0,1.0,1.0,1.922463768115942,0.06249363522183374,0.2815165876777251,0.9998013251606315,2.9980267663040743,3.9963522193805794,3.9963522193805794
2x8,German,5,1.0,1.0,1.0,1.0,1.0,1.8937181663837013,0.06349981903727832,0.24711441106986162,0.9995628603297594,2.9987358105805484,3.9960007108206934,3.9960007108206934
2x8,Italian,5,1.0,1.0,1.0,1.0,1.0,1.8365296803652968,0.06276852758733269,0.28814159292035396,0.9994803445851282,2.998507643765458,3.996597050646692,3.996597050646692
2x8,Latin,5,1.0,1.0,1.0,1.0,1.0,1.7169811320754718,0.06267749541524757,0.20537897310513448,0.9998554324742434,2.9988837156837858,3.996767186974181,3.996767186974181
4x4,French,5,1.0,1.0,1.0,1.0,1.0,1.922463768115942,0.06249363522183374,0.2815165876777251,1.9996015288842235,1.999165237432236,3.9963522193805794,3.9963522193805794
4x4,German,5,1.0,1.0,1.0,1.0,1.0,1.8937181663837013,0.06349981903727832,0.24711441106986162,1.999157868599173,1.9995385904312333,3.9960007108206934,3.9960007108206934
4x4,Italian,5,1.0,1.0,1.0,1.0,1.0,1.8365296803652968,0.06276852758733269,0.28814159292035396,1.9988425869276625,1.999231451938615,3.996597050646692,3.996597050646692
4x4,Latin,5,1.0,1.0,1.0,1.0,1.0,1.7169811320754718,0.06267749541524757,0.20537897310513448,1.99910216863333,1.9996393262157506,3.996767186974181,3.996767186974181
