factorization,relation,runs,mean_delta_bits_per_event,median_delta_bits_per_event,sd_delta_bits_per_event,min_delta_bits_per_event,max_delta_bits_per_event,positive_direction_runs,strong_direction_runs,note
1x16,hmm_space_free,20,0.3539146892806625,0.32858009586720516,0.05174979957560906,0.304125085152811,0.45580891026344483,20,20,Exploratory descriptive summary only; no aggregate similarity score.
1x16,hmm_token_aware,20,0.3496448616125724,0.33341781008801896,0.04374426582114623,0.30011333900642967,0.43078591408845,20,20,Exploratory descriptive summary only; no aggregate similarity score.
1x16,slot_grammar,20,0.5680602243575307,0.5277440639681732,0.07228712622509018,0.5209391716952387,0.7097774621816764,20,20,Exploratory descriptive summary only; no aggregate similarity score.
1x16,token_markov,20,0.024881080657716326,0.03755730221561593,0.05227757545548733,-0.06074761363823766,0.08041444389514396,15,10,Exploratory descriptive summary only; no aggregate similarity score.
1x16,copy_edit,20,1.7043011994913049,1.7281509489763665,0.10206686786418004,1.55053644989931,1.8138608297416488,20,20,Exploratory descriptive summary only; no aggregate similarity score.
2x8,hmm_space_free,20,0.36447062743167746,0.3488815996241712,0.04431818649197988,0.31611837967253287,0.44857079454409154,20,20,Exploratory descriptive summary only; no aggregate similarity score.
2x8,hmm_token_aware,20,0.3478055541932131,0.3345465078157608,0.043682084483529775,0.29260728921152035,0.42734994406002613,20,20,Exploratory descriptive summary only; no aggregate similarity score.
2x8,slot_grammar,20,0.5629317839112493,0.5237224566286385,0.07215106675089097,0.5127709002422507,0.694074935541789,20,20,Exploratory descriptive summary only; no aggregate similarity score.
2x8,token_markov,20,0.024604609784704978,0.03720686773992177,0.05223038914185242,-0.06105540240908658,0.08017798232000617,15,10,Exploratory descriptive summary only; no aggregate similarity score.
2x8,copy_edit,20,1.6981414087246356,1.7197572683093132,0.09886152897877912,1.549908189765386,1.8064526792009037,20,20,Exploratory descriptive summary only; no aggregate similarity score.
4x4,hmm_space_free,20,0.37096720414170603,0.3582836973357362,0.044362853971596485,0.3209040476946048,0.45633999046322504,20,20,Exploratory descriptive summary only; no aggregate similarity score.
4x4,hmm_token_aware,20,0.3439345109147357,0.33689772394645434,0.034083975373806814,0.3006471303107481,0.40686242086841196,20,20,Exploratory descriptive summary only; no aggregate similarity score.
4x4,slot_grammar,20,0.5573969473869167,0.5172909560072954,0.07269114752650077,0.505551768100895,0.6891569166142579,20,20,Exploratory descriptive summary only; no aggregate similarity score.
4x4,token_markov,20,0.02428269954324993,0.03683509257523454,0.052171164253301636,-0.06107950749567914,0.07993850122567059,15,10,Exploratory descriptive summary only; no aggregate similarity score.
4x4,copy_edit,20,1.691705994179451,1.7126526361332841,0.09795280259066937,1.5457672706718935,1.799937687780734,20,20,Exploratory descriptive summary only; no aggregate similarity score.
