factorization,relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds,language_relation_replicated
1x16,hmm_space_free,French,5,0.3096933749080718,0.006350540512082715,5,5,True
1x16,hmm_space_free,German,5,0.3292580203711507,0.014966738670792883,5,5,True
1x16,hmm_space_free,Italian,5,0.3377324594521672,0.013855900098395484,5,5,True
1x16,hmm_space_free,Latin,5,0.43897490239126036,0.013973834208811764,5,5,True
1x16,hmm_token_aware,French,5,0.3068875751123198,0.005171328144561087,5,5,True
1x16,hmm_token_aware,German,5,0.3373759014003682,0.008689232175755717,5,5,True
1x16,hmm_token_aware,Italian,5,0.3323807912547497,0.0029112020625365483,5,5,True
1x16,hmm_token_aware,Latin,5,0.4219351786828519,0.006393096268463212,5,5,True
1x16,slot_grammar,French,5,0.52589245422627,0.0039560774300319065,5,5,True
1x16,slot_grammar,German,5,0.5227296431005615,0.0016699171260623987,5,5,True
1x16,slot_grammar,Italian,5,0.5307862156464707,0.003945864022070397,5,5,True
1x16,slot_grammar,Latin,5,0.6928325844568208,0.008788028887688136,5,5,True
1x16,token_markov,French,5,0.00865726168325338,0.0039039831290513557,5,0,False
1x16,token_markov,German,5,0.07734154677190537,0.002099204417124962,5,5,True
1x16,token_markov,Italian,5,0.06675934405363951,0.004814082199373747,5,5,True
1x16,token_markov,Latin,5,-0.053233829877932945,0.004232664769697101,0,0,False
1x16,copy_edit,French,5,1.7823877543647437,0.0016186758195969582,5,5,True
1x16,copy_edit,German,5,1.8115089190598557,0.0012932564729963292,5,5,True
1x16,copy_edit,Italian,5,1.67031838842093,0.004550092461764444,5,5,True
1x16,copy_edit,Latin,5,1.5529897361196903,0.0021425485515082538,5,5,True
2x8,hmm_space_free,French,5,0.3250751543139289,0.01167759876551633,5,5,True
2x8,hmm_space_free,German,5,0.3524254450992208,0.011869650402186401,5,5,True
2x8,hmm_space_free,Italian,5,0.3437798853851809,0.007032468204203332,5,5,True
2x8,hmm_space_free,Latin,5,0.43660202492837924,0.01419722022984625,5,5,True
2x8,hmm_token_aware,French,5,0.30013721057728676,0.005396005658659715,5,5,True
2x8,hmm_token_aware,German,5,0.342119596757955,0.01553671336824174,5,5,True
2x8,hmm_token_aware,Italian,5,0.3325456517172699,0.002145217580112036,5,5,True
2x8,hmm_token_aware,Latin,5,0.41641975772034057,0.010583717551255877,5,5,True
2x8,slot_grammar,French,5,0.5180353714229736,0.00554313178931299,5,5,True
2x8,slot_grammar,German,5,0.5226028787195621,0.003990034246967022,5,5,True
2x8,slot_grammar,Italian,5,0.5234522360798506,0.003421182630768062,5,5,True
2x8,slot_grammar,Latin,5,0.6876366494226112,0.003564818619695821,5,5,True
2x8,token_markov,French,5,0.008237282781429744,0.003766644257735635,5,0,False
2x8,token_markov,German,5,0.07704523698489388,0.002054937718215604,5,5,True
2x8,token_markov,Italian,5,0.06649548008343933,0.004886274721723301,5,5,True
2x8,token_markov,Latin,5,-0.053359560710943034,0.00431305821313867,0,0,False
2x8,copy_edit,French,5,1.7725317729498193,0.0007822630197920311,5,5,True
2x8,copy_edit,German,5,1.8037039763005698,0.002145584146390821,5,5,True
2x8,copy_edit,Italian,5,1.663825761994146,0.0032713002411837357,5,5,True
2x8,copy_edit,Latin,5,1.5525041236540074,0.0036505342080544517,5,5,True
4x4,hmm_space_free,French,5,0.32434139615591456,0.0029261092891473208,5,5,True
4x4,hmm_space_free,German,5,0.3516622374135851,0.010784799920919437,5,5,True
4x4,hmm_space_free,Italian,5,0.3664956745094584,0.0074579666672556725,5,5,True
4x4,hmm_space_free,Latin,5,0.44136950848786594,0.012985731134650612,5,5,True
4x4,hmm_token_aware,French,5,0.31291412025341414,0.009486445833027725,5,5,True
4x4,hmm_token_aware,German,5,0.3375712416811855,0.0075719877732829495,5,5,True
4x4,hmm_token_aware,Italian,5,0.32735372760606846,0.01618556220518593,5,5,True
4x4,hmm_token_aware,Latin,5,0.3978989541182746,0.006908697006875492,5,5,True
4x4,slot_grammar,French,5,0.5114806153636672,0.004605077671855441,5,5,True
4x4,slot_grammar,German,5,0.5123238286016175,0.0035505226340793736,5,5,True
4x4,slot_grammar,Italian,5,0.5229029534498315,0.0038574080333862986,5,5,True
4x4,slot_grammar,Latin,5,0.6828803921325507,0.003390141639783458,5,5,True
4x4,token_markov,French,5,0.007686401685982247,0.003685261118039342,5,0,False
4x4,token_markov,German,5,0.07674432241498455,0.001957927248061699,5,5,True
4x4,token_markov,Italian,5,0.06616702137244515,0.0049056447206738876,5,5,True
4x4,token_markov,Latin,5,-0.05346694730041222,0.004344946849912485,0,0,False
4x4,copy_edit,French,5,1.7648736577359905,0.0017798700801175318,5,5,True
4x4,copy_edit,German,5,1.7972848128903056,0.002703059397017758,5,5,True
4x4,copy_edit,Italian,5,1.6564514002422777,0.005326284267583141,5,5,True
4x4,copy_edit,Latin,5,1.5482141058492305,0.002638182861673626,5,5,True
