target_count,relation,runs,mean_delta_bits_per_event,median_delta_bits_per_event,sd_delta_bits_per_event,min_delta_bits_per_event,max_delta_bits_per_event,positive_direction_runs,strong_direction_runs,note
64,hmm_space_free,20,0.7241781449666331,0.7342759291578465,0.04901319202880683,0.6013490877868835,0.8105097521394331,20,20,Exploratory descriptive summary only; no automatic winner threshold.
64,hmm_token_aware,20,0.7611538126140148,0.7518542741408274,0.042263507750765865,0.6778779178899574,0.8653331191963765,20,20,Exploratory descriptive summary only; no automatic winner threshold.
64,slot_grammar,20,0.6889133074663784,0.675371307502773,0.055973456900189913,0.61314557745657,0.7784995124607352,20,20,Exploratory descriptive summary only; no automatic winner threshold.
64,token_markov,20,-0.3841538424282287,-0.3942988591770107,0.09422063936163849,-0.5026497330263267,-0.24451480179790241,0,0,Exploratory descriptive summary only; no automatic winner threshold.
64,copy_edit,20,1.7867088264620463,1.838037791752374,0.12466827744606007,1.5661263144697912,1.9110206981223983,20,20,Exploratory descriptive summary only; no automatic winner threshold.
256,hmm_space_free,20,0.6200299519590888,0.6253828362839933,0.04137187184581968,0.5379850694169357,0.6731131366375895,20,20,Exploratory descriptive summary only; no automatic winner threshold.
256,hmm_token_aware,20,0.5990305492527738,0.5967816919825082,0.02706982224389147,0.5525035767496682,0.6589081293922647,20,20,Exploratory descriptive summary only; no automatic winner threshold.
256,slot_grammar,20,0.5293496076273558,0.5023502556478296,0.07911329347545792,0.44837566568478415,0.6643726032378097,20,20,Exploratory descriptive summary only; no automatic winner threshold.
256,token_markov,20,-0.42714249146791605,-0.4264156410391895,0.053130370890801464,-0.505761237626499,-0.35614409761100596,0,0,Exploratory descriptive summary only; no automatic winner threshold.
256,copy_edit,20,1.5837259314906118,1.5871443335960873,0.050618948984646334,1.5039094008535474,1.66617911560577,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1024,hmm_space_free,20,0.48276000652864404,0.4761848869043208,0.02178014180685731,0.4523427751142899,0.5249793874282882,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1024,hmm_token_aware,20,0.3658733876927971,0.36036684422264575,0.029472702245437715,0.3113485232667217,0.43314561298925547,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1024,slot_grammar,20,0.27498605188846376,0.24985171764681557,0.09019566421455504,0.1662063719769531,0.4352297508390057,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1024,token_markov,20,-0.41208453450530924,-0.40366919356732,0.034437647444891445,-0.4712361370736624,-0.36062121000429403,0,0,Exploratory descriptive summary only; no automatic winner threshold.
1024,copy_edit,20,1.2415122886665213,1.2318492783846426,0.040615320742290184,1.1827969886232683,1.3123039788384214,20,20,Exploratory descriptive summary only; no automatic winner threshold.
