target_count,relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds
64,hmm_space_free,French,5,0.733215041388249,0.0370264027565585,5,5
64,hmm_space_free,German,5,0.7564571037175896,0.029842056270051247,5,5
64,hmm_space_free,Italian,5,0.7452451111339805,0.019777753971669188,5,5
64,hmm_space_free,Latin,5,0.6617953236267133,0.038697279735475563,5,5
64,hmm_token_aware,French,5,0.7480705418613975,0.032198958950970524,5,5
64,hmm_token_aware,German,5,0.8162283698813116,0.02965373713279578,5,5
64,hmm_token_aware,Italian,5,0.7486377041276676,0.011230754500067299,5,5
64,hmm_token_aware,Latin,5,0.7316786345856825,0.029542367817580704,5,5
64,slot_grammar,French,5,0.6349630126644532,0.014266151144863353,5,5
64,slot_grammar,German,5,0.7075654705086277,0.009568028642527152,5,5
64,slot_grammar,Italian,5,0.6426608073392005,0.012138376754162626,5,5
64,slot_grammar,Latin,5,0.7704639393532319,0.006431504806995169,5,5
64,token_markov,French,5,-0.4578198884029411,0.0064537705737903565,0,0
64,token_markov,German,5,-0.2577778765227282,0.00815861814800463,0,0
64,token_markov,Italian,5,-0.3315752328486627,0.007928569833590967,0,0
64,token_markov,Latin,5,-0.48944237193858287,0.009554233757017944,0,0
64,copy_edit,French,5,1.885030424550752,0.010942601184947864,5,5
64,copy_edit,German,5,1.8848862311813752,0.014983090405254543,5,5
64,copy_edit,Italian,5,1.7956583970446265,0.01302672019676358,5,5
64,copy_edit,Latin,5,1.5812602530714317,0.007722569365853026,5,5
256,hmm_space_free,French,5,0.6268316049708085,0.039413403336759564,5,5
256,hmm_space_free,German,5,0.6188612481372457,0.04447502699979829,5,5
256,hmm_space_free,Italian,5,0.6499874268949986,0.02095084880296383,5,5
256,hmm_space_free,Latin,5,0.5844395278333026,0.02577571956357654,5,5
256,hmm_token_aware,French,5,0.5857385020125293,0.01307528667702954,5,5
256,hmm_token_aware,German,5,0.6267109468732405,0.01738277705473078,5,5
256,hmm_token_aware,Italian,5,0.5890764375703179,0.026894822253307537,5,5
256,hmm_token_aware,Latin,5,0.5945963105550075,0.025942548774666296,5,5
256,slot_grammar,French,5,0.4684405134815634,0.010860219766124474,5,5
256,slot_grammar,German,5,0.5233667516226365,0.012280863180415026,5,5
256,slot_grammar,Italian,5,0.4665989939924966,0.016172963510159337,5,5
256,slot_grammar,Latin,5,0.6589921714127267,0.0038442064955781126,5,5
256,token_markov,French,5,-0.4905639563056977,0.008197272892723045,0,0
256,token_markov,German,5,-0.3673201996885861,0.010705042519705865,0,0
256,token_markov,Italian,5,-0.3840004907181166,0.008060964496083189,0,0
256,token_markov,Latin,5,-0.4666853191592638,0.004326272150283165,0,0
256,copy_edit,French,5,1.6491216002809412,0.009793009597921782,5,5
256,copy_edit,German,5,1.605663359436845,0.013223789400223455,5,5
256,copy_edit,Italian,5,1.5641592677563216,0.014170817426224653,5,5
256,copy_edit,Latin,5,1.5159594984883396,0.006673849163279521,5,5
1024,hmm_space_free,French,5,0.47012551883093306,0.010827457152474514,5,5
1024,hmm_space_free,German,5,0.49052178508184135,0.02070943558475083,5,5
1024,hmm_space_free,Italian,5,0.5018173124507366,0.021387739214431715,5,5
1024,hmm_space_free,Latin,5,0.46857540975106515,0.010473260654251432,5,5
1024,hmm_token_aware,French,5,0.33072351440988407,0.010322012700773394,5,5
1024,hmm_token_aware,German,5,0.36738830386695415,0.01780746727849202,5,5
1024,hmm_token_aware,Italian,5,0.3737559306295064,0.021203363929031202,5,5
1024,hmm_token_aware,Latin,5,0.39162580186484386,0.025262587950548927,5,5
1024,slot_grammar,French,5,0.1790846916914826,0.010591627784500025,5,5
1024,slot_grammar,German,5,0.2500917440183469,0.010834401172217246,5,5
1024,slot_grammar,Italian,5,0.2486806857523745,0.00819247263147727,5,5
1024,slot_grammar,Latin,5,0.422087086091651,0.009841947650305147,5,5
1024,token_markov,French,5,-0.46426184305908,0.004330894901736701,0,0
1024,token_markov,German,5,-0.4088051106579183,0.011138877254387709,0,0
1024,token_markov,Italian,5,-0.3699152143420331,0.005389958826401147,0,0
1024,token_markov,Latin,5,-0.4053559699622055,0.003895132903536896,0,0
1024,copy_edit,French,5,1.2083253345158624,0.0083263142232854,5,5
1024,copy_edit,German,5,1.2051786053409117,0.013314023087523299,5,5
1024,copy_edit,Italian,5,1.250605283588246,0.011064390779473418,5,5
1024,copy_edit,Latin,5,1.3019399312210649,0.008585606688274194,5,5
