variant_count,relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds
1,hmm_space_free,French,5,0.3745438681087713,0.0025676937221442635,5,5
1,hmm_space_free,German,5,0.36615096455694396,0.005919719928245866,5,5
1,hmm_space_free,Italian,5,0.3915841468712383,0.009924015960733789,5,5
1,hmm_space_free,Latin,5,0.3966749192169253,0.011647638525139135,5,5
1,hmm_token_aware,French,5,0.34029522596725637,0.008539837533837193,5,5
1,hmm_token_aware,German,5,0.36852015857331566,0.006894859764415495,5,5
1,hmm_token_aware,Italian,5,0.3383485916594628,0.011382685851461027,5,5
1,hmm_token_aware,Latin,5,0.4366540435984477,0.006838234645057462,5,5
1,slot_grammar,French,5,0.597924528924276,0.00583723882506593,5,5
1,slot_grammar,German,5,0.6304464792838255,0.004468129789219164,5,5
1,slot_grammar,Italian,5,0.5877369136226336,0.007136190744596104,5,5
1,slot_grammar,Latin,5,0.7440503454437315,0.004830106616078568,5,5
1,token_markov,French,5,-0.5149987710557065,1.5120425004595445e-05,0,0
1,token_markov,German,5,-0.2473125970710135,3.7016662324222633e-05,0,0
1,token_markov,Italian,5,-0.35443778018794775,2.7860691266100362e-05,0,0
1,token_markov,Latin,5,-0.5186882473369793,2.2943886625024935e-05,0,0
1,copy_edit,French,5,1.506026236012863,0.007043642375669289,5,5
1,copy_edit,German,5,1.4750905968589716,0.008106938152292015,5,5
1,copy_edit,Italian,5,1.3879009558905362,0.006415688135202364,5,5
1,copy_edit,Latin,5,1.2576657984529067,0.00445915152191385,5,5
2,hmm_space_free,French,5,0.32209096011659366,0.004525777615205174,5,5
2,hmm_space_free,German,5,0.3205841798164008,0.01549900240180118,5,5
2,hmm_space_free,Italian,5,0.3448375568318657,0.011669751887729587,5,5
2,hmm_space_free,Latin,5,0.36455991210409666,0.019446128293670283,5,5
2,hmm_token_aware,French,5,0.33862554788561344,0.005688510974725795,5,5
2,hmm_token_aware,German,5,0.36259078776354486,0.008181838580122875,5,5
2,hmm_token_aware,Italian,5,0.3342503013403554,0.008507482711753046,5,5
2,hmm_token_aware,Latin,5,0.43054072069380595,0.01221346009321103,5,5
2,slot_grammar,French,5,0.5913214041293605,0.007293460342151725,5,5
2,slot_grammar,German,5,0.6348103939537599,0.008335056215588079,5,5
2,slot_grammar,Italian,5,0.5778166077696658,0.0052205739395091814,5,5
2,slot_grammar,Latin,5,0.7389524476888399,0.008232229035661637,5,5
2,token_markov,French,5,-0.46584971186400076,0.006206610235910769,0,0
2,token_markov,German,5,-0.21116657737387587,0.0029314074783389206,0,0
2,token_markov,Italian,5,-0.31393722543450914,0.0028003817006109484,0,0
2,token_markov,Latin,5,-0.4948036853648925,0.002235270811159335,0,0
2,copy_edit,French,5,1.4630177660802173,0.009416138982863176,5,5
2,copy_edit,German,5,1.4289705604659364,0.009608715195883128,5,5
2,copy_edit,Italian,5,1.367394100082789,0.00789160860775778,5,5
2,copy_edit,Latin,5,1.2598912992612004,0.006306783572074588,5,5
4,hmm_space_free,French,5,0.2706106564408784,0.012094388603528232,5,5
4,hmm_space_free,German,5,0.2507856319874765,0.009441962071002553,5,5
4,hmm_space_free,Italian,5,0.28113702672283447,0.01146891996158005,5,5
4,hmm_space_free,Latin,5,0.31548213937671754,0.013182770981805788,5,5
4,hmm_token_aware,French,5,0.32131665030031387,0.0039431388325166265,5,5
4,hmm_token_aware,German,5,0.3562102339412111,0.009953925254802674,5,5
4,hmm_token_aware,Italian,5,0.3228336290285544,0.00962981424122684,5,5
4,hmm_token_aware,Latin,5,0.4181839600936789,0.006711872067865073,5,5
4,slot_grammar,French,5,0.5866292495727812,0.008547046346376742,5,5
4,slot_grammar,German,5,0.6261532921326172,0.003241614153112477,5,5
4,slot_grammar,Italian,5,0.5738564171139602,0.0042049214196576016,5,5
4,slot_grammar,Latin,5,0.7391089606136737,0.0038935253663736243,5,5
4,token_markov,French,5,-0.4073767804665945,0.009261280379957932,0,0
4,token_markov,German,5,-0.17098566900137574,0.004672456117680766,0,0
4,token_markov,Italian,5,-0.2673807050541809,0.0023749086055253714,0,0
4,token_markov,Latin,5,-0.4703919951753114,0.003440150230973986,0,0
4,copy_edit,French,5,1.4042048300767611,0.0022066470506049273,5,5
4,copy_edit,German,5,1.3657516679891002,0.0011927002032860838,5,5
4,copy_edit,Italian,5,1.3268452227208325,0.0036889634445725233,5,5
4,copy_edit,Latin,5,1.2438123431558212,0.0037892087287381988,5,5
