relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds,language_relation_replicated
hmm_space_free,French,5,0.35035639659862683,0.01403717982504004,5,5,True
hmm_space_free,German,5,0.3108855876957645,0.013318157585733984,5,5,True
hmm_space_free,Italian,5,0.3198969234848005,0.011023861840986826,5,5,True
hmm_space_free,Latin,5,0.46021052136172536,0.0114677953120539,5,5,True
hmm_token_aware,French,5,0.3594895756054667,0.009523429595999658,5,5,True
hmm_token_aware,German,5,0.34507083196627947,0.012972885851645759,5,5,True
hmm_token_aware,Italian,5,0.3316721926276137,0.0066657586665597535,5,5,True
hmm_token_aware,Latin,5,0.4302530611152136,0.012503513653866236,5,5,True
slot_grammar,French,5,0.4573163575797678,0.007641235250882685,5,5,True
slot_grammar,German,5,0.44161841651225575,0.0024371271526401166,5,5,True
slot_grammar,Italian,5,0.49604170722219043,0.003264424882626085,5,5,True
slot_grammar,Latin,5,0.6341042249923977,0.004938145728583042,5,5,True
token_markov,French,5,0.07981086984174288,0.00031707618195427485,5,5,True
token_markov,German,5,0.14783360154026254,0.0003708766821503345,5,5,True
token_markov,Italian,5,0.13315248712746533,0.000251679290773922,5,5,True
token_markov,Latin,5,0.016602914169610815,0.00017306870866243995,5,5,True
copy_edit,French,5,1.4989038202506362,0.0007785320346771198,5,5,True
copy_edit,German,5,1.481547929864218,0.003911591389208408,5,5,True
copy_edit,Italian,5,1.4219063008111825,0.0016429042077603815,5,5,True
copy_edit,Latin,5,1.3460184204742502,0.0018171528381167694,5,5,True
