family,relation,languages_replicated_4,family_relation_robust,robust_relations_5,family_full_hierarchy_reproduction
monoalphabetic,hmm_space_free,4,True,,
monoalphabetic,hmm_token_aware,4,True,,
monoalphabetic,slot_grammar,4,True,,
monoalphabetic,token_markov,0,False,,
monoalphabetic,copy_edit,4,True,,
monoalphabetic,__FULL_HIERARCHY__,,,4,False
homophonic,hmm_space_free,1,False,,
homophonic,hmm_token_aware,4,True,,
homophonic,slot_grammar,4,True,,
homophonic,token_markov,4,True,,
homophonic,copy_edit,4,True,,
homophonic,__FULL_HIERARCHY__,,,4,False
verbose,hmm_space_free,0,False,,
verbose,hmm_token_aware,0,False,,
verbose,slot_grammar,4,True,,
verbose,token_markov,0,False,,
verbose,copy_edit,4,True,,
verbose,__FULL_HIERARCHY__,,,2,False
null_insertion,hmm_space_free,4,True,,
null_insertion,hmm_token_aware,4,True,,
null_insertion,slot_grammar,4,True,,
null_insertion,token_markov,1,False,,
null_insertion,copy_edit,4,True,,
null_insertion,__FULL_HIERARCHY__,,,4,False
nomenclator,hmm_space_free,4,True,,
nomenclator,hmm_token_aware,4,True,,
nomenclator,slot_grammar,4,True,,
nomenclator,token_markov,0,False,,
nomenclator,copy_edit,4,True,,
nomenclator,__FULL_HIERARCHY__,,,4,False
transposition,hmm_space_free,0,False,,
transposition,hmm_token_aware,0,False,,
transposition,slot_grammar,0,False,,
transposition,token_markov,4,True,,
transposition,copy_edit,0,False,,
transposition,__FULL_HIERARCHY__,,,1,False
syllabic_hybrid,hmm_space_free,4,True,,
syllabic_hybrid,hmm_token_aware,4,True,,
syllabic_hybrid,slot_grammar,4,True,,
syllabic_hybrid,token_markov,0,False,,
syllabic_hybrid,copy_edit,4,True,,
syllabic_hybrid,__FULL_HIERARCHY__,,,4,False
