relation,language,seeds,mean_delta_bits_per_event,sd_delta_bits_per_event,positive_direction_seeds,strong_direction_seeds,language_relation_replicated
hmm_space_free,French,5,0.3203816048846965,0.00685171454795211,5,5,True
hmm_space_free,German,5,0.31883695581947735,0.011370160070713514,5,5,True
hmm_space_free,Italian,5,0.3531285836634835,0.013764577756967262,5,5,True
hmm_space_free,Latin,5,0.4582968105970643,0.01085642670948071,5,5,True
hmm_token_aware,French,5,0.32837744947918324,0.006726581070675371,5,5,True
hmm_token_aware,German,5,0.34839009020920014,0.011780073382982852,5,5,True
hmm_token_aware,Italian,5,0.3597140174638406,0.007964354405397467,5,5,True
hmm_token_aware,Latin,5,0.43188401343918564,0.011656097198739113,5,5,True
slot_grammar,French,5,0.4448231042338208,0.007183503260372065,5,5,True
slot_grammar,German,5,0.4478155359527548,0.006316160751717212,5,5,True
slot_grammar,Italian,5,0.49628180765270313,0.0022448741009905323,5,5,True
slot_grammar,Latin,5,0.635547711800133,0.0055725775835022175,5,5,True
token_markov,French,5,0.0878712355774578,0.0001829097110018019,5,5,True
token_markov,German,5,0.13358179919846974,0.00032077627202039047,5,5,True
token_markov,Italian,5,0.13313539988321565,0.0003700032002779519,5,5,True
token_markov,Latin,5,0.02431485383527816,0.00025534373117163734,5,5,True
copy_edit,French,5,1.4888947049781116,0.0021519532644637494,5,5,True
copy_edit,German,5,1.4875768714366264,0.0011187033494762838,5,5,True
copy_edit,Italian,5,1.4602791641762505,0.0011783300644829632,5,5,True
copy_edit,Latin,5,1.367432374918394,0.0015724301269299625,5,5,True
