leaf_group,transition_population,transition_count,unique_transition_pairs,transition_pair_entropy_bits,transition_conditional_entropy_bits
f103,across_boundary,868,79,4.750657497265052,2.613926328966171
f13,across_boundary,124,46,5.001750223124811,2.5295716166232642
f2,across_boundary,143,62,5.428848176351704,2.44143025512083
f31,across_boundary,185,59,5.206410016424769,2.4191395728506246
f49,across_boundary,210,55,5.069579563226721,2.32748588441615
f5,across_boundary,89,48,5.27906496507856,2.301693001667119
f53,across_boundary,112,60,5.593181378134549,2.441996150245429
f55,across_boundary,204,60,5.16824950466187,2.3363456626635433
f56,across_boundary,159,53,4.895763004346133,2.429828425342122
f57,across_boundary,261,122,6.449863207502351,2.592694128975029
f58,across_boundary,671,95,5.5530956243066925,2.886110450892142
f71,across_boundary,152,44,4.642128894312252,2.129763865597684
f75,across_boundary,653,70,4.585239682676566,2.5334089198961864
f76,across_boundary,871,99,5.009699213015455,2.760115516304596
f99,across_boundary,274,61,5.018060861777645,2.681724418219588
