feature,outcome,n_used,n_missing,pearson_r,spearman_rho,p_values_computed,confirmatory_interpretation_permitted
readable_token_count,boundary_boost_bits_per_event,15,0,-0.08289276140320002,0.1,False,False
readable_glyph_count,boundary_boost_bits_per_event,15,0,-0.144545311552765,0.010714285714285714,False,False
mean_token_length_glyphs,boundary_boost_bits_per_event,15,0,-0.6536623597424206,-0.44285714285714284,False,False
token_length_variance_population,boundary_boost_bits_per_event,15,0,0.6261773419015431,0.13214285714285715,False,False
boundary_density_per_glyph,boundary_boost_bits_per_event,15,0,0.7385764395564737,0.3142857142857143,False,False
vocabulary_size_exact_tokens,boundary_boost_bits_per_event,15,0,-0.11360021921783507,0.075,False,False
type_token_ratio,boundary_boost_bits_per_event,15,0,-0.18843573741943753,-0.18928571428571428,False,False
repeated_token_occurrence_fraction,boundary_boost_bits_per_event,15,0,0.1472678760404449,0.18214285714285713,False,False
singleton_token_occurrence_fraction,boundary_boost_bits_per_event,15,0,-0.1472678760404449,-0.18214285714285713,False,False
singleton_type_fraction,boundary_boost_bits_per_event,15,0,-0.012340487707154044,-0.09642857142857143,False,False
adjacent_exact_repeat_fraction,boundary_boost_bits_per_event,15,0,-0.1393108365497976,-0.09730124597112036,False,False
within_transition_conditional_entropy_bits,boundary_boost_bits_per_event,15,0,0.3484259488865643,0.3142857142857143,False,False
across_transition_conditional_entropy_bits,boundary_boost_bits_per_event,15,0,0.08548361786972186,-0.06785714285714285,False,False
conditional_entropy_gap_across_minus_within_bits,boundary_boost_bits_per_event,15,0,-0.1445058465347323,-0.2857142857142857,False,False
within_transition_pair_entropy_bits,boundary_boost_bits_per_event,15,0,0.5346885279516977,0.31785714285714284,False,False
across_transition_pair_entropy_bits,boundary_boost_bits_per_event,15,0,0.804591574027295,0.6357142857142857,False,False
pair_entropy_gap_across_minus_within_bits,boundary_boost_bits_per_event,15,0,0.6873093620010396,0.3392857142857143,False,False
