leaf_group,section_label,currier_label,scribe_label,quire_label,locus_type_label,space_free_delta_bits_per_event,token_aware_delta_bits_per_event,boundary_boost_bits_per_event,readable_segment_count,readable_token_count,readable_glyph_count,mean_token_length_glyphs,token_length_variance_population,boundary_count,boundary_density_per_glyph,vocabulary_size_exact_tokens,type_token_ratio,repeated_token_occurrence_fraction,singleton_token_occurrence_fraction,singleton_type_fraction,adjacent_exact_repeat_fraction,within_transition_count,within_unique_transition_pairs,within_transition_pair_entropy_bits,within_transition_conditional_entropy_bits,across_transition_count,across_unique_transition_pairs,across_transition_pair_entropy_bits,across_transition_conditional_entropy_bits,conditional_entropy_gap_across_minus_within_bits,pair_entropy_gap_across_minus_within_bits
f103,marginal_stars,B,3,20,P,0.08732273234686237,0.11748484184390624,0.03016210949704387,108,976,4033,4.132172131147541,1.682325609715128,868,0.21522439871063725,430,0.4405737704918033,0.6844262295081968,0.3155737704918033,0.7162790697674418,0.012672811059907835,3057,176,5.736900490234604,2.048897004950379,868,79,4.750657497265052,2.613926328966171,0.565029324015792,-0.9862429929695526
f13,herbal,A,1,2,P,-0.003858312408945519,0.0011037848814423774,0.004962097290387896,21,145,508,3.503448275862069,1.8499881093935822,124,0.2440944881889764,107,0.7379310344827587,0.41379310344827586,0.5862068965517241,0.794392523364486,0.0,363,73,5.36483508327243,2.004966683925457,124,46,5.001750223124811,2.5295716166232642,0.5246049326978071,-0.36308486014761865
f2,herbal,A,1,1,MIXED[L|P],-0.02314056391735144,0.03749209548433476,0.060632659401686204,23,166,568,3.4216867469879517,1.4968790825954432,143,0.2517605633802817,120,0.7228915662650602,0.39759036144578314,0.6024096385542169,0.8333333333333334,0.0,402,105,5.786132402322236,2.1030797166454094,143,62,5.428848176351704,2.44143025512083,0.3383505384754204,-0.357284225970532
f31,herbal,B,2,4,P,0.07939389891535842,0.14559767797761278,0.06620377906225436,27,212,849,4.004716981132075,2.221675863296554,185,0.21790341578327443,158,0.7452830188679245,0.37735849056603776,0.6226415094339622,0.8354430379746836,0.010810810810810811,637,106,5.607557747961628,2.0817296555024636,185,59,5.206410016424769,2.4191395728506246,0.33740991734816106,-0.40114773153685856
f49,herbal,A,1,7,MIXED[L|P],-0.1616437878087494,-0.09983513813665569,0.06180864967209372,73,283,1017,3.5936395759717317,2.806602654546824,210,0.20648967551622419,177,0.6254416961130742,0.5265017667844523,0.4734982332155477,0.7570621468926554,0.014285714285714285,734,112,5.479315845834605,2.1282014580452504,210,55,5.069579563226721,2.32748588441615,0.1992844263708995,-0.4097362826078834
f5,herbal,A,1,1,P,0.04429991656086361,0.08967221275231457,0.045372296191450966,13,102,379,3.715686274509804,1.7328911956939623,89,0.23482849604221637,80,0.7843137254901961,0.3333333333333333,0.6666666666666666,0.85,0.011235955056179775,277,75,5.406965171612522,1.9818555164086988,89,48,5.27906496507856,2.301693001667119,0.31983748525842026,-0.12790020653396184
f53,herbal,A,1,7,P,0.017094953932163707,0.07180008027642913,0.05470512634426543,22,134,525,3.917910447761194,1.717141902428157,112,0.21333333333333335,121,0.9029850746268657,0.15671641791044777,0.8432835820895522,0.9338842975206612,0.0,391,90,5.629824968015448,2.173772249882418,112,60,5.593181378134549,2.441996150245429,0.26822390036301114,-0.03664358988089944
f55,herbal,B,2,7,P,-0.038618279986457116,0.030089843265260933,0.06870812325171805,25,229,825,3.6026200873362444,1.8202551438759762,204,0.24727272727272728,145,0.6331877729257642,0.5327510917030568,0.4672489082969432,0.7379310344827587,0.004901960784313725,596,110,5.61548733284802,2.19600224536791,204,60,5.16824950466187,2.3363456626635433,0.14034341729563327,-0.4472378281861502
f56,herbal,A,1,7,P,0.008179142060543406,0.034431165492754386,0.02625202343221098,35,194,711,3.6649484536082473,2.0062971622914265,159,0.22362869198312235,127,0.654639175257732,0.5,0.5,0.7637795275590551,0.025157232704402517,517,84,5.128903936085044,1.871240687615285,159,53,4.895763004346133,2.429828425342122,0.5585877377268371,-0.23314093173891148
f57,MIXED[cosmological|herbal],MIXED[B|UNSET],MIXED[1|5],8,MIXED[C|L|P|R],-0.3289650914428249,-0.17195339212710747,0.1570116993157174,23,284,797,2.806338028169014,3.98714292799048,261,0.32747804265997493,155,0.545774647887324,0.573943661971831,0.426056338028169,0.7806451612903226,0.0038314176245210726,513,119,5.919646491835568,2.271394899640417,261,122,6.449863207502351,2.592694128975029,0.32129922933461197,0.530216715666783
