leaf_group,transition_population,transition_count,unique_transition_pairs,transition_pair_entropy_bits,transition_conditional_entropy_bits
f103,within_token,3057,176,5.736900490234604,2.048897004950379
f13,within_token,363,73,5.36483508327243,2.004966683925457
f2,within_token,402,105,5.786132402322236,2.1030797166454094
f31,within_token,637,106,5.607557747961628,2.0817296555024636
f49,within_token,734,112,5.479315845834605,2.1282014580452504
f5,within_token,277,75,5.406965171612522,1.9818555164086988
f53,within_token,391,90,5.629824968015448,2.173772249882418
f55,within_token,596,110,5.61548733284802,2.19600224536791
f56,within_token,517,84,5.128903936085044,1.871240687615285
f57,within_token,513,119,5.919646491835568,2.271394899640417
f58,within_token,2422,170,5.752744923498968,2.2453268738785073
f71,within_token,643,105,5.632471327084052,2.2732106658411415
f75,within_token,2392,133,5.321371075590586,1.7378661579401473
f76,within_token,2945,162,5.575588873012277,1.9224706252225146
f99,within_token,1213,148,5.688012344248724,2.1509936161496235
