condition,omitted_leaf_groups,feature,outcome,n_used,n_missing,pearson_r,spearman_rho,p_values_computed,confirmatory_interpretation_permitted
all15,,boundary_pair_count,boundary_boost_bits_per_event,15,0,-0.0652474461094171,0.10714285714285714,False,False
all15,,final_glyph_entropy_bits,boundary_boost_bits_per_event,15,0,0.777043138378998,0.6035714285714285,False,False
all15,,initial_glyph_entropy_bits,boundary_boost_bits_per_event,15,0,0.810652100438977,0.425,False,False
all15,,boundary_pair_entropy_bits,boundary_boost_bits_per_event,15,0,0.804591574027295,0.6357142857142857,False,False
all15,,initial_given_final_conditional_entropy_bits,boundary_boost_bits_per_event,15,0,0.08548361786971875,-0.06785714285714285,False,False
all15,,final_given_initial_conditional_entropy_bits,boundary_boost_bits_per_event,15,0,0.330831405301011,0.49642857142857144,False,False
all15,,final_initial_mutual_information_bits,boundary_boost_bits_per_event,15,0,0.8123284646836385,0.4107142857142857,False,False
all15,,normalized_mutual_information_joint_fraction,boundary_boost_bits_per_event,15,0,0.7451211036963225,0.4035714285714286,False,False
all15,,distinct_final_glyphs,boundary_boost_bits_per_event,15,0,0.7955919583634226,0.5158846376573976,False,False
all15,,distinct_initial_glyphs,boundary_boost_bits_per_event,15,0,0.729576961696724,0.22904643428927182,False,False
all15,,distinct_boundary_pairs,boundary_boost_bits_per_event,15,0,0.6674260324825575,0.4325292165022321,False,False
all15,,effective_final_glyphs,boundary_boost_bits_per_event,15,0,0.8542556946887141,0.6035714285714285,False,False
all15,,effective_initial_glyphs,boundary_boost_bits_per_event,15,0,0.8486054979485678,0.425,False,False
all15,,effective_boundary_pairs,boundary_boost_bits_per_event,15,0,0.8627352499005968,0.6357142857142857,False,False
all15,,possible_boundary_pairs_from_observed_marginals,boundary_boost_bits_per_event,15,0,0.8561756641044926,0.43649443725344333,False,False
all15,,observed_pair_support_fraction,boundary_boost_bits_per_event,15,0,-0.6852607525833072,-0.468275432742086,False,False
all15,,max_boundary_pair_probability,boundary_boost_bits_per_event,15,0,-0.42382782663236485,-0.49642857142857144,False,False
all15,,top5_boundary_pair_probability_mass,boundary_boost_bits_per_event,15,0,-0.6159919340741974,-0.5607142857142857,False,False
all15,,boundary_pair_simpson_concentration,boundary_boost_bits_per_event,15,0,-0.5212438860835958,-0.5607142857142857,False,False
all15,,boundary_pair_effective_simpson_pairs,boundary_boost_bits_per_event,15,0,0.7867918474283039,0.5607142857142857,False,False
