condition,omitted_leaf_groups,feature,outcome,n_used,n_missing,pearson_r,spearman_rho,p_values_computed,confirmatory_interpretation_permitted
all15,,boundary_pair_count,boundary_boost_bits_per_event,15,0,-0.0652474461094171,0.10714285714285714,False,False
all15,,final_glyph_entropy_bits,boundary_boost_bits_per_event,15,0,0.777043138378998,0.6035714285714285,False,False
all15,,initial_glyph_entropy_bits,boundary_boost_bits_per_event,15,0,0.810652100438977,0.425,False,False
all15,,boundary_pair_entropy_bits,boundary_boost_bits_per_event,15,0,0.804591574027295,0.6357142857142857,False,False
all15,,initial_given_final_conditional_entropy_bits,boundary_boost_bits_per_event,15,0,0.08548361786971875,-0.06785714285714285,False,False
all15,,final_given_initial_conditional_entropy_bits,boundary_boost_bits_per_event,15,0,0.330831405301011,0.49642857142857144,False,False
all15,,final_initial_mutual_information_bits,boundary_boost_bits_per_event,15,0,0.8123284646836385,0.4107142857142857,False,False
all15,,normalized_mutual_information_joint_fraction,boundary_boost_bits_per_event,15,0,0.7451211036963225,0.4035714285714286,False,False
all15,,distinct_final_glyphs,boundary_boost_bits_per_event,15,0,0.7955919583634226,0.5158846376573976,False,False
all15,,distinct_initial_glyphs,boundary_boost_bits_per_event,15,0,0.729576961696724,0.22904643428927182,False,False
all15,,distinct_boundary_pairs,boundary_boost_bits_per_event,15,0,0.6674260324825575,0.4325292165022321,False,False
all15,,effective_final_glyphs,boundary_boost_bits_per_event,15,0,0.8542556946887141,0.6035714285714285,False,False
all15,,effective_initial_glyphs,boundary_boost_bits_per_event,15,0,0.8486054979485678,0.425,False,False
all15,,effective_boundary_pairs,boundary_boost_bits_per_event,15,0,0.8627352499005968,0.6357142857142857,False,False
all15,,possible_boundary_pairs_from_observed_marginals,boundary_boost_bits_per_event,15,0,0.8561756641044926,0.43649443725344333,False,False
all15,,observed_pair_support_fraction,boundary_boost_bits_per_event,15,0,-0.6852607525833072,-0.468275432742086,False,False
all15,,max_boundary_pair_probability,boundary_boost_bits_per_event,15,0,-0.42382782663236485,-0.49642857142857144,False,False
all15,,top5_boundary_pair_probability_mass,boundary_boost_bits_per_event,15,0,-0.6159919340741974,-0.5607142857142857,False,False
all15,,boundary_pair_simpson_concentration,boundary_boost_bits_per_event,15,0,-0.5212438860835958,-0.5607142857142857,False,False
all15,,boundary_pair_effective_simpson_pairs,boundary_boost_bits_per_event,15,0,0.7867918474283039,0.5607142857142857,False,False
without_f49,f49,boundary_pair_count,boundary_boost_bits_per_event,14,0,-0.05614480704654883,0.0989010989010989,False,False
without_f49,f49,final_glyph_entropy_bits,boundary_boost_bits_per_event,14,0,0.7771566920347642,0.578021978021978,False,False
without_f49,f49,initial_glyph_entropy_bits,boundary_boost_bits_per_event,14,0,0.8797539782586914,0.5824175824175825,False,False
without_f49,f49,boundary_pair_entropy_bits,boundary_boost_bits_per_event,14,0,0.8141014403489131,0.643956043956044,False,False
without_f49,f49,initial_given_final_conditional_entropy_bits,boundary_boost_bits_per_event,14,0,0.10835102672532082,0.002197802197802198,False,False
without_f49,f49,final_given_initial_conditional_entropy_bits,boundary_boost_bits_per_event,14,0,0.3243666711953744,0.47692307692307695,False,False
without_f49,f49,final_initial_mutual_information_bits,boundary_boost_bits_per_event,14,0,0.8455053451979125,0.512087912087912,False,False
without_f49,f49,normalized_mutual_information_joint_fraction,boundary_boost_bits_per_event,14,0,0.785281722909328,0.4989010989010989,False,False
without_f49,f49,distinct_final_glyphs,boundary_boost_bits_per_event,14,0,0.8565082258926482,0.6526407735525018,False,False
without_f49,f49,distinct_initial_glyphs,boundary_boost_bits_per_event,14,0,0.7451592148585732,0.2860422927288711,False,False
without_f49,f49,distinct_boundary_pairs,boundary_boost_bits_per_event,14,0,0.6908197008934762,0.4928495831622246,False,False
without_f49,f49,effective_final_glyphs,boundary_boost_bits_per_event,14,0,0.8576851390493749,0.578021978021978,False,False
without_f49,f49,effective_initial_glyphs,boundary_boost_bits_per_event,14,0,0.8907648859952312,0.5824175824175825,False,False
without_f49,f49,effective_boundary_pairs,boundary_boost_bits_per_event,14,0,0.8753533459889999,0.643956043956044,False,False
without_f49,f49,possible_boundary_pairs_from_observed_marginals,boundary_boost_bits_per_event,14,0,0.8886401971086606,0.5528647772745635,False,False
without_f49,f49,observed_pair_support_fraction,boundary_boost_bits_per_event,14,0,-0.7687964526635354,-0.6160619789527808,False,False
without_f49,f49,max_boundary_pair_probability,boundary_boost_bits_per_event,14,0,-0.41820545393636116,-0.4725274725274725,False,False
without_f49,f49,top5_boundary_pair_probability_mass,boundary_boost_bits_per_event,14,0,-0.6130239952012464,-0.5648351648351648,False,False
without_f49,f49,boundary_pair_simpson_concentration,boundary_boost_bits_per_event,14,0,-0.5181420427307024,-0.5516483516483517,False,False
without_f49,f49,boundary_pair_effective_simpson_pairs,boundary_boost_bits_per_event,14,0,0.7917355698963005,0.5516483516483517,False,False
without_f57,f57,boundary_pair_count,boundary_boost_bits_per_event,14,0,-0.011582290892188938,0.08571428571428572,False,False
without_f57,f57,final_glyph_entropy_bits,boundary_boost_bits_per_event,14,0,0.46859084758333314,0.512087912087912,False,False
without_f57,f57,initial_glyph_entropy_bits,boundary_boost_bits_per_event,14,0,0.2236174896874592,0.2923076923076923,False,False
without_f57,f57,boundary_pair_entropy_bits,boundary_boost_bits_per_event,14,0,0.4626596466859791,0.5516483516483517,False,False
