leaf_group,boundary_pair_count,distinct_final_glyphs,distinct_initial_glyphs,distinct_boundary_pairs,possible_boundary_pairs_from_observed_marginals,observed_pair_support_fraction,max_boundary_pair_probability,top5_boundary_pair_probability_mass,boundary_pair_simpson_concentration,boundary_pair_effective_simpson_pairs,top1_pair,top1_probability,top2_pair,top2_probability,top3_pair,top3_probability,top4_pair,top4_probability,top5_pair,top5_probability
f103,868,18,18,79,324,0.24382716049382716,0.17626728110599077,0.48387096774193544,0.06815285947885909,14.672898652333119,A2->D1,0.17626728110599077,A2->A1,0.12557603686635946,A2->B2,0.07027649769585254,A2->L1,0.06336405529953917,A2->K1,0.04838709677419355
f13,124,10,13,46,130,0.35384615384615387,0.0967741935483871,0.3629032258064516,0.04201352757544228,23.801857585139302,A2->A1,0.0967741935483871,A2->B1,0.08064516129032258,A2->D1,0.06451612903225806,A2->Q1,0.06451612903225806,B2->B1,0.056451612903225805
f2,143,14,18,62,252,0.24603174603174602,0.1048951048951049,0.3286713286713287,0.03506283925864346,28.52022315202231,A2->K1,0.1048951048951049,A2->B1,0.08391608391608392,C1->K1,0.055944055944055944,B2->B1,0.04195804195804196,B2->K1,0.04195804195804196
f31,185,16,13,59,208,0.28365384615384615,0.11891891891891893,0.34054054054054056,0.04070124178232287,24.569274946159364,A2->A1,0.11891891891891893,A2->D1,0.07567567567567568,A2->B1,0.05405405405405406,A2->K1,0.05405405405405406,B2->K1,0.03783783783783784
f49,210,10,16,55,160,0.34375,0.09523809523809523,0.3333333333333333,0.040952380952380955,24.418604651162788,A2->K1,0.09523809523809523,B2->K1,0.07142857142857142,A1->B1,0.05714285714285714,C1->K1,0.05714285714285714,A1->K1,0.05238095238095238
f5,89,14,15,48,210,0.22857142857142856,0.06741573033707865,0.2696629213483146,0.03143542482009843,31.81124497991972,A2->D1,0.06741573033707865,A2->K1,0.056179775280898875,C1->K1,0.056179775280898875,A2->A1,0.0449438202247191,A2->B1,0.0449438202247191
f53,112,17,16,60,272,0.22058823529411764,0.05357142857142857,0.24107142857142858,0.02566964285714283,38.95652173913048,A2->A1,0.05357142857142857,A2->D1,0.05357142857142857,A2->B1,0.044642857142857144,A2->K1,0.044642857142857144,B2->B1,0.044642857142857144
f55,204,16,17,60,272,0.22058823529411764,0.09313725490196079,0.357843137254902,0.04084967320261442,24.479999999999976,A2->A1,0.09313725490196079,G1->A1,0.08823529411764706,C1->A3,0.06372549019607843,C1->A1,0.058823529411764705,A2->D1,0.05392156862745098
f56,159,10,17,53,170,0.31176470588235294,0.13836477987421383,0.4465408805031446,0.05462600371820741,18.306299782766093,B2->K1,0.13836477987421383,A2->K1,0.10062893081761007,A2->Q1,0.08176100628930817,A2->B1,0.06918238993710692,C1->K1,0.05660377358490566
f57,261,27,32,122,864,0.1412037037037037,0.04980842911877394,0.20306513409961685,0.016602809706258045,60.230769230769006,A2->B1,0.04980842911877394,A2->K1,0.04980842911877394,A2->A1,0.0421455938697318,B2->B1,0.034482758620689655,C1->A1,0.02681992337164751
f58,671,14,24,95,336,0.28273809523809523,0.08047690014903129,0.2965722801788376,0.03217165917808474,31.083258543320568,A2->A1,0.08047690014903129,C1->A3,0.06557377049180328,A2->D1,0.06259314456035768,B2->A1,0.044709388971684055,B2->K1,0.043219076005961254
f71,152,10,15,44,150,0.29333333333333333,0.20394736842105263,0.47368421052631576,0.07037742382271463,14.209102091020922,A2->A1,0.20394736842105263,C1->A3,0.07894736842105263,B2->A1,0.07236842105263158,C1->A1,0.07236842105263158,G1->A1,0.046052631578947366
f75,653,13,16,70,208,0.33653846153846156,0.24808575803981622,0.4793261868300153,0.08673128381436598,11.52986507314172,A2->D1,0.24808575803981622,A2->A1,0.08116385911179173,A2->B2,0.055130168453292494,A2->B1,0.04747320061255743,C1->A1,0.04747320061255743
f76,871,19,18,99,342,0.2894736842105263,0.16991963260619977,0.45464982778415614,0.06033024843107606,16.575433153444482,A2->D1,0.16991963260619977,A2->A1,0.1044776119402985,A2->B2,0.0711825487944891,A2->K1,0.06659012629161883,A2->L1,0.04247990815154994
f99,274,12,20,61,240,0.25416666666666665,0.13503649635036497,0.4051094890510949,0.049629708561990615,20.14922168545353,B2->A1,0.13503649635036497,A2->D1,0.08759124087591241,A2->A1,0.07664233576642336,G1->A1,0.05474452554744526,A2->B1,0.051094890510948905
