leaf_group,section_label,currier_label,scribe_label,quire_label,locus_type_label,space_free_delta_bits_per_event,token_aware_delta_bits_per_event,boundary_boost_bits_per_event,boundary_pair_count,final_glyph_entropy_bits,initial_glyph_entropy_bits,boundary_pair_entropy_bits,initial_given_final_conditional_entropy_bits,final_given_initial_conditional_entropy_bits,final_initial_mutual_information_bits,normalized_mutual_information_joint_fraction,distinct_final_glyphs,distinct_initial_glyphs,distinct_boundary_pairs,effective_final_glyphs,effective_initial_glyphs,effective_boundary_pairs,possible_boundary_pairs_from_observed_marginals,observed_pair_support_fraction,max_boundary_pair_probability,top5_boundary_pair_probability_mass,boundary_pair_simpson_concentration,boundary_pair_effective_simpson_pairs
f103,marginal_stars,B,3,20,P,0.08732273234686237,0.11748484184390624,0.03016210949704387,868,2.136731168298877,2.960294586567613,4.750657497265052,2.6139263289661745,1.7903629106974388,0.34636825760143797,0.07290954100581694,18,18,79,4.397645064006326,7.782828607221471,26.920951511180068,324,0.24382716049382716,0.17626728110599077,0.48387096774193544,0.06815285947885909,14.672898652333119
f13,herbal,A,1,2,P,-0.003858312408945519,0.0011037848814423774,0.004962097290387896,124,2.4721786065015525,3.1099483712783567,5.001750223124811,2.529571616623259,1.8918018518464548,0.5803767546550977,0.11603473359621526,10,13,46,5.548810780070041,8.633516924855781,32.03884474890485,130,0.35384615384615387,0.0967741935483871,0.3629032258064516,0.04201352757544228,23.801857585139302
f2,herbal,A,1,1,MIXED[L|P],-0.02314056391735144,0.03749209548433476,0.060632659401686204,143,2.9874179212308687,3.16649731341981,5.428848176351704,2.4414302551208356,2.2623508629318945,0.7250670582989747,0.13355817564716543,14,18,62,7.93053349766173,8.97864235118558,43.07706871415194,252,0.24603174603174602,0.1048951048951049,0.3286713286713287,0.03506283925864346,28.52022315202231
f31,herbal,B,2,4,P,0.07939389891535842,0.14559767797761278,0.06620377906225436,185,2.787270443574145,3.129341218475542,5.206410016424769,2.419139572850624,2.0770687979492273,0.7102016456249176,0.13640908867807758,16,13,59,6.903224694236968,8.750353001605085,36.92203117604573,208,0.28365384615384615,0.11891891891891893,0.34054054054054056,0.04070124178232287,24.569274946159364
f49,herbal,A,1,7,MIXED[L|P],-0.1616437878087494,-0.09983513813665569,0.06180864967209372,210,2.742093678810574,2.725584915471676,5.069579563226721,2.3274858844161472,2.3439946477550455,0.39809903105552813,0.07852703090868215,10,16,55,6.69040561467715,6.614283647315361,33.58114607895045,160,0.34375,0.09523809523809523,0.3333333333333333,0.040952380952380955,24.418604651162788
f5,herbal,A,1,1,P,0.04429991656086361,0.08967221275231457,0.045372296191450966,89,2.977371963411438,3.1011731119197696,5.27906496507856,2.301693001667122,2.1778918531587905,0.7994801102526479,0.15144350667045645,14,15,48,7.875502419017009,8.581162543961419,38.82906237528883,210,0.22857142857142856,0.06741573033707865,0.2696629213483146,0.03143542482009843,31.81124497991972
f53,herbal,A,1,7,P,0.017094953932163707,0.07180008027642913,0.05470512634426543,112,3.1511852278891204,3.2549244100738415,5.593181378134549,2.4419961502454286,2.3382569680607075,0.8129282598284124,0.14534273159929997,17,16,60,8.883851195146288,9.54618575928017,48.27423119294349,272,0.22058823529411764,0.05357142857142857,0.24107142857142858,0.02566964285714283,38.95652173913048
f55,herbal,B,2,7,P,-0.038618279986457116,0.030089843265260933,0.06870812325171805,204,2.831903841998327,3.0759949765293433,5.16824950466187,2.336345662663543,2.0922545281325267,0.7396493138658,0.14311408789351612,16,17,60,7.120131281722126,8.4327020235682,35.95821509717808,272,0.22058823529411764,0.09313725490196079,0.357843137254902,0.04084967320261442,24.479999999999976
f56,herbal,A,1,7,P,0.008179142060543406,0.034431165492754386,0.02625202343221098,159,2.465934579004018,3.0475045444192315,4.895763004346133,2.429828425342115,1.8482584599269014,0.6176761190771165,0.12616544520819017,10,17,53,5.524847255077913,8.26780604233942,29.76949832389419,170,0.31176470588235294,0.13836477987421383,0.4465408805031446,0.05462600371820741,18.306299782766093
f57,MIXED[cosmological|herbal],MIXED[B|UNSET],MIXED[1|5],8,MIXED[C|L|P|R],-0.3289650914428249,-0.17195339212710747,0.1570116993157174,261,3.8571690785273285,4.3085960319561565,6.449863207502351,2.5926941289750225,2.1412671755461945,1.715901902981133,0.26603694493632524,27,32,122,14.491842019096714,19.816029714810206,87.41828727036172,864,0.1412037037037037,0.04980842911877394,0.20306513409961685,0.016602809706258045,60.230769230769006
