replicate,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event
0,2.368877698954157,2.2847717754471226,0.0841059235070345
1,2.5509965827353365,2.5063006704883444,0.0446959122469921
2,2.3460427843660403,2.255515009955707,0.09052777441033344
3,2.254637683880715,2.145838142240304,0.10879954164041106
4,2.323332951619485,2.2197406659130468,0.10359228570643841
5,2.4369726032660166,2.3601812608971127,0.07679134236890395
6,2.361214432955047,2.2785861167631385,0.08262831619190836
7,2.5244740091070517,2.460842574818681,0.06363143428837059
8,2.519226266662419,2.4520632845160497,0.06716298214636929
9,2.4250497142564256,2.344239524097079,0.08081019015934654
10,2.462532356451624,2.4017342635282186,0.060798092923405544
11,2.528348737787356,2.4638196948896764,0.06452904289767947
12,2.290465224688832,2.1835015651215173,0.1069636595673149
13,2.3546914336320883,2.2610475364124887,0.09364389721959965
14,2.4351842335128104,2.3779559833906467,0.057228250122163704
15,2.5181777835429093,2.434216888537779,0.08396089500513026
16,2.4409950778563876,2.3708987528635626,0.07009632499282503
17,2.3275068032044044,2.230816864085182,0.09668993911922241
18,2.4317243984833308,2.3728461554479754,0.05887824303535538
19,2.3052618992192366,2.2109099948867685,0.0943519043324681
20,2.3360750245856505,2.24312666435514,0.09294836023051056
21,2.340181733067265,2.2441290169717862,0.09605271609547872
22,2.3532332633965414,2.2537050185363108,0.0995282448602306
23,2.3535378394653885,2.264116148649491,0.08942169081589757
24,2.335170412971408,2.2354293111680943,0.09974110180331364
25,2.4685015404030444,2.3995392018056356,0.06896233859740875
26,2.491736395488987,2.426358735717755,0.06537765977123167
27,2.407227150638507,2.33669074301303,0.07053640762547664
28,2.4157895550194666,2.3402659900739438,0.07552356494552281
29,2.39668801886682,2.3202254306246766,0.07646258824214325
30,2.6287629752960076,2.585599187931385,0.043163787364622674
31,2.327712416822505,2.2294668807092632,0.09824553611324172
32,2.3020538367342644,2.190656399708082,0.11139743702618254
33,2.3848540827444427,2.3097545130683104,0.0750995696761323
34,2.383446141435331,2.3070688277363156,0.07637731369901557
35,2.3648451646347834,2.2668214813496443,0.09802368328513911
36,2.34607477020828,2.2617561880440067,0.08431858216427335
37,2.4160171762930256,2.3216003917062022,0.09441678458682334
38,2.234993712775674,2.1288512148571033,0.10614249791857056
39,2.357417860693517,2.26719293343096,0.09022492726255704
40,2.424624328632067,2.3429868728262777,0.0816374558057893
41,2.3588623095001804,2.269653967676064,0.0892083418241163
42,2.490094926194891,2.419334745366456,0.07076018082843483
43,2.420603172874724,2.337526693940059,0.08307647893466497
44,2.4741193363043332,2.402558400673745,0.07156093563058841
45,2.3919164393791106,2.294733658265878,0.09718278111323242
46,2.3916595546316133,2.3179242273324427,0.07373532729917054
47,2.339170480162223,2.2440649280893576,0.09510555207286542
48,2.4965541631241313,2.4103029084991614,0.08625125462496985
49,2.4040474612002583,2.337021685787765,0.06702577541249344
50,2.3990437709891084,2.3063598562760053,0.09268391471310311
51,2.768272498936959,2.770007208897373,-0.001734709960413916
52,2.290727477721187,2.1877268993113246,0.10300057840986243
53,2.444958011585363,2.35524153129199,0.0897164802933732
54,2.4779686278212534,2.3973816236278234,0.08058700419343001
55,2.506992286319259,2.434271083767873,0.07272120255138592
56,2.3058343471309364,2.2140442323613274,0.09179011476960897
57,2.4205811684263314,2.333145669101159,0.08743549932517247
58,2.3703319453758165,2.2955378137874822,0.07479413158833426
59,2.373231898654083,2.2750930287705797,0.09813886988350307
60,2.3752579647493666,2.2923776860079736,0.08288027874139292
61,2.566087754446351,2.5236445257202873,0.042443228726063875
62,2.34842278617773,2.256373541476061,0.09204924470166898
63,2.413898097408433,2.335229269004709,0.0786688284037238
64,2.5483095250769483,2.4860789124058478,0.06223061267110053
65,2.431512559517817,2.3527465158536898,0.07876604366412732
66,2.4168442616241146,2.3242598110116828,0.09258445061243181
67,2.3740097907965625,2.282483181801432,0.09152660899513032
68,2.3877972452407645,2.305171574268792,0.08262567097197238
69,2.377576972026677,2.293646244083253,0.08393072794342382
70,2.354815393932259,2.261113293115264,0.09370210081699515
71,2.3359291209382493,2.2348017575590804,0.10112736337916894
72,2.356621149623717,2.2679121700824494,0.08870897954126766
73,2.458751850133378,2.389338742490987,0.06941310764239095
74,2.616567827314077,2.566582084947202,0.04998574236687503
75,2.4236201984803856,2.3353297957409924,0.08829040273939315
76,2.619730356940658,2.5634094234204756,0.056320933520182415
77,2.4147787464862147,2.323715777730606,0.0910629687556086
78,2.392546287132116,2.3014124052910154,0.09113388184110072
79,2.3954861019009868,2.302921595060984,0.09256450684000272
80,2.491721832713393,2.425362825398311,0.06635900731508215
81,2.4997126392536906,2.4475397184484087,0.05217292080528191
82,2.3281976630523733,2.247824096479342,0.08037356657303141
83,2.437171985137063,2.3651182864829328,0.07205369865413003
84,2.3239886403020376,2.219396938701644,0.10459170160039344
85,2.6407942603191192,2.6051670052869893,0.035627255032129934
86,2.3160336526847822,2.2075610241471146,0.10847262853766759
87,2.3669900508812436,2.275791407123844,0.09119864375739972
88,2.4621549379716514,2.3802990521500016,0.08185588582164982
89,2.3114237672534403,2.2054730651299272,0.1059507021235131
90,2.4965894085141733,2.442436386960363,0.05415302155381019
91,2.5847491756175267,2.544467804559328,0.04028137105819862
92,2.234497719386097,2.117513631622074,0.11698408776402314
93,2.3356726216901085,2.24547315150043,0.09019947018967844
94,2.395984517339261,2.3284576500613556,0.06752686727790547
95,2.3378272750115365,2.241439475057804,0.09638779995373259
96,2.3990670692440945,2.320834830609259,0.0782322386348353
97,2.3726729099227204,2.2758930064806164,0.09677990344210397
98,2.3026445271536,2.1969787028699432,0.10566582428365656
99,2.302393142759068,2.2021041505673185,0.10028899219174958
100,2.5153588926335577,2.4366876504314097,0.07867124220214805
101,2.3832480546778503,2.2974219920473886,0.08582606263046166
102,2.442724743593794,2.378777134207553,0.06394760938624122
103,2.4474690955737897,2.376218546369979,0.07125054920381046
104,2.322762325567002,2.229453754710639,0.09330857085636302
105,2.2260654214673967,2.116742920912086,0.10932250055531068
106,2.372360575206475,2.278881226186907,0.09347934901956778
