leaf_group,space_free_full_delta_bits_per_event,token_aware_full_delta_bits_per_event,space_free_leave_one_out_delta_bits_per_event,space_free_loo_minus_full_delta_bits_per_event,space_free_influence_interpretation,token_aware_leave_one_out_delta_bits_per_event,token_aware_loo_minus_full_delta_bits_per_event,token_aware_influence_interpretation
f57,0.0369285402976955,0.08387824955755825,0.05021633468404408,0.013287794386348577,leaf_pulls_delta_down,0.09401820855994632,0.010139959002388066,leaf_pulls_delta_down
f49,0.0369285402976955,0.08387824955755825,0.04613897802843703,0.009210437730741525,leaf_pulls_delta_down,0.09231827976202116,0.008440030204462906,leaf_pulls_delta_down
f55,0.0369285402976955,0.08387824955755825,0.0397464319124172,0.0028178916147217,leaf_pulls_delta_down,0.08593534723371844,0.002057097676160191,leaf_pulls_delta_down
f2,0.0369285402976955,0.08387824955755825,0.0384534230326288,0.0015248827349333,leaf_pulls_delta_down,0.08508970105425429,0.0012114514966960338,leaf_pulls_delta_down
f13,0.0369285402976955,0.08387824955755825,0.03785952280341476,0.000930982505719255,leaf_pulls_delta_down,0.08581289836377701,0.0019346488062187556,leaf_pulls_delta_down
f56,0.0369285402976955,0.08387824955755825,0.037847972744016814,0.000919432446321311,leaf_pulls_delta_down,0.0854677179904562,0.0015894684328979503,leaf_pulls_delta_down
f53,0.0369285402976955,0.08387824955755825,0.03739301673814039,0.0004644764404448873,leaf_pulls_delta_down,0.08416009415540676,0.0002818445978485101,leaf_pulls_delta_down
f71,0.0369285402976955,0.08387824955755825,0.03732818920314287,0.00039964890544736537,leaf_pulls_delta_down,0.08523913875347325,0.0013608891959149966,leaf_pulls_delta_down
f5,0.0369285402976955,0.08387824955755825,0.036804725743371805,-0.00012381455432369792,leaf_pulls_delta_up,0.08377952837304037,-9.872118451788314e-05,leaf_pulls_delta_up
f99,0.0369285402976955,0.08387824955755825,0.03676769959662914,-0.00016084070106636011,leaf_pulls_delta_up,0.08459347458854141,0.0007152250309831604,leaf_pulls_delta_down
f31,0.0369285402976955,0.08387824955755825,0.03529274362090589,-0.0016357966767896123,leaf_pulls_delta_up,0.08149877720750968,-0.002379472350048567,leaf_pulls_delta_up
f58,0.0369285402976955,0.08387824955755825,0.034223063156992924,-0.0027054771407025793,leaf_pulls_delta_up,0.08118426300849144,-0.0026939865490668152,leaf_pulls_delta_up
f75,0.0369285402976955,0.08387824955755825,0.029539450546444464,-0.0073890897512510385,leaf_pulls_delta_up,0.07570301066807235,-0.008175238889485903,leaf_pulls_delta_up
f76,0.0369285402976955,0.08387824955755825,0.026082444950560675,-0.010846095347134828,leaf_pulls_delta_up,0.0730660525522638,-0.010812197005294455,leaf_pulls_delta_up
f103,0.0369285402976955,0.08387824955755825,0.026077158229686197,-0.010851382068009306,leaf_pulls_delta_up,0.07665501730951997,-0.0072232322480382805,leaf_pulls_delta_up
