metadata_field,metadata_value,atomic_leaf_groups,leaf_groups,space_free_events,space_free_hmm_bits_per_event,space_free_trigram_bits_per_event,space_free_delta_bits_per_event,space_free_positive_leaf_groups,space_free_negative_leaf_groups,token_aware_events,token_aware_hmm_bits_per_event,token_aware_trigram_bits_per_event,token_aware_delta_bits_per_event,token_aware_positive_leaf_groups,token_aware_negative_leaf_groups
section,MIXED[biological|text_only],1,f76,3919,2.431413571489786,2.341834835253359,0.08957873623642762,1,0,4791,2.1489805195916842,2.01287152749801,0.1361089920936742,1,0
section,MIXED[cosmological|herbal],1,f57,804,3.822664025526548,4.151629116969373,-0.3289650914428249,0,1,1065,3.490811661022942,3.6627650531500495,-0.17195339212710747,0,1
section,biological,1,f75,3169,2.278558944675571,2.1955237900701325,0.08303515460543866,1,0,3822,2.0843740717919377,1.9489182358026247,0.1354558359893132,1,0
section,herbal,8,f13|f2|f31|f49|f5|f53|f55|f56,5388,2.9419088236668327,2.9627378905331643,-0.02082906686633158,4,4,6617,2.6114573985891902,2.580556842201757,0.030900556387433286,7,1
section,marginal_stars,2,f103|f58,7242,2.6064497541873313,2.533850287095521,0.07259946709181059,2,0,8792,2.31119804038672,2.20104949452418,0.11014854586254014,2,0
section,pharmaceutical,1,f99,1586,2.770313099953362,2.7312186864824763,0.039094413470885166,1,0,1860,2.542213831034374,2.4683621904461113,0.07385164058826288,1,0
section,zodiac,1,f71,835,2.843385836718643,2.817038659297163,0.026347177421480055,1,0,988,2.579878772201646,2.533117811269927,0.046760960931719046,1,0
currier,A,8,f13|f2|f49|f5|f53|f56|f58|f99,8475,2.9085959410495357,2.8985816597292065,0.010014281320329145,5,3,10261,2.6042739030585658,2.550896871662216,0.05337703139634962,7,1
currier,B,5,f103|f31|f55|f75|f76,12829,2.433528951611047,2.3552010611883074,0.07832789042273973,4,1,15621,2.168130936286873,2.0444277344785853,0.12370320180828807,5,0
currier,MIXED[B|UNSET],1,f57,804,3.822664025526548,4.151629116969373,-0.3289650914428249,0,1,1065,3.490811661022942,3.6627650531500495,-0.17195339212710747,0,1
currier,UNSET,1,f71,835,2.843385836718643,2.817038659297163,0.026347177421480055,1,0,988,2.579878772201646,2.533117811269927,0.046760960931719046,1,0
scribe,1,7,f13|f2|f49|f5|f53|f56|f99,5298,2.979235881558184,2.9954547187607337,-0.01621883720254949,4,3,6411,2.6671230551561997,2.6421837645108908,0.024939290645309167,6,1
scribe,2,4,f31|f55|f75|f76,8764,2.4201497832374517,2.3459939640631777,0.07415581917427405,3,1,10679,2.169851933452079,2.043271015102544,0.12658091834953542,4,0
scribe,3,2,f103|f58,7242,2.6064497541873313,2.533850287095521,0.07259946709181059,2,0,8792,2.31119804038672,2.20104949452418,0.11014854586254014,2,0
scribe,4,1,f71,835,2.843385836718643,2.817038659297163,0.026347177421480055,1,0,988,2.579878772201646,2.533117811269927,0.046760960931719046,1,0
scribe,MIXED[1|5],1,f57,804,3.822664025526548,4.151629116969373,-0.3289650914428249,0,1,1065,3.490811661022942,3.6627650531500495,-0.17195339212710747,0,1
quire,1,2,f2|f5,947,3.1728489730584335,3.1689991018107966,0.003849871247636657,1,1,1179,2.7511962297164945,2.6929914159273127,0.058204813789181714,2,0
quire,11,1,f71,835,2.843385836718643,2.817038659297163,0.026347177421480055,1,0,988,2.579878772201646,2.533117811269927,0.046760960931719046,1,0
quire,13,2,f75|f76,7088,2.3630732339652023,2.2764200917170094,0.08665314224819316,2,0,8613,2.1203115490250255,1.9844923935307788,0.13581915549424675,2,0
quire,19,1,f99,1586,2.770313099953362,2.7312186864824763,0.039094413470885166,1,0,1860,2.542213831034374,2.4683621904461113,0.07385164058826288,1,0
quire,2,1,f13,512,3.043706671064979,3.0475649834739245,-0.003858312408945519,0,1,638,2.670222628414473,2.669118843533031,0.0011037848814423774,1,0
quire,20,1,f103,4065,2.4623739778413527,2.37505124549449,0.08732273234686237,1,0,4942,2.164412091947085,2.0469272501031788,0.11748484184390624,1,0
quire,4,1,f31,851,2.58755394642914,2.5081600475137815,0.07939389891535842,1,0,1037,2.344056659402454,2.1984589814248414,0.14559767797761278,1,0
quire,7,4,f49|f53|f55|f56,3078,2.951894262649153,3.0108486461354724,-0.05895438348631955,2,2,3763,2.6314016632740227,2.635612000945812,-0.004210337671789132,3,1
quire,8,2,f57|f58,3981,2.99919135303263,3.0227255152609978,-0.023534162228367926,1,1,4915,2.714393292302539,2.672748213113221,0.041645079189317785,1,1
locus_type,MIXED[C|L],1,f71,835,2.843385836718643,2.817038659297163,0.026347177421480055,1,0,988,2.579878772201646,2.533117811269927,0.046760960931719046,1,0
locus_type,MIXED[C|L|P|R],1,f57,804,3.822664025526548,4.151629116969373,-0.3289650914428249,0,1,1065,3.490811661022942,3.6627650531500495,-0.17195339212710747,0,1
locus_type,MIXED[L|P],5,f2|f49|f75|f76|f99,10259,2.551413020700478,2.5028053942735875,0.04860762642689023,3,2,12411,2.290031446184423,2.1924298344559725,0.09760161172845072,4,1
locus_type,P,8,f103|f13|f31|f5|f53|f55|f56|f58,11045,2.688560193865707,2.635045128142787,0.05351506572292025,6,2,13471,2.388037086810654,2.293854336350895,0.09418275045975898,8,0
