leaf_group,folios,physical_leaves,section_label,currier_label,scribe_label,quire_label,locus_type_label,space_free_events,space_free_hmm_total_bits,space_free_trigram_total_bits,space_free_hmm_bits_per_event,space_free_trigram_bits_per_event,space_free_delta_bits,space_free_delta_bits_per_event,space_free_contribution_to_corpus_delta_bits_per_event,space_free_direction,token_aware_events,token_aware_hmm_total_bits,token_aware_trigram_total_bits,token_aware_hmm_bits_per_event,token_aware_trigram_bits_per_event,token_aware_delta_bits,token_aware_delta_bits_per_event,token_aware_contribution_to_corpus_delta_bits_per_event,token_aware_direction,token_aware_minus_space_free_delta_bits_per_event,sign_concordant
f103,f103r|f103v,103,marginal_stars,B,3,20,P,4065,10009.550219925099,9654.583312935103,2.4623739778413527,2.37505124549449,354.96690698999555,0.08732273234686237,0.01547168665780393,positive,4942,10696.524558402494,10115.91447000991,2.164412091947085,2.0469272501031788,580.6100883925847,0.11748484184390624,0.020784323908809188,positive,0.03016210949704387,True
f13,f13r|f13v,13,herbal,A,1,2,P,512,1558.3778155852692,1560.3532715386493,3.043706671064979,3.0475649834739245,-1.9754559533801057,-0.003858312408945519,-8.610277441398709e-05,negative,638,1703.602036928434,1702.8978221740738,2.670222628414473,2.669118843533031,0.7042147543602368,0.0011037848814423774,2.520904794559645e-05,positive,0.004962097290387896,False
f2,f2r|f2v,2,herbal,A,1,1,MIXED[L|P],568,1860.0052518970735,1873.1490922021292,3.2746571336216084,3.29779769753896,-13.143840305055619,-0.02314056391735144,-0.0005728910911849199,negative,711,2004.5685125124996,1977.9116326231376,2.819364996501406,2.781872901017071,26.656879889362017,0.03749209548433476,0.0009542466400344377,positive,0.060632659401686204,False
f31,f31r|f31v,31,herbal,B,2,4,P,851,2202.008408411198,2134.444200434228,2.58755394642914,2.5081600475137815,67.56420797697001,0.07939389891535842,0.00294487242195746,positive,1037,2430.786755800345,2279.8019637375605,2.344056659402454,2.1984589814248414,150.98479206278444,0.14559767797761278,0.00540486100099461,positive,0.06620377906225436,True
f49,f49r|f49v,49,herbal,A,1,7,MIXED[L|P],1017,3171.76126859774,3336.1530007992383,3.118742643655595,3.2803864314643443,-164.39173220149814,-0.1616437878087494,-0.00716522391149798,negative,1227,3426.2506686058946,3548.748383099571,2.792380333012139,2.892215471148795,-122.49771449367654,-0.09983513813665569,-0.00438509806671475,negative,0.06180864967209372,True
f5,f5r|f5v,5,herbal,A,1,1,P,379,1144.6827255892626,1127.8930572126953,3.0202710437711415,2.975971127210278,16.789668376567306,0.04429991656086361,0.0007317991708393543,positive,468,1239.0918423232472,1197.125246755164,2.64763214171634,2.5579599289640256,41.96659556808322,0.08967221275231457,0.0015022944538422489,positive,0.045372296191450966,True
f53,f53r|f53v,53,herbal,A,1,7,P,525,1616.4343497827624,1607.4594989683765,3.0789225710147856,3.061827617082622,8.974850814385945,0.017094953932163707,0.0003911803519324389,positive,637,1733.0756665422766,1687.3390154061913,2.720683934917232,2.6488838546408027,45.73665113608536,0.07180008027642913,0.0016372525912326957,positive,0.05470512634426543,True
f55,f55r|f55v,55,herbal,B,2,7,P,825,2258.7212095364725,2290.5812905252997,2.7378438903472393,2.7764621703336965,-31.86008098882712,-0.038618279986457116,-0.001388662380195577,negative,1029,2478.818669781864,2447.8562210619107,2.408958862761773,2.378869019496512,30.9624487199535,0.030089843265260933,0.0011083747528173797,positive,0.06870812325171805,False
f56,f56r|f56v,56,herbal,A,1,7,P,711,2039.013712517117,2033.1983425120707,2.867811128716058,2.8596319866555144,5.815370005046361,0.008179142060543406,0.00025347033975706585,positive,870,2263.819453970113,2233.8643399914167,2.602091326402429,2.5676601609096745,29.955113978696318,0.034431165492754386,0.001072314801456822,positive,0.02625202343221098,True
f57,f57r|f57v,57,MIXED[cosmological|herbal],MIXED[B|UNSET],MIXED[1|5],8,MIXED[C|L|P|R],804,3073.4218765233445,3337.9098100433757,3.822664025526548,4.151629116969373,-264.4879335200312,-0.3289650914428249,-0.011528044872947358,negative,1065,3717.7144189894334,3900.844781604803,3.490811661022942,3.6627650531500495,-183.13036261536945,-0.17195339212710747,-0.006555588423675298,negative,0.1570116993157174,True
f58,f58r|f58v,58,marginal_stars,A,3,8,P,3177,8866.358899899555,8695.560466210658,2.7907960024864824,2.737035085366905,170.7984336888967,0.05376091711957718,0.007444468190249605,positive,3850,9623.528612677546,9235.71268584668,2.499617821474687,2.3988864119082285,387.8159268308664,0.1007314095664588,0.013882796736383261,positive,0.046970492446881625,True
f71,f71r|f71v,71,zodiac,UNSET,4,11,MIXED[C|L],835,2374.227173660067,2352.227280513131,2.843385836718643,2.817038659297163,21.999893146935847,0.026347177421480055,0.0009588934815384147,positive,988,2548.9202269352263,2502.720397534688,2.579878772201646,2.533117811269927,46.19982940053842,0.046760960931719046,0.001653833162718397,positive,0.02041378351023899,True
f75,f75r|f75v,75,biological,B,2,13,MIXED[L|P],3169,7220.753295676885,6957.6148907322495,2.278558944675571,2.1955237900701325,263.1384049446351,0.08303515460543866,0.011469223943888555,positive,3822,7966.477702388786,7448.765497237631,2.0843740717919377,1.9489182358026247,517.7122051511551,0.1354558359893132,0.018532744054095402,positive,0.052420681383874554,True
f76,f76r|f76v,76,MIXED[biological|text_only],B,2,13,MIXED[L|P],3919,9528.709786668473,9177.650719357913,2.431413571489786,2.341834835253359,351.05906731055984,0.08957873623642762,0.015301358467094968,positive,4791,10295.765669363758,9643.667488242965,2.1489805195916842,2.01287152749801,652.098181120793,0.1361089920936742,0.023343410815134885,positive,0.04653025585724657,True
