language,factorization,train_plain_bigram_frequency_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,0,5,7825,58615,3968.318071327976,0.06770140870643993,0.06770140870643701,0.002531182797998988,2548,0.3256230031948882,6021.378926696158,9989.696998024103,0.4004338205974869
French,1x16,1,5,1855,12325,386.16638102108675,0.03133195789217742,0.03133195789217742,0.02289283071977646,644,0.3471698113207547,1700.174797867729,2086.341178888816,0.11306504677447426
French,1x16,16-31,5,625,3635,-732.9174151294493,-0.20162789962295716,-0.201627899622957,0.02742143182207341,280,0.448,1037.0973198809863,304.1799047515371,0.0689690596102744
French,1x16,2-3,5,1565,10740,-210.8373767155139,-0.019631040662524572,-0.01963104066252458,0.02423189236885041,553,0.35335463258785943,1890.6660776591448,1679.8287009436337,0.12573310036917382
French,1x16,32+,5,900,4595,-889.6461221318232,-0.19361177848353062,-0.1936117784835303,0.02723682578754944,647,0.7188888888888889,1061.5467588876154,171.90063675579236,0.07059499652473819
French,1x16,4-7,5,1190,7875,-567.6434165287303,-0.07208170368618798,-0.07208170368618794,0.03810676587799038,461,0.3873949579831933,1696.8114822886546,1129.1680657599236,0.1128413795175885
French,1x16,8-15,5,810,5490,-1059.3614215053867,-0.19296200756017973,-0.19296200756017975,0.03693736886118647,377,0.4654320987654321,1629.4634021508375,570.1019806454498,0.10836259660626474
German,1x16,0,5,8350,60420,8099.036278421802,0.13404561864319434,0.13404561864319348,0.003985624247831036,1984,0.2376047904191617,3630.589762013045,11729.626040434878,0.40801849239098364
German,1x16,1,5,1630,10460,977.708118233224,0.09347113941044206,0.0934711394104413,0.011699193090277156,447,0.27423312883435585,912.8385787706904,1890.5466970039095,0.10258802153946221
German,1x16,16-31,5,350,1985,-143.44449570363486,-0.07226422957361958,-0.07226422957361961,0.026663480217971106,203,0.58,325.94428398847487,182.49978828483987,0.03663076912404908
German,1x16,2-3,5,1145,7085,450.7574501311651,0.06362137616530206,0.0636213761653021,0.03157196213979887,283,0.24716157205240175,761.806257029412,1212.5637071605825,0.08561447612159108
German,1x16,32+,5,1655,8810,-1745.6800094302882,-0.19814756066178074,-0.19814756066178052,0.005328572691507941,1472,0.8894259818731118,1849.8621125282696,104.18210309798195,0.20789403368627488
German,1x16,4-7,5,935,5720,125.1242775583003,0.02187487369900355,0.021874873699003535,0.008123254603388277,307,0.32834224598930484,641.9942817258313,767.1185592841316,0.07214958343521735
German,1x16,8-15,5,750,4445,-112.48910479972794,-0.025306885219286375,-0.02530688521928635,0.025457142109214976,250,0.3333333333333333,775.0657407335846,662.5766359338567,0.08710462370242367
Italian,1x16,0,5,9040,66575,6109.920309736144,0.0917749952645309,0.09177499526452967,0.007616873995712864,2576,0.2849557522123894,5185.111228633461,11295.031538369323,0.553083741382966
Italian,1x16,1,5,1475,9605,389.2857324428364,0.04052948802111779,0.04052948802111778,0.013853685233255409,481,0.32610169491525426,1144.0598419876678,1533.345574430519,0.12203419943593162
Italian,1x16,16-31,5,295,1480,75.2904967555737,0.05087195726727953,0.05087195726727956,0.03751335506608003,43,0.14576271186440679,155.06028100885297,230.3507777644266,0.01653991912201909
Italian,1x16,2-3,5,1020,6225,282.4867846351828,0.04537940315424623,0.04537940315424628,0.031098602180238317,298,0.29215686274509806,726.5397794499386,1009.0265640851193,0.07749830654792558
Italian,1x16,32+,5,480,2185,-103.0848690618452,-0.04717842977658819,-0.047178429776588204,0.04878806743390364,145,0.3020833333333333,415.04761941354445,311.96275035169907,0.044272163136958614
Italian,1x16,4-7,5,960,6025,-115.98741886166546,-0.019251023877454847,-0.019251023877454837,0.01484580644013128,344,0.35833333333333334,961.5932660054073,845.6058471437424,0.10257091464383175
Italian,1x16,8-15,5,855,4825,-167.59540996740373,-0.034734799993244296,-0.03473479999324431,0.02140851918844745,262,0.3064327485380117,787.4996662569768,619.9042562895723,0.0840007557303715
Latin,1x16,0,5,10775,96320,-1889.4164456189383,-0.01961603452677469,-0.019616034526773702,0.0027592195349652963,3657,0.3393967517401392,14178.526726851705,12289.110281232288,0.6648374079847392
Latin,1x16,1,5,1225,10100,-1492.9081555949444,-0.14781268867276678,-0.14781268867276584,0.019897713859969104,560,0.45714285714285713,2609.0871430637762,1116.1789874688343,0.12234125356027
Latin,1x16,16-31,5,240,1640,-539.7894939413754,-0.329139935330107,-0.32913993533010705,0.0693607803517638,158,0.6583333333333333,590.9571100246588,51.16761608328348,0.027710241044641072
Latin,1x16,2-3,5,1075,8250,-1577.4161412715491,-0.19120195651776353,-0.1912019565177631,0.042593234247250714,531,0.493953488372093,2412.309135564797,834.8929942932482,0.11311424549558427
Latin,1x16,32+,5,55,275,-92.6206543556401,-0.3368023794750549,-0.3368023794750549,0.03568555632270332,55,1.0,92.6206543556401,0.0,0.00434302357035704
Latin,1x16,4-7,5,440,2995,-537.1095079417639,-0.17933539497220832,-0.1793353949722083,0.06715003842649156,220,0.5,777.3853914970593,240.27588355529588,0.03645194586467928
Latin,1x16,8-15,5,505,3260,-409.9832634811913,-0.12576173726416912,-0.1257617372641691,0.027820045533982023,256,0.5069306930693069,665.4209275134672,255.43766403227622,0.031201882479724132
