language,factorization,train_cipher_bigram_frequency_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,0,5,13679,97084,4348.613074838518,0.04479227344195251,0.04479712997046205,0.0038386089802393795,4486,0.3279479494115067,11562.426032543586,15911.039107381495,0.7689246081258793
French,1x16,1,5,426,2726,-2178.671599511854,-0.7992192221246712,-0.793929712383118,0.05907442583658687,391,0.9178403755868545,2192.1451859987565,13.473586486902999,0.14578206799808752
French,1x16,16-31,1,2,8,-3.197675077718193,-0.39970938471477413,-0.39970938471477413,0.0,2,1.0,3.197675077718193,0.0,0.00021265183008547676
French,1x16,2-3,5,308,1773,-799.926254030906,-0.4511710400625527,-0.44928580938039836,0.07757086215085361,276,0.8961038961038961,806.6310259312737,6.704771900367849,0.053642587098127886
French,1x16,4-7,5,260,1262,-358.8921965483421,-0.28438367396857533,-0.28422103684401007,0.014839847890673713,260,1.0,358.8921965483421,0.0,0.023867053576269413
French,1x16,8-15,5,95,422,-113.8466493314221,-0.2697787898848865,-0.2685438326203804,0.013993028672288077,95,1.0,113.8466493314221,0.0,0.007571031371549502
German,1x16,0,5,12688,87183,11055.071161297808,0.1268030597857129,0.12680951134205723,0.003486351829648177,2974,0.23439470365699874,5442.3618002973035,16497.43296159585,0.6116318290867274
German,1x16,1,5,472,2829,-1204.0419287899097,-0.4256069030717249,-0.424275624409977,0.026266394368083867,366,0.7754237288135594,1246.4247048574134,42.38277606750403,0.14007760785201356
German,1x16,16-31,5,191,1119,-286.99071250738376,-0.2564706992916745,-0.2559725531322834,0.011404376770642162,191,1.0,286.99071250738376,0.0,0.0322530292661185
German,1x16,2-3,5,459,2566,-535.6845774913887,-0.2087625009709231,-0.20768284840063733,0.017793578584495724,410,0.8932461873638344,544.9823710289508,9.297793537561988,0.0612470424870044
German,1x16,4-7,5,598,3119,-791.1403785203323,-0.25365193283755444,-0.25376536482230244,0.011066472302780843,598,1.0,791.1403785203323,0.0,0.08891114823573897
German,1x16,8-15,5,407,2109,-586.2010495779201,-0.27795213351252734,-0.2781264193875618,0.00917468913626432,407,1.0,586.2010495779201,0.0,0.06587934307239855
Italian,1x16,0,5,13768,95094,8005.574809532327,0.08418590878007369,0.08418773241172217,0.004984690839983088,3803,0.2762202208018594,7836.863933224668,15842.43874275592,0.8359400278553851
Italian,1x16,1,5,232,1248,-1189.515244102597,-0.9531372148257989,-0.950745145707163,0.042454813041375036,221,0.9525862068965517,1192.3038097807012,2.7885656781038133,0.12718027114578817
Italian,1x16,2-3,5,82,400,-274.79620295033607,-0.6869905073758402,-0.6858723147843017,0.032337704140798125,82,1.0,274.79620295033607,0.0,0.029311871114028255
Italian,1x16,4-7,5,40,166,-65.12220332022808,-0.3923024296399282,-0.39440347259353015,0.038832005326273775,40,1.0,65.12220332022808,0.0,0.006946433793079214
Italian,1x16,8-15,1,3,12,-5.825533479918665,-0.4854611233265554,-0.4854611233265554,0.0,3,1.0,5.825533479918665,0.0,0.0006213960917236305
Latin,1x16,0,5,14063,121209,-5047.4877810174685,-0.04164284649669141,-0.04164582911804259,0.002621318839286695,5185,0.3686980018488232,19834.551207684122,14787.063426665023,0.9300509049705311
Latin,1x16,1,5,142,958,-1066.0270383380428,-1.1127630880355353,-1.1137823318306264,0.09929874771266063,142,1.0,1066.0270383380428,0.0,0.049986480729911825
Latin,1x16,2-3,5,63,419,-299.62562137087133,-0.7150969483791678,-0.7196838165757944,0.0921633606811981,63,1.0,299.62562137087133,0.0,0.0140495783035604
Latin,1x16,4-7,5,47,254,-126.1032214781565,-0.4964693758982539,-0.48900180577740127,0.13379325283896049,47,1.0,126.1032214781565,0.0,0.00591303599599583
