language,factorization,train_cipher_conditional_probability_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,"(.01,.05]",5,58,356,-443.9434950955882,-1.2470322895943489,-1.2382395732823106,0.1326294977991892,58,1.0,443.9434950955882,0.0,0.029523136151151985
French,1x16,"(.05,.10]",5,34,221,-327.2168983047364,-1.4806194493426985,-1.4243591272203375,0.19262654834737544,34,1.0,327.2168983047364,0.0,0.021760582475768297
French,1x16,"(.10,.25]",5,28,161,-250.6826118727012,-1.5570348563521812,-1.5293157043825518,0.08410038386167566,28,1.0,250.6826118727012,0.0,0.01667089835261716
French,1x16,"(.25,.50]",3,7,40,-71.88768356981561,-1.79719208924539,-1.8388131571324042,0.16178136985265745,7,1.0,71.88768356981561,0.0,0.004780675678479356
French,1x16,"(.50,1]",3,4,28,-69.62559711788296,-2.48662846849582,-2.3787343933071323,0.5313114290986037,4,1.0,69.62559711788296,0.0,0.004630242375494019
French,1x16,"(0,.01]",5,960,5385,-2291.1780885395133,-0.4254741111493989,-0.4246313269483888,0.030321745955459743,893,0.9302083333333333,2311.3564469267835,20.17835838727085,0.15370985684060867
French,1x16,0,5,13679,97084,4348.613074838518,0.04479227344195251,0.04479712997046205,0.0038386089802393795,4486,0.3279479494115067,11562.426032543586,15911.039107381495,0.7689246081258793
German,1x16,"(.01,.05]",3,10,56,-55.34927800853924,-0.9883799644382006,-0.9937875561390861,0.07092855050068446,10,1.0,55.34927800853924,0.0,0.0062203472296059594
German,1x16,"(.05,.10]",5,22,126,-173.1279028706127,-1.3740309751635928,-1.4325505209550944,0.15042157903588985,22,1.0,173.1279028706127,0.0,0.019456724816221807
German,1x16,"(.10,.25]",5,12,63,-95.14789149216828,-1.510283991939179,-1.5497736524973649,0.2020703964147178,12,1.0,95.14789149216828,0.0,0.010693055890536584
German,1x16,"(.25,.50]",3,5,28,-46.33317066558433,-1.6547560951994404,-1.7704162757653303,0.4584408262657816,5,1.0,46.33317066558433,0.0,0.005207085262143132
German,1x16,"(.50,1]",4,4,27,-60.00126957117301,-2.222269243376778,-2.205377870396999,0.2496454951209182,4,1.0,60.00126957117301,0.0,0.006743154461604811
German,1x16,"(0,.01]",5,2074,11442,-2974.099134278857,-0.2599282585456089,-0.25992808539410006,0.005565526484305021,1919,0.9252651880424301,3025.779703883923,51.680569605066026,0.3400478032531617
German,1x16,0,5,12688,87183,11055.071161297808,0.1268030597857129,0.12680951134205723,0.003486351829648177,2974,0.23439470365699874,5442.3618002973035,16497.43296159585,0.6116318290867274
Italian,1x16,"(.01,.05]",5,91,433,-391.8606035612677,-0.9049898465618191,-0.9050982597083854,0.09006516324427696,91,1.0,391.8606035612677,0.0,0.041798858146264474
Italian,1x16,"(.05,.10]",5,42,228,-290.44146514918515,-1.2738660752157243,-1.29040847043954,0.23332906808347162,42,1.0,290.44146514918515,0.0,0.030980714803257557
Italian,1x16,"(.10,.25]",5,25,140,-218.60436034379296,-1.5614597167413784,-1.5319792785443713,0.15923354203300916,25,1.0,218.60436034379296,0.0,0.023318018104201803
Italian,1x16,"(.25,.50]",3,5,27,-34.66286567441119,-1.283809839793007,-1.273232163298027,0.07449502441072282,5,1.0,34.66286567441119,0.0,0.0036974071700504635
Italian,1x16,"(.50,1]",4,8,49,-91.538550232149,-1.8681336782071225,-1.8675195403584448,0.3204315971141197,8,1.0,91.538550232149,0.0,0.009764204008505466
Italian,1x16,"(0,.01]",5,186,949,-508.15133889227417,-0.5354597880845882,-0.5362920071347264,0.02359668174897954,175,0.9408602150537635,510.93990457037796,2.7885656781038133,0.05450076991233951
Italian,1x16,0,5,13768,95094,8005.574809532327,0.08418590878007369,0.08418773241172217,0.004984690839983088,3803,0.2762202208018594,7836.863933224668,15842.43874275592,0.8359400278553851
Latin,1x16,"(.01,.05]",5,32,183,-169.40358229612067,-0.9257026354979272,-0.893539858306753,0.2593932265985992,32,1.0,169.40358229612067,0.0,0.007943409123303921
Latin,1x16,"(.05,.10]",4,8,51,-70.2926180652979,-1.3782866287313313,-1.3668845680042103,0.3368070501299455,8,1.0,70.2926180652979,0.0,0.0032960520437211077
Latin,1x16,"(.10,.25]",5,15,95,-147.3412071354389,-1.5509600751098833,-1.4709889095048738,0.3166130916647146,15,1.0,147.3412071354389,0.0,0.006908894564888196
Latin,1x16,"(.25,.50]",4,8,55,-98.13075826397427,-1.7841956047995322,-1.593679758675292,0.3882983195529091,8,1.0,98.13075826397427,0.0,0.0046013947869662924
Latin,1x16,"(.50,1]",5,5,43,-97.47081337029469,-2.2667631016347602,-2.188812289949993,0.5349599909901177,5,1.0,97.47081337029469,0.0,0.004570449678142273
Latin,1x16,"(0,.01]",5,184,1204,-909.1169020559439,-0.7550804834351693,-0.756880771463607,0.04303205450682042,184,1.0,909.1169020559439,0.0,0.04262889483244626
Latin,1x16,0,5,14063,121209,-5047.4877810174685,-0.04164284649669141,-0.04164582911804259,0.002621318839286695,5185,0.3686980018488232,19834.551207684122,14787.063426665023,0.9300509049705311
