language,factorization,train_cipher_current_frequency_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,0,5,5780,50029,13623.743432221383,0.2723169248280274,0.2723185588055231,0.0008155193049031323,0,0.0,0.0,13623.743432221383,0.0
French,1x16,1,5,1894,14201,-7388.956871698336,-0.5203124337510271,-0.5212700232612286,0.022837172784861384,1495,0.7893347412882787,7739.892763288989,350.9358915906613,0.5147184503665174
French,1x16,16-31,5,2151,10317,-143.57815879627532,-0.013916657826526638,-0.013982499945565047,0.0067267926171641085,1072,0.49837284983728497,758.5314802571542,614.9533214608781,0.050443870478933305
French,1x16,2-3,5,1594,10818,-3625.4046233681643,-0.335127068161228,-0.3343234354515992,0.015357784426334118,1151,0.7220828105395232,3945.3134405697306,319.9088172015678,0.2623712863273972
French,1x16,32-63,5,305,1293,-77.51804016254178,-0.05995208055881035,-0.05999578008259254,0.01690498452236176,240,0.7868852459016393,111.72707995480933,34.209039792267504,0.007430075740981973
French,1x16,4-7,5,1379,8144,-1297.5788142363026,-0.15932942218029256,-0.15939683038698135,0.01232589896129741,795,0.5765047135605511,1704.8210257129367,407.24221147663826,0.11337403027975979
French,1x16,8-15,5,1667,8473,-196.6282236220306,-0.0232064467865019,-0.023631800304380328,0.01210883602330578,757,0.45410917816436713,776.852975647497,580.2247520254662,0.05166228680641059
German,1x16,0,5,6095,48680,13653.360850596247,0.2804716690755186,0.2804721459882034,0.0009835331617861877,0,0.0,0.0,13653.360850596247,0.0
German,1x16,1,5,1822,12264,-3183.4564011317343,-0.2595773321209829,-0.2600973014199787,0.031005292058727405,1168,0.6410537870472008,3856.8443065226807,673.3879053909486,0.43344577671633905
German,1x16,16-31,5,1238,6400,-557.4382455627541,-0.08709972586918033,-0.08703693582538297,0.013145980330233318,826,0.6672051696284329,815.5237117003886,258.0854661376336,0.09165143328465546
German,1x16,2-3,5,1662,10032,-1323.6021198122908,-0.13193801034811511,-0.13185527380932072,0.006999626789920867,899,0.5409145607701564,1999.4290807127356,675.8269609004435,0.22470289749915554
German,1x16,32-63,5,47,282,-42.09830369659482,-0.1492847648815419,-0.13907759354985158,0.04267144690545698,33,0.7021276595744681,52.31991820236676,10.22161450577196,0.00587989708182088
German,1x16,4-7,5,1823,10094,-341.41244297115907,-0.03382330522797296,-0.03400617564079703,0.005747388755055707,863,0.47339550191991225,1037.1542418899592,695.7417989188001,0.11655905455928352
German,1x16,8-15,5,2128,11173,-554.3408230106891,-0.04961432229577455,-0.04948895777170271,0.010354584655923168,1157,0.543703007518797,1136.8297577611706,582.4889347504804,0.12776094085874673
Italian,1x16,0,5,5676,49329,12677.471608281308,0.2569983500229339,0.25700456567003693,0.0007204868242713351,0,0.0,0.0,12677.471608281308,0.0
Italian,1x16,1,5,1558,11193,-4662.579631085912,-0.4165621040905845,-0.416192551440432,0.029115735971535328,1120,0.7188703465982028,5103.536714615309,440.95708352939556,0.5443823779164494
Italian,1x16,16-31,5,1919,9062,498.01577906796274,0.05495649735907777,0.0550876326223047,0.010804200999556687,563,0.29338196977592496,476.18530169151376,974.201080759477,0.050793577348297356
Italian,1x16,2-3,5,1388,8859,-1909.9396552587068,-0.21559314316048164,-0.21595674342294716,0.018129934620865096,847,0.6102305475504323,2322.1143266717067,412.17467141299966,0.24769452825278326
Italian,1x16,32-63,5,628,2965,-12.325977366148841,-0.004157159314046826,-0.0032965311642762936,0.014919737520928664,335,0.5334394904458599,154.60808056765524,142.2821032015063,0.016491683953891636
Italian,1x16,4-7,5,1442,7648,-19.531495593577695,-0.0025538043401644476,-0.0030322094991893757,0.010623406219058232,553,0.38349514563106796,680.7307832108097,661.1992876172311,0.07261196758396607
Italian,1x16,8-15,5,1514,7864,-100.79500236638499,-0.012817268866529119,-0.012938054737507141,0.0035534796495617967,731,0.48282694848084545,637.7364759988579,536.9414736324746,0.0680258649446169
Latin,1x16,0,5,7321,74866,13800.738689314298,0.18433920189824884,0.18433918482290618,0.0003717638341466117,0,0.0,0.0,13800.738689314298,0.0
Latin,1x16,1,5,1751,14800,-10838.604506515872,-0.7323381423321536,-0.7322815116818815,0.034283780779881354,1583,0.9040548258138207,10976.099368712032,137.49486219616,0.5146741685268019
Latin,1x16,16-31,5,1360,7697,-544.8971460132013,-0.0707934449802782,-0.07034854456916158,0.008116607704016808,898,0.6602941176470588,759.6962447610025,214.79909874779906,0.03562249392711023
Latin,1x16,2-3,5,1448,10873,-6068.606174088359,-0.5581353972306041,-0.5571979309909646,0.018346825291341875,1233,0.8515193370165746,6261.986590902438,193.38041681408015,0.29362732913895606
Latin,1x16,32-63,5,143,743,-72.55474093083616,-0.09765106450987371,-0.08376596416801803,0.03288130131570722,121,0.8461538461538461,85.78063377766509,13.225892846828955,0.004022291971141517
Latin,1x16,4-7,5,1196,7573,-2248.476746087476,-0.29690700463323333,-0.29611838812161906,0.03310246421879937,863,0.7215719063545151,2469.9818133310555,221.5050672435789,0.11581854294032817
Latin,1x16,8-15,5,1096,6288,-566.8430378848793,-0.09014679355675562,-0.08998161642210496,0.00930669153041015,739,0.6742700729927007,772.7624373868912,205.91939950201245,0.036235173495656206
