language,factorization,train_plain_current_frequency_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,0,5,1945,18710,4544.199391965708,0.24287543516652635,0.24287543516652102,0.0010372288129974546,0,0.0,0.0,4544.199391965708,0.0
French,1x16,1,5,900,8065,1239.8168968946165,0.1537280715306406,0.15372807153063894,0.03519380912862011,62,0.06888888888888889,694.8828305251958,1934.6997274198056,0.046211107137127866
French,1x16,128+,5,3975,19160,-218.2662811485824,-0.011391768327170272,-0.011391768327170286,0.007952752845898607,1938,0.48754716981132074,1478.3791346007167,1260.1128534521304,0.0983151886580553
French,1x16,16-31,5,1095,7420,-897.1106824504617,-0.12090440464291936,-0.1209044046429194,0.013952034692317823,630,0.5753424657534246,1690.5177182482798,793.4070357978159,0.11242283153857781
French,1x16,2-3,5,1095,9320,847.4063268520174,0.09092342562789886,0.09092342562789905,0.023723347732421664,161,0.14703196347031963,1347.4919737648863,2194.898300616908,0.08961092896626295
French,1x16,32-63,5,1490,9875,-2081.524598784828,-0.2107873011427674,-0.2107873011427673,0.010906142658350894,1000,0.6711409395973155,2624.6969903009663,543.1723915161393,0.1745476337782347
French,1x16,4-7,5,1435,11490,-311.69289165545314,-0.02712731868193674,-0.027127318681936644,0.028106728087777658,422,0.2940766550522648,2697.8812866181497,2386.1883949626917,0.17941453681469713
French,1x16,64-127,5,1400,8125,-299.4006541704818,-0.036849311282520836,-0.036849311282520836,0.012141086043568627,601,0.42928571428571427,903.7229413842462,604.3222872137633,0.060099394936875584
French,1x16,8-15,5,1435,11110,-1929.3488071644358,-0.1736587585206513,-0.17365875852065132,0.011589079298688678,696,0.48501742160278744,3599.565889988679,1670.2170828242508,0.23937837817016913
German,1x16,0,5,2375,21215,5286.353226247054,0.24917997766896322,0.24917997766896852,0.0009301394352112852,0,0.0,0.0,5286.353226247054,0.0
German,1x16,1,5,935,7540,1468.1060239999995,0.19470902175066307,0.19470902175066035,0.021191761109047774,65,0.06951871657754011,432.9742483467142,1901.0802723467007,0.04865917430356895
German,1x16,128+,5,3500,18330,-889.6442317209511,-0.04853487352542014,-0.04853487352542001,0.0033387151413590797,1995,0.57,1895.1348749124822,1005.4906431915307,0.2129819465228217
German,1x16,16-31,5,1575,9865,-259.9492787804309,-0.026350661812512003,-0.02635066181251188,0.01613064376330754,702,0.44571428571428573,1561.7894429369987,1301.840164156579,0.17551941026407233
German,1x16,2-3,5,1035,7950,1393.4338573294715,0.17527469903515364,0.17527469903515178,0.0245073208191419,119,0.11497584541062802,612.1810656751097,2005.6149230045742,0.06879906898337321
German,1x16,32-63,5,1260,7245,-97.90126741191096,-0.013512942361892473,-0.01351294236189243,0.01067180328068572,564,0.44761904761904764,801.382222462316,703.4809550504057,0.09006216280869773
German,1x16,4-7,5,1160,8415,720.8548498747923,0.08566308376408703,0.08566308376408614,0.01173917287146429,296,0.25517241379310346,1155.233125846331,1876.0879757211221,0.1298291763227447
German,1x16,64-127,5,1530,8425,98.98272334225182,0.011748691197893391,0.011748691197893377,0.005471689734502217,617,0.40326797385620916,639.6846884618999,738.6674118041506,0.07189002319201787
German,1x16,8-15,5,1445,9940,-69.22338846961436,-0.00696412358849239,-0.006964123588492396,0.012996565741844116,588,0.4069204152249135,1799.72134814745,1730.49795967784,0.2022590376027047
Italian,1x16,0,5,2300,21885,5080.638476712801,0.23215163247488238,0.23215163247488624,0.0007291143831438119,0,0.0,0.0,5080.638476712801,0.0
Italian,1x16,1,5,955,8470,1478.7077946524596,0.1745817939377166,0.17458179393771292,0.02550726193717964,55,0.05759162303664921,539.1125232575366,2017.8203179099953,0.05750587754860442
Italian,1x16,128+,5,3845,18875,463.01237365697375,0.024530456882488675,0.024530456882488703,0.006561577936248839,1513,0.39349804941482447,1163.1987058492819,1626.2110795062524,0.12407569747978178
Italian,1x16,16-31,5,1395,9385,-1369.4239172001046,-0.1459162405114656,-0.1459162405114667,0.008257958196767915,778,0.5577060931899641,2283.0664734752936,913.6425562751764,0.24352938467407226
Italian,1x16,2-3,5,1010,8720,662.4355976903817,0.07596738505623643,0.07596738505623676,0.0339084438556284,155,0.15346534653465346,1240.5182428571331,1902.953840547548,0.13232319245619556
Italian,1x16,32-63,5,935,5930,-307.39653891714494,-0.051837527642014325,-0.05183752764201418,0.01150102801783591,491,0.5251336898395722,782.4600746697088,475.06353575256367,0.08346319423029488
Italian,1x16,4-7,5,980,7805,188.58139462985315,0.02416161366173647,0.024161613661736556,0.018920719844838202,258,0.26326530612244897,1433.1161414537075,1621.6975360835888,0.15286716184108465
Italian,1x16,64-127,5,1645,8220,683.1738599895297,0.08311117518120799,0.08311117518120789,0.008544191450982574,448,0.2723404255319149,261.71433701937974,944.8881970089077,0.027916458935904054
Italian,1x16,8-15,5,1060,7630,-409.41341553605434,-0.05365837687235313,-0.053658376872353225,0.015708198601659545,451,0.42547169811320756,1671.7251841738068,1262.311768637761,0.1783190328340665
Latin,1x16,0,5,3110,34980,5687.364138864391,0.16258902626827876,0.16258902626826865,0.00033863904230854665,0,0.0,0.0,5687.364138864391,0.0
Latin,1x16,1,5,1245,13045,985.0011947617146,0.07550794900434761,0.07550794900434854,0.027730762067304387,83,0.06666666666666667,1176.216907685176,2161.2181024469073,0.055153332585132185
