language,factorization,line_position_class,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,final,5,1920,17690,1036.741543479374,0.05860607933744342,0.05860607933744345,0.009464402506552257,394,0.20520833333333333,2389.9107580298055,3426.652301509222,0.15893387667100425
French,1x16,initial,5,1920,12825,-937.4461411333881,-0.07309521568291526,-0.07309521568291552,0.01911449736237024,1059,0.5515625,2909.2786678772713,1971.8325267438854,0.1934728882442326
French,1x16,medial,5,10915,72650,761.789000315675,0.010485739852934274,0.010485739852934488,0.003804750355567482,4056,0.37159871736142924,9729.938867295923,10491.727867611742,0.6470605225552674
French,1x16,singleton,5,15,110,32.99429767631185,0.29994816069374414,0.29994816069374414,0.19854876232764518,1,0.06666666666666667,8.01047222812135,41.0047699044332,0.0005327125294964112
German,1x16,final,5,3055,23835,2641.9861535457667,0.11084481449740997,0.11084481449741318,0.00941265146566933,652,0.21342062193126024,1796.3539546724135,4438.340108218152,0.2018805980380512
German,1x16,initial,5,3055,18445,-818.924312235447,-0.04439817360994562,-0.04439817360994522,0.006588042063505905,1954,0.639607201309329,3166.773893538737,2347.8495813032837,0.3558932279554415
German,1x16,medial,5,8475,55015,5718.238208328883,0.10393962025500106,0.10393962025500378,0.0025514985328835963,2227,0.2627728613569322,3722.7106747662024,9440.948883095269,0.4183713657264672
German,1x16,singleton,5,230,1630,109.7124647713187,0.06730826059590105,0.06730826059590098,0.029736978072778177,113,0.49130434782608695,212.262493811947,321.9749585832658,0.023854808280041065
Italian,1x16,final,5,545,4740,730.0258020509322,0.1540138822892262,0.15401388228922694,0.017473762775398385,65,0.11926605504587157,318.2486080457082,1048.2744100966422,0.03394683798793475
Italian,1x16,initial,5,545,3400,-232.1672053774909,-0.06828447216985026,-0.06828447216985004,0.023731670926521117,268,0.4917431192660551,761.3842743634357,529.2170689859454,0.08121508768599112
Italian,1x16,medial,5,13035,88780,5972.457029005296,0.06727255045061158,0.06727255045061169,0.004551700150217836,3816,0.29275028768699657,8295.278800346712,14267.735829351694,0.8848380743260791
Latin,1x16,final,5,530,5325,-59.973576221494234,-0.011262643421876852,-0.011262643421876856,0.020856564974797875,136,0.25660377358490566,734.8293902075944,674.8558139860994,0.034456476085869235
Latin,1x16,initial,5,530,3895,-926.7608649230509,-0.2379360372074585,-0.23793603720745823,0.06051231716070035,311,0.5867924528301887,1400.5206137335651,473.75974881051593,0.06567103286552618
Latin,1x16,medial,5,13255,113620,-5552.509221060024,-0.04886911829836318,-0.04886911829836994,0.0041877337111634865,4990,0.3764617125612976,19190.95708493,13638.447863868163,0.8998724910486022
