language,factorization,train_plain_conditional_probability_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,"(.01,.05]",5,2615,16520,-1329.600319897974,-0.08048428086549479,-0.08048428086549514,0.010176173057575148,1095,0.4187380497131931,3485.6871639204337,2156.086844022449,0.23180521363104542
French,1x16,"(.05,.10]",5,955,5530,-457.66387672552776,-0.08276019470624371,-0.0827601947062437,0.01588257181461518,476,0.49842931937172774,953.4550187393784,495.7911420138502,0.06340667819939766
French,1x16,"(.10,.25]",5,855,5115,-456.52359959075955,-0.089251925628692,-0.08925192562869189,0.020586665951307107,376,0.439766081871345,908.4441003952417,451.9205008044831,0.06041336151553408
French,1x16,"(.25,.50]",5,430,2495,-341.43840775974644,-0.13684906122635127,-0.1368490612263511,0.059697011021161914,212,0.4930232558139535,526.5478727949071,185.10946503516126,0.03501649356361519
French,1x16,"(.50,1]",5,300,1650,-129.36084953408178,-0.07840051486914047,-0.07840051486914047,0.038947087524074914,162,0.54,234.8330083796917,105.47215884560987,0.015616867812615353
French,1x16,"(0,.01]",5,1790,13350,-359.6523174817206,-0.026940248500503416,-0.026940248500503385,0.027726125212898068,641,0.35810055865921786,2906.7926745053096,2547.140357023589,0.19330756468030588
French,1x16,0,5,7825,58615,3968.318071327976,0.06770140870643993,0.06770140870643701,0.002531182797998988,2548,0.3256230031948882,6021.378926696158,9989.696998024103,0.4004338205974869
German,1x16,"(.01,.05]",5,2755,15910,-525.3493343250698,-0.03302007129635888,-0.03302007129635902,0.00657965172031982,1399,0.5078039927404718,2074.494528955901,1549.145194630831,0.23313901753212984
German,1x16,"(.05,.10]",5,940,5290,-453.2214474976411,-0.08567513185210607,-0.08567513185210604,0.02821629249705178,543,0.5776595744680851,875.091388419819,421.86994092217833,0.09834585905112359
German,1x16,"(.10,.25]",5,500,2995,70.0496459475994,0.02338886342156908,0.023388863421569095,0.035050339785817244,160,0.32,326.0091940966253,396.0588400442244,0.03663806395111701
German,1x16,"(.25,.50]",5,240,1295,23.944382374865846,0.018489870559741967,0.018489870559741967,0.07148083443652156,92,0.38333333333333336,124.51483229764162,148.45921467250741,0.013993416355096676
German,1x16,"(.50,1]",5,145,815,49.57344652152085,0.06082631475033233,0.06082631475033234,0.07263151508165538,53,0.36551724137931035,55.599704515869654,105.17315103739048,0.0062484910444331795
German,1x16,"(0,.01]",5,1885,12200,386.97954296775987,0.03171963466948852,0.03171963466948858,0.01028925671065441,715,0.3793103448275862,1811.8016064904077,2198.7811494581606,0.20361665967511813
German,1x16,0,5,8350,60420,8099.036278421802,0.13404561864319434,0.13404561864319348,0.003985624247831036,1984,0.2376047904191617,3630.589762013045,11729.626040434878,0.40801849239098364
Italian,1x16,"(.01,.05]",5,1725,10620,-12.15188159753341,-0.0011442449715191535,-0.0011442449715191277,0.012730189360587235,560,0.32463768115942027,1576.705808553589,1564.5539269560675,0.1681835372864128
Italian,1x16,"(.05,.10]",5,745,3995,197.6296139191164,0.04946924002981637,0.04946924002981638,0.018593847807231046,170,0.22818791946308725,435.04491181133085,632.6745257304468,0.04640522775393729
Italian,1x16,"(.10,.25]",5,1045,5465,-214.12019975685328,-0.03918027442943335,-0.03918027442943327,0.03012731407747345,356,0.3406698564593301,833.0340706301159,618.9138708732628,0.08885780461936477
Italian,1x16,"(.25,.50]",5,330,1775,5.883343736642564,0.0033145598516296135,0.003314559851629611,0.026312757708277592,108,0.32727272727272727,187.14356596584474,193.02690970248722,0.01996216842341845
Italian,1x16,"(.50,1]",5,120,695,-47.7411091183158,-0.06869224333570619,-0.06869224333570617,0.08766024316800947,58,0.48333333333333334,95.43516208003767,47.69405296172187,0.010179846521176395
Italian,1x16,"(0,.01]",5,1120,7795,430.89554875962136,0.05527845397814257,0.05527845397814262,0.01672732276272186,321,0.28660714285714284,1062.436935081469,1493.3324838411017,0.11332767401272835
Italian,1x16,0,5,9040,66575,6109.920309736144,0.0917749952645309,0.09177499526452967,0.007616873995712864,2576,0.2849557522123894,5185.111228633461,11295.031538369323,0.553083741382966
Latin,1x16,"(.01,.05]",5,1235,8915,-1711.276266047718,-0.19195471296104522,-0.19195471296104458,0.023066879904413473,614,0.497165991902834,2506.026950364849,794.7506843171361,0.11750871540589318
Latin,1x16,"(.05,.10]",5,480,3230,-673.5791717847953,-0.20853844327702642,-0.20853844327702645,0.03086811965696219,292,0.6083333333333333,847.4028664656864,173.82369468089146,0.03973509632654075
Latin,1x16,"(.10,.25]",5,455,3335,-571.6980330973215,-0.17142369808015637,-0.17142369808015637,0.03745843604452397,251,0.5516483516483517,823.419122470246,251.72108937292535,0.03861048793112118
Latin,1x16,"(.25,.50]",5,350,2520,-390.931024616675,-0.15513135897487104,-0.15513135897487104,0.08518205341092311,161,0.46,599.0318810172425,208.10085640056738,0.02808887063854753
Latin,1x16,"(.50,1]",5,270,2210,-360.745725602136,-0.16323336000096653,-0.1632333600009666,0.060889617884845836,149,0.5518518518518518,515.3220543968721,154.57632879473584,0.02416367973364618
Latin,1x16,"(0,.01]",5,750,6310,-941.5969954378152,-0.1492229786747726,-0.14922297867477188,0.029193701155396573,313,0.41733333333333333,1856.5774873045018,914.9804918666871,0.08705574197950694
Latin,1x16,0,5,10775,96320,-1889.4164456189383,-0.01961603452677469,-0.019616034526773702,0.0027592195349652963,3657,0.3393967517401392,14178.526726851705,12289.110281232288,0.6648374079847392
