language,factorization,plaintext_token_length_bin,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,1-3,5,7405,38205,1319.6945234891834,0.034542455790843696,0.034542455790843446,0.0035609288386823992,3237,0.43713706954760295,2966.522816367078,4286.217339856288,0.19727973936017795
French,1x16,11+,5,70,1035,79.65950573526757,0.07696570602441312,0.07696570602441312,0.04316075306752711,4,0.05714285714285714,74.73712686431143,154.39663259957896,0.00497016939393581
French,1x16,4-5,5,3760,27965,204.55151185645548,0.007314554330643858,0.007314554330643874,0.010440688359089628,1508,0.40106382978723404,4751.465854026054,4956.0173658826225,0.3159820447324196
French,1x16,6-7,5,2255,21205,302.63513816972466,0.014271876357921464,0.0142718763579215,0.011585339818948196,500,0.22172949002217296,3812.2768102121636,4114.911948381971,0.25352408258519293
French,1x16,8-10,5,1280,14865,-1012.4619789126301,-0.06811045939540061,-0.06811045939540111,0.026795276754664556,261,0.20390625,3432.1361579615204,2419.6741790488877,0.22824396392827473
German,1x16,1-3,5,8445,44825,2521.5056254529186,0.05625221696492847,0.05625221696492982,0.003567479255427021,3411,0.40390763765541743,3477.8062102269146,5999.3118356799005,0.39084813755933445
German,1x16,11+,5,45,670,105.122777510292,0.15689966792580895,0.15689966792580898,0.005819853796867185,0,0.0,0.0,105.122777510292,0.0
German,1x16,4-5,5,3940,29575,2251.017839091949,0.07611218390843445,0.07611218390843524,0.013845897303319794,1249,0.31700507614213197,3501.8685319769684,5752.886371068904,0.39355234621066937
German,1x16,6-7,5,1700,15915,1764.9280828876808,0.11089714627003963,0.11089714627003891,0.015775551418368353,239,0.14058823529411765,1484.0114779014702,3248.939560789099,0.1667784480195694
German,1x16,8-10,5,685,7940,1008.4381894678147,0.12700732864833938,0.12700732864833758,0.021163868184227216,47,0.06861313868613139,434.414796683944,1442.8529861517554,0.04882106821042747
Italian,1x16,1-3,5,7360,37470,2096.2073741706913,0.055943618205783065,0.05594361820578261,0.004777009480798596,2559,0.34769021739130435,2312.6801053756085,4408.887479546266,0.24668820183442866
Italian,1x16,11+,5,75,1100,159.69372024936632,0.14517610931760574,0.14517610931760588,0.0023360458677182143,0,0.0,0.0,159.69372024936632,0.0
Italian,1x16,4-5,5,3590,27390,1239.7591941019773,0.04526320533413572,0.045263205334134464,0.008916714953468402,1162,0.32367688022284125,4162.534868653724,5402.294062755633,0.4440079021021905
Italian,1x16,6-7,5,2235,20965,1622.1030579840426,0.07737195602118019,0.07737195602117701,0.010072978400024522,394,0.17628635346756152,2418.7416140362543,4040.844672020179,0.25800153600223047
Italian,1x16,8-10,5,865,9995,1352.5522791727976,0.13532288936196074,0.1353228893619583,0.03011696506682573,34,0.03930635838150289,480.95509469025626,1833.507373863059,0.051302360061153844
Latin,1x16,1-3,5,4135,22770,-1030.795653719383,-0.04526990134911651,-0.045269901349116265,0.004825754001308992,2408,0.5823458282950423,2681.2245676089183,1650.428913889533,0.12572380939820904
Latin,1x16,11+,5,845,12550,253.23775382639366,0.02017830707780029,0.02017830707780036,0.028430127114014315,63,0.07455621301775148,1221.1961843307652,1474.4339381571508,0.05726243082038459
Latin,1x16,4-5,5,3690,27455,-3542.298269345681,-0.12902197302297144,-0.12902197302297783,0.014649549994344136,1874,0.5078590785907859,6746.627639147325,3204.3293698016278,0.3163523628836773
Latin,1x16,6-7,5,2880,27245,-1562.9716513686021,-0.05736728395553688,-0.057367283955535704,0.02212608892054175,719,0.24965277777777778,5616.994679070427,4054.0230277020682,0.2633833722670891
Latin,1x16,8-10,5,2765,32820,-656.4158415979116,-0.020000482681228265,-0.02000048268122789,0.004244960827297901,373,0.1349005424954792,5060.2640187136485,4403.848177115989,0.23727802463063405
