language,factorization,top_n,top_n_membership,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,16,in_top_n,5,4145,20180,-183.15804901966416,-0.009076216502461059,-0.00907621650246109,0.007315087435497259,2016,0.48636911942098915,1503.68580595044,1320.5277569307698,0.024999533312269263
French,1x16,16,outside_top_n,5,10625,83095,1077.2367493576735,0.01296391779719205,0.012963917797191792,0.005685120518010663,3494,0.32884705882352944,13533.452959480668,14610.689708838048,0.22500046668773105
French,1x16,32,in_top_n,5,5510,27960,-564.514236365652,-0.02019006567831373,-0.020190065678313707,0.005396850043560559,2612,0.47404718693284936,2480.108836717958,1915.5946003523013,0.04123305762163155
French,1x16,32,outside_top_n,5,9260,75315,1458.5929367037002,0.01936656624448915,0.01936656624448829,0.006277931470802523,2898,0.3129589632829374,12557.029928713155,14015.622865416532,0.20876694237836885
French,1x16,64,in_top_n,5,6935,37675,-2703.585662198928,-0.07176073423222104,-0.07176073423222087,0.005465424250700342,3595,0.5183850036049027,5138.198813735361,2434.613151536437,0.08542514127666989
French,1x16,64,outside_top_n,5,7835,65600,3597.6643625370452,0.05484244455086959,0.05484244455086728,0.006434112587662113,1915,0.24441608168474793,9898.939951695746,13496.60431423245,0.1645748587233304
French,1x16,8,in_top_n,5,2730,12855,-84.18372845927941,-0.006548714777073466,-0.006548714777073486,0.00291131636204317,1379,0.5051282051282051,906.4987733662742,822.3150449069942,0.015070998337965501
French,1x16,8,outside_top_n,5,12040,90420,978.2624287972699,0.01081909343947434,0.010819093439474313,0.004715130808128878,4131,0.34310631229235883,14130.639992064831,15108.902420861818,0.23492900166203476
German,1x16,16,in_top_n,5,3315,17220,-760.6463557015628,-0.04417226223586311,-0.044172262235862944,0.0037891548999766395,1855,0.5595776772247361,1737.8713544524355,977.2249987508718,0.04882702924965011
German,1x16,16,outside_top_n,5,11500,81705,8411.658870112424,0.10295158032081786,0.10295158032081693,0.0030250506786625993,3091,0.2687826086956522,7160.229662336871,15571.888532449848,0.20117297075035218
German,1x16,32,in_top_n,5,4940,26215,-803.294827962103,-0.030642564484535686,-0.03064256448453561,0.0023646316299413463,2581,0.5224696356275303,2511.338382260072,1708.0435542979694,0.07055826792485266
German,1x16,32,outside_top_n,5,9875,72710,8454.307342372967,0.11627434111364279,0.1162743411136417,0.0032762418278842096,2365,0.23949367088607595,6386.762634529233,14841.069976902621,0.17944173207514957
German,1x16,64,in_top_n,5,6370,34480,-947.0999940726524,-0.027468097275888993,-0.02746809727588897,0.0028476098553740304,3214,0.5045525902668759,3446.3731891007533,2499.273195028099,0.0968288959239175
German,1x16,64,outside_top_n,5,8445,64445,8598.112508483511,0.13341783704683857,0.13341783704683746,0.0032994847367772482,1732,0.20509177027827116,5451.7278276885445,14049.840336172281,0.15317110407608453
German,1x16,8,in_top_n,5,2165,10890,-676.7985339765768,-0.062148625709511185,-0.062148625709511074,0.0031277934673340033,1328,0.6133949191685912,1248.1068670318552,571.3083330552824,0.03506666379368156
German,1x16,8,outside_top_n,5,12650,88035,8327.811048387452,0.09459659281407908,0.09459659281407812,0.0026148568650621725,3618,0.2860079051383399,7649.994149757437,15977.805198145537,0.21493333620632032
Italian,1x16,16,in_top_n,5,4085,20075,543.6639074096746,0.027081639223395994,0.02708163922339602,0.005337902932159768,1575,0.38555691554467564,1209.7313955544,1753.3953029640716,0.03225980778516476
Italian,1x16,16,outside_top_n,5,10040,76845,5926.651718269079,0.07712475396277023,0.07712475396277006,0.00672528706151233,2574,0.2563745019920319,8165.180287201458,14091.832005470224,0.21774019221483482
Italian,1x16,32,in_top_n,5,5595,27740,1062.873849427459,0.0383155677515306,0.03831556775153056,0.005013221321265593,2033,0.36336014298480784,1529.7424838382428,2592.61633326571,0.04079351719792831
Italian,1x16,32,outside_top_n,5,8530,69180,5407.441776251166,0.07816481318663147,0.07816481318663321,0.008061575691543036,2116,0.24806565064478311,7845.169198917619,13252.610975168684,0.20920648280207138
Italian,1x16,64,in_top_n,5,6720,34845,773.3966235818052,0.022195340036785915,0.022195340036785912,0.0035721237715405797,2590,0.3854166666666667,2437.491456533134,3210.8880801149544,0.06500038451073181
Italian,1x16,64,outside_top_n,5,7405,62075,5696.919002096886,0.0917747724864581,0.09177477248645886,0.009116171502928996,1559,0.21053342336259284,6937.420226222715,12634.339228319443,0.18499961548926755
Italian,1x16,8,in_top_n,5,2925,14070,441.1553650997441,0.0313543258777359,0.03135432587773591,0.009728340017039733,1075,0.36752136752136755,854.4062818180417,1295.5616469177814,0.022784382155557496
Italian,1x16,8,outside_top_n,5,11200,82850,6029.160260579031,0.07277200073118928,0.07277200073118889,0.00581164647372199,3074,0.2744642857142857,8520.50540093781,14549.665661516445,0.2272156178444419
Latin,1x16,16,in_top_n,5,3270,18690,-1366.2330034056424,-0.07309967915493004,-0.07309967915493004,0.0040055637354640935,2157,0.6596330275229357,1991.99335905287,625.7603556472218,0.023351363069469114
Latin,1x16,16,outside_top_n,5,11045,104150,-5173.010658798895,-0.04966884934036385,-0.04966884934037164,0.004872944209744424,3280,0.2969669533725668,19334.313729818285,14161.30307101762,0.22664863693053378
Latin,1x16,32,in_top_n,5,4285,25380,-3620.2963460496885,-0.14264367005711934,-0.14264367005711917,0.006459721164989229,2904,0.6777129521586931,4492.22245140368,871.9261053539958,0.0526605758873736
Latin,1x16,32,outside_top_n,5,10030,97460,-2918.9473161549627,-0.02995020845634068,-0.029950208456347514,0.004470277885778583,2533,0.25254237288135595,16834.084637467422,13915.137321310787,0.19733942411262867
Latin,1x16,64,in_top_n,5,5185,31885,-5763.226476353949,-0.1807503991329449,-0.1807503991329452,0.006275818703008993,3574,0.6892960462873674,6955.698402479835,1192.4719261258765,0.08153894593065356
Latin,1x16,64,outside_top_n,5,9130,90955,-776.0171858514436,-0.008531880444741286,-0.00853188044474015,0.004604340365498831,1863,0.204052573932092,14370.60868639124,13594.591500538865,0.16846105406934841
Latin,1x16,8,in_top_n,5,2270,12780,-755.1363356936274,-0.05908735021076897,-0.059087350210769045,0.004561052009486038,1462,0.6440528634361233,1178.8982499839167,423.7619142902878,0.013819765478749043
Latin,1x16,8,outside_top_n,5,12045,110060,-5784.107326510896,-0.05255412798937758,-0.05255412798938499,0.0049397861145094885,3975,0.3300124533001245,20147.408838887248,14363.3015123746,0.23618023452125397
