language,factorization,current_variant_index,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
French,1x16,0,5,968,6783,-58.90646930613292,-0.00868442714228703,-0.006661761231994121,0.048017796903641594,359,0.37086776859504134,1103.2565069363193,1044.350037630186,0.0733687787381863
French,1x16,1,5,925,6439,134.38422574292858,0.020870356537184123,0.020793032908537446,0.020414542999479854,329,0.35567567567567565,872.3001585931783,1006.6843843361074,0.0580097166223211
French,1x16,10,5,923,6466,177.65481049503194,0.027475225873033086,0.028408700505355933,0.03942000998792819,331,0.35861321776814736,855.4295756494012,1033.0843861444332,0.056887788893452834
French,1x16,11,5,901,6390,-92.68113773185775,-0.014504090411871323,-0.014456480438293187,0.01664774880905603,353,0.39178690344062156,1034.6473278529393,941.9661901210802,0.0688061302081943
French,1x16,12,5,937,6428,47.83553940768641,0.007441745396342006,0.007043356850980374,0.03847667286900216,364,0.38847385272145146,918.388360238393,966.2238996460792,0.06107467481444519
French,1x16,13,5,975,6838,142.1043824951688,0.020781570999585962,0.02057807375306986,0.030900899454369905,360,0.36923076923076925,951.167729835951,1093.2721123311217,0.06325456888265148
French,1x16,14,5,865,6233,202.0743997650515,0.03242008659795468,0.03221970265099784,0.013657307769059308,305,0.35260115606936415,777.6633372927638,979.7377370578155,0.05171617748720485
French,1x16,15,5,948,6563,72.72546774501276,0.011081131760629706,0.01070512998953762,0.01658449177260986,360,0.379746835443038,952.8597264589002,1025.5851942039149,0.06336709006432993
French,1x16,2,5,933,6564,-7.189381327936159,-0.0010952744253406703,-0.0008318812983963042,0.02930523581399314,377,0.4040728831725616,983.1083632844727,975.9189819565358,0.06537868530844053
French,1x16,3,5,847,5841,-30.152296946479034,-0.005162180610593911,-0.005849212810216416,0.03456981272464007,321,0.3789846517119244,913.0002930046492,882.8479960581702,0.06071635749638396
French,1x16,4,5,935,6513,20.51371551112797,0.003149656918643938,0.0026688611047500014,0.03749476697744486,353,0.3775401069518717,984.3925728908991,1004.9062884020279,0.06546408783258154
French,1x16,5,5,923,6500,32.089545348583194,0.0049368531305512605,0.005303415491707074,0.035677912847567356,351,0.38028169014084506,975.6489989992932,1007.738544347877,0.06488262256661576
French,1x16,6,5,944,6579,13.620343213666002,0.002070275606272382,0.00046688594521333073,0.02947363702229748,364,0.3855932203389831,978.794560050719,992.4149032643836,0.06509180870903915
French,1x16,7,5,906,6223,-136.87662774137306,-0.021995280048428902,-0.02210000809373044,0.03918854654832488,332,0.36644591611479027,1066.6941279295322,929.817500188158,0.07093730692848003
French,1x16,8,5,938,6609,178.30490269733872,0.02697910465990902,0.028119303109180146,0.02199125500155833,337,0.35927505330490406,864.6370961417513,1042.94199883909,0.05750010754236477
French,1x16,9,5,902,6306,198.57728097017045,0.03149021264988431,0.03165864747110703,0.02503010476413569,314,0.34811529933481156,805.1500302719531,1003.7273112421235,0.05354409790530849
German,1x16,0,5,930,6187,454.5518019399596,0.07346885436236619,0.0726457230809364,0.01796723951180374,310,0.3333333333333333,559.644573121636,1014.1963750616019,0.06289483251152986
German,1x16,1,5,867,5762,430.5220394937122,0.07471746606971749,0.07526073798651649,0.02468962220245027,300,0.3460207612456747,542.1089949193299,972.6310344130491,0.06092412233761531
German,1x16,10,5,910,6084,425.61644557726584,0.06995668073262094,0.06925933093177356,0.01350957178650487,314,0.34505494505494505,561.542882325291,987.159327902564,0.06310817120032122
German,1x16,11,5,900,6103,539.2091900513568,0.08835149763253429,0.0884117397643761,0.010827844272368882,289,0.3211111111111111,512.5081788632956,1051.7173689146582,0.057597478146884915
German,1x16,12,5,905,6126,488.21958714952405,0.07969630870870455,0.08030218843409045,0.01859812766042685,284,0.3138121546961326,576.394138529898,1064.6137256794307,0.06477720779325101
German,1x16,13,5,936,6231,482.4092921023348,0.07742084610854354,0.07798142487698513,0.014776681602438965,300,0.32051282051282054,571.355320454541,1053.7646125568835,0.06421092763236617
German,1x16,14,5,948,6326,552.4930964076198,0.08733687897686054,0.0870732079556741,0.01849121388868696,312,0.3291139240506329,502.5567523255046,1055.04984873313,0.05647910170689909
German,1x16,15,5,956,6396,577.5796457287043,0.09030325918209886,0.0890559655502421,0.02419346308652989,305,0.3190376569037657,517.1992592522035,1094.7789049809166,0.05812467831915275
German,1x16,2,5,921,6158,471.79492136136986,0.07661495962347675,0.07636303566017658,0.02183762139761811,298,0.32356134636264927,559.7235890436738,1031.5185104050506,0.0629037125997519
German,1x16,3,5,914,6128,434.98772577145616,0.07098363671205224,0.07189847296534074,0.027564475265275463,314,0.3435448577680525,616.9010030876415,1051.8887288591054,0.06932951220981287
German,1x16,4,5,940,6218,512.2892676521582,0.08238810994727536,0.08283980574687543,0.019156873716973964,310,0.32978723404255317,534.7705048575644,1047.0597725097296,0.060099396921718264
German,1x16,5,5,932,6137,399.49925534060736,0.06509683156926957,0.06541219529305213,0.013487405314432375,323,0.3465665236051502,614.0254213605635,1013.5246767011784,0.06900634418534876
German,1x16,6,5,923,6245,482.22923651689274,0.07721845260478667,0.07741654732598512,0.01873022971235624,299,0.323943661971831,567.1137369779319,1049.342973494833,0.06373424350969709
German,1x16,7,5,949,6363,557.5705049846147,0.08762698491035906,0.0876297942584248,0.021799031726547038,304,0.3203371970495258,516.5664475431968,1074.136952527819,0.058053560705651534
German,1x16,8,5,958,6335,437.98500073704474,0.06913733239732356,0.06911788352278893,0.02832043904584261,337,0.35177453027139877,581.6983808715843,1019.6833816086361,0.06537331727005713
German,1x16,9,5,926,6126,404.055503596084,0.06595747691741495,0.06638684331634846,0.02540942957222657,347,0.3747300215982721,563.9918332554453,968.047336851534,0.06338339294994326
Italian,1x16,0,5,862,5797,381.09238956594334,0.06573958764290898,0.06493178934704066,0.019363953862179473,247,0.2865429234338747,559.0022052696271,940.0945948355693,0.059627463616308454
Italian,1x16,1,5,865,6061,312.4316490115483,0.05154787147525958,0.05002535684465865,0.050768323211061596,284,0.3283236994219653,623.0321676118374,935.463816623384,0.06645739060751274
Italian,1x16,10,5,874,6053,458.5178475564566,0.07575051173904784,0.07663223450537092,0.029422450653972178,243,0.2780320366132723,555.9953066267293,1014.5131541831823,0.059306724739543494
Italian,1x16,11,5,900,6216,321.20795311836827,0.05167438113229863,0.052249784345453146,0.012724824413060137,265,0.29444444444444445,674.5817073071266,995.7896604254931,0.07195605997525828
Italian,1x16,12,5,888,6027,306.92882906515126,0.05092563946659221,0.04995019088666482,0.024689913810212842,267,0.30067567567567566,671.6032766973025,978.5321057624496,0.07163835771729433
Italian,1x16,13,5,866,5863,417.91527209649973,0.07128010781110349,0.07146042667871753,0.025747076617869544,241,0.27829099307159355,574.3438799009951,992.2591519974923,0.06126392432660906
Italian,1x16,14,5,902,6226,420.9094706296348,0.06760511895753853,0.0680019526494455,0.01164933998023089,247,0.2738359201773836,600.4932862255478,1021.4027568551804,0.06405322061114385
Italian,1x16,15,5,879,6132,489.78440734001816,0.07987351717873747,0.07903796791430809,0.025534479605744082,239,0.27189988623435724,531.9268207862627,1021.7112281262772,0.056739395397685466
Italian,1x16,2,5,855,5924,340.54513305191495,0.057485674046575785,0.058608472728311545,0.017361244215413605,258,0.3017543859649123,591.826786576549,932.3719196284605,0.06312878527326864
Italian,1x16,3,5,826,5616,332.5773794024834,0.05921961883947354,0.0591634797353011,0.01577009847526726,271,0.3280871670702179,551.7726332798035,884.3500126822843,0.05885630200599465
Italian,1x16,4,5,879,5992,346.59143859980895,0.05784236291719108,0.0579922612366096,0.030022699670963653,271,0.3083048919226394,599.6545139454848,946.245952545291,0.06396375072508553
Italian,1x16,5,5,891,6195,475.5452030659852,0.07676274464341973,0.07685976403433097,0.009405446522612741,248,0.2783389450056117,575.2854862167728,1050.8306892827575,0.06136436327981111
Italian,1x16,6,5,946,6496,540.3278129769186,0.08317854263807245,0.08219216345210481,0.028700545352340175,268,0.2832980972515856,556.5453523167326,1096.8731652936524,0.05936539683253132
Italian,1x16,7,5,872,5898,413.5336411126204,0.07011421517677524,0.07031279733997271,0.030557257716921284,265,0.3038990825688073,571.0275083411269,984.5611494537449,0.06091017469438923
Italian,1x16,8,5,909,6166,509.65779239154057,0.08265614537650674,0.08289642117777299,0.005134304189824319,275,0.3025302530253025,511.59536318232244,1021.2531555738601,0.054570686156259984
Italian,1x16,9,5,911,6258,402.7494066938422,0.0643575274358968,0.06443827328239773,0.02490761103674051,260,0.2854006586169045,626.2253884716318,1028.9747951654708,0.0667980040413084
Latin,1x16,0,5,833,7148,-431.58385843822583,-0.06037826782851508,-0.05954701578540182,0.04463055995194533,309,0.3709483793517407,1280.9336188331065,849.3497603948745,0.060063545624434014
Latin,1x16,1,5,869,7478,-513.1340477922595,-0.06861915589626363,-0.06883177396529597,0.023045054320417577,342,0.39355581127733025,1376.7662731312178,863.6322253389534,0.06455718129697481
Latin,1x16,10,5,903,7937,-335.39850603760345,-0.04225759179004705,-0.04202078090739765,0.00900255890661908,323,0.3576965669988926,1310.6291902972548,975.2306842596455,0.06145598414369573
Latin,1x16,11,5,889,7597,-411.74041002852806,-0.054197763594646314,-0.05417287841276961,0.017819823327007708,354,0.3982002249718785,1336.9697887331167,925.2293787045844,0.06269110648935525
Latin,1x16,12,5,867,7498,-331.5187722180214,-0.044214293440653696,-0.04278706658214914,0.04288877983088504,323,0.37254901960784315,1230.5930064484414,899.0742342304117,0.0577030519780242
Latin,1x16,13,5,877,7358,-364.2185631677041,-0.04949966881866052,-0.04983529294722846,0.0162757330601179,328,0.37400228050171036,1282.814637265345,918.5960740976343,0.06015174741316377
