token,frequency,length_glyphs,neighbors_distance_1,examples_distance_1,neighbors_distance_2,examples_distance_2,neighbors_within_2
B1A3G1,623,3,18,A3G1|B1A3C1|B1A3B2|B1A3F1|C2A3G1|B1A3F3|B1A3B3|Q1A3G1|A1B1A3G1|C1A3G1,48,A3C1|B1A2|A3B2|A1Q1A3G1|A1Q2A3G1|A3F1|B1A1B2|A3B3|A3F3|K1A3C1,66
A1B2,413,2,22,A1C1|K1A1B2|A3B2|L1A1B2|A1|B2|D1A1B2|B1A1B2|C2A1B2|U2A1B2,62,A3G1|A3C1|C2|A2|B1A2|B1A3B2|K1A1C1|K1J1A1B2|K1A2|C1,84
K1J1B1A2,368,4,16,L1J1B1A2|K1J1A2|K1B1A2|B2K1J1B1A2|K1J1A1B1A2|K1A1B1A2|K1K2B1A2|K1J1Q1A2|Q1J1B1A2|K1J1U1A2,49,B1A2|L1J1A2|K1K2A2|K1J1A1B2|A1Q2J1B1A2|K1A2|K1U1A2|A1Q1J1B1A2|K1J1A1C1|K1U2A2,65
A3G1,355,2,16,B1A3G1|A3C1|A3B2|C2A3G1|A3F1|A3B3|Q1A3G1|A3F3|C1A3G1|A3H1,60,A1B2|A1C1|C2|B1A3C1|A2|B1A2|B1A3B2|B1A3F1|A1Q1A3G1|A1,76
A1C1,278,2,17,A1B2|A3C1|K1A1C1|A1|C1|L1A1C1|B1A1C1|U2A1C1|C2A1C1|B2A1C1,63,A3G1|K1A1B2|C2|B1A3C1|A2|B1A2|A3B2|L1A1B2|B2|K1A2,80
K1A1B2,278,3,19,A1B2|K1A1C1|L1A1B2|K1J1A1B2|D1A1B2|B1A1B2|K1A1|C2A1B2|U2A1B2|Q2A1B2,57,A1C1|K1J1A2|A3B2|B1A3B2|K1K2A2|A1|B2|K1A2|K1B1A2|K1U1A2,76
A3C1,276,2,16,A3G1|A1C1|B1A3C1|A3B2|C1|A3F1|A3B3|A3F3|K1A3C1|C2A3C1,68,B1A3G1|A1B2|C2|A2|B1A2|B1A3B2|K1A1C1|B1A3F1|A1|B2,84
L1J1B1A2,274,4,12,K1J1B1A2|L1J1A2|L1K2B1A2|L1A1B1A2|Q1J1B1A2|L1J1A1B1A2|L1B1A2|Q2J1B1A2|B2L1J1B1A2|B1L1J1B1A2,34,K1J1A2|B1A2|A1Q2J1B1A2|K1B1A2|L1K2A2|B2K1J1B1A2|L1J1A1B2|A1Q1J1B1A2|L1A2|K1J1A1B1A2,46
C2,245,1,8,A2|A1|B2|C1|B1|C2A2|A1C2|B4,37,A1B2|A3G1|A1C1|A3C1|B1A2|A3B2|K1A2|C2A3G1|U2A2|A3F1,45
K1J1A2,241,3,17,K1J1B1A2|L1J1A2|K1K2A2|K1A2|K1B1A2|K1U1A2|K1U2A2|K1J1A1|K1J1Q1A2|U2J1A2,71,K1A1B2|L1J1B1A2|A2|B1A2|K1A1C1|K1J1A1B2|L1K2A2|U2A2|A1Q2A2|B2K1J1B1A2,88
