ngram,count,frequency
A1,18014,0.16218600882326462
A2,12609,0.11352300351129918
A3,10502,0.09455298460430359
B1,9503,0.0855586567029801
K1,7895,0.07108130008102997
B2,7355,0.06621950121544971
J1,7138,0.06426577833798505
Q1,6958,0.06264517871612496
C1,4779,0.043026919960385344
Q2,4378,0.03941658413613037
D1,3901,0.035121995138201134
K2,3195,0.028765643288016566
G1,3051,0.027469163590528495
L1,3013,0.027127037003691366
C2,2005,0.018051679121274873
F1,1278,0.011506257315206627
P1,1038,0.009345457819393176
B3,796,0.007166651661114612
U2,692,0.006230305212928783
U1,576,0.005185918789952283
F3,448,0.004033492392185109
P2,298,0.0026829927073017015
M1,295,0.0026559827136040334
T1,152,0.0013685063473485189
E1,149,0.0013414963536508508
H1,128,0.0011524263977671738
G3,118,0.0010623930854416134
B4,114,0.0010263797605113891
E2,94,0.0008463131358602683
F2,66,0.0005942198613486991
T2,47,0.0004231565679301341
U3,27,0.00024308994327901324
X1,25,0.00022508328081390113
Lb,21,0.00018906995588367697
W2,21,0.00018906995588367697
S1,17,0.00015305663095345278
U4,16,0.00014405329972089673
S2,15,0.00013504996848834067
W1,14,0.00012604663725578465
B5,12,0.00010803997479067255
G2,10,9.003331232556046e-05
Ka,8,7.202664986044836e-05
U5,8,7.202664986044836e-05
V1,8,7.202664986044836e-05
A4,7,6.302331862789232e-05
Lp,7,6.302331862789232e-05
N1,7,6.302331862789232e-05
T3,7,6.302331862789232e-05
Tb,7,6.302331862789232e-05
U6,7,6.302331862789232e-05
Lg,6,5.4019987395336276e-05
M2,6,5.4019987395336276e-05
N2,6,5.4019987395336276e-05
Ta,6,5.4019987395336276e-05
U7,6,5.4019987395336276e-05
Be,5,4.501665616278023e-05
Kb,5,4.501665616278023e-05
V2,5,4.501665616278023e-05
Ac,4,3.601332493022418e-05
B6,4,3.601332493022418e-05
Ch,4,3.601332493022418e-05
Ja,4,3.601332493022418e-05
Ke,4,3.601332493022418e-05
Mb,4,3.601332493022418e-05
Rb,4,3.601332493022418e-05
Tc,4,3.601332493022418e-05
Cd,3,2.7009993697668138e-05
Cm,3,2.7009993697668138e-05
H3,3,2.7009993697668138e-05
Jb,3,2.7009993697668138e-05
Kk,3,2.7009993697668138e-05
Ma,3,2.7009993697668138e-05
Ra,3,2.7009993697668138e-05
Sa,3,2.7009993697668138e-05
T4,3,2.7009993697668138e-05
Ae,2,1.800666246511209e-05
Ag,2,1.800666246511209e-05
Ba,2,1.800666246511209e-05
Cf,2,1.800666246511209e-05
Cg,2,1.800666246511209e-05
Ci,2,1.800666246511209e-05
Cl,2,1.800666246511209e-05
Ef,2,1.800666246511209e-05
Jc,2,1.800666246511209e-05
Kc,2,1.800666246511209e-05
Kl,2,1.800666246511209e-05
Lh,2,1.800666246511209e-05
Lo,2,1.800666246511209e-05
Pd,2,1.800666246511209e-05
Qa,2,1.800666246511209e-05
Sd,2,1.800666246511209e-05
Ua,2,1.800666246511209e-05
Uf,2,1.800666246511209e-05
Va,2,1.800666246511209e-05
Wa,2,1.800666246511209e-05
Wq,2,1.800666246511209e-05
Xm,2,1.800666246511209e-05
Ad,1,9.003331232556045e-06
Ai,1,9.003331232556045e-06
An,1,9.003331232556045e-06
Bd,1,9.003331232556045e-06
Bf,1,9.003331232556045e-06
Bi,1,9.003331232556045e-06
Bj,1,9.003331232556045e-06
Co,1,9.003331232556045e-06
Cp,1,9.003331232556045e-06
Da,1,9.003331232556045e-06
Dc,1,9.003331232556045e-06
Ee,1,9.003331232556045e-06
H2,1,9.003331232556045e-06
Kd,1,9.003331232556045e-06
Kf,1,9.003331232556045e-06
Kj,1,9.003331232556045e-06
Km,1,9.003331232556045e-06
Lr,1,9.003331232556045e-06
Mc,1,9.003331232556045e-06
Md,1,9.003331232556045e-06
Pe,1,9.003331232556045e-06
Pf,1,9.003331232556045e-06
Pg,1,9.003331232556045e-06
Ph,1,9.003331232556045e-06
Pi,1,9.003331232556045e-06
Pj,1,9.003331232556045e-06
Pk,1,9.003331232556045e-06
Pl,1,9.003331232556045e-06
Qe,1,9.003331232556045e-06
Qf,1,9.003331232556045e-06
Qg,1,9.003331232556045e-06
Qh,1,9.003331232556045e-06
Qi,1,9.003331232556045e-06
Qj,1,9.003331232556045e-06
Ql,1,9.003331232556045e-06
Rc,1,9.003331232556045e-06
Rd,1,9.003331232556045e-06
Rf,1,9.003331232556045e-06
Sb,1,9.003331232556045e-06
Se,1,9.003331232556045e-06
Sf,1,9.003331232556045e-06
Sg,1,9.003331232556045e-06
Te,1,9.003331232556045e-06
Tf,1,9.003331232556045e-06
Tg,1,9.003331232556045e-06
Th,1,9.003331232556045e-06
Ti,1,9.003331232556045e-06
Tj,1,9.003331232556045e-06
Tk,1,9.003331232556045e-06
Tl,1,9.003331232556045e-06
Tn,1,9.003331232556045e-06
To,1,9.003331232556045e-06
Tp,1,9.003331232556045e-06
Tq,1,9.003331232556045e-06
Tr,1,9.003331232556045e-06
Ts,1,9.003331232556045e-06
Tt,1,9.003331232556045e-06
Ub,1,9.003331232556045e-06
Ug,1,9.003331232556045e-06
Uh,1,9.003331232556045e-06
Ui,1,9.003331232556045e-06
Uj,1,9.003331232556045e-06
Uk,1,9.003331232556045e-06
Ul,1,9.003331232556045e-06
Um,1,9.003331232556045e-06
Un,1,9.003331232556045e-06
Vb,1,9.003331232556045e-06
Vc,1,9.003331232556045e-06
Vd,1,9.003331232556045e-06
Wb,1,9.003331232556045e-06
Wc,1,9.003331232556045e-06
Wd,1,9.003331232556045e-06
Wf,1,9.003331232556045e-06
Wg,1,9.003331232556045e-06
Wi,1,9.003331232556045e-06
