glyph,count,frequency_known,is_unknown
A1,18014,0.16218600882326462,False
A2,12609,0.11352300351129918,False
A3,10502,0.09455298460430359,False
B1,9503,0.0855586567029801,False
K1,7895,0.07108130008102997,False
B2,7355,0.06621950121544971,False
J1,7138,0.06426577833798505,False
Q1,6958,0.06264517871612496,False
C1,4779,0.043026919960385344,False
Q2,4378,0.03941658413613037,False
D1,3901,0.035121995138201134,False
K2,3195,0.028765643288016566,False
G1,3051,0.027469163590528495,False
L1,3013,0.027127037003691366,False
C2,2005,0.018051679121274873,False
F1,1278,0.011506257315206627,False
P1,1038,0.009345457819393176,False
B3,796,0.007166651661114612,False
U2,692,0.006230305212928783,False
U1,576,0.005185918789952283,False
F3,448,0.004033492392185109,False
P2,298,0.0026829927073017015,False
M1,295,0.0026559827136040334,False
Z1,161,,True
T1,152,0.0013685063473485189,False
E1,149,0.0013414963536508508,False
H1,128,0.0011524263977671738,False
G3,118,0.0010623930854416134,False
B4,114,0.0010263797605113891,False
E2,94,0.0008463131358602683,False
F2,66,0.0005942198613486991,False
T2,47,0.0004231565679301341,False
U3,27,0.00024308994327901324,False
X1,25,0.00022508328081390113,False
Lb,21,0.00018906995588367697,False
W2,21,0.00018906995588367697,False
S1,17,0.00015305663095345278,False
U4,16,0.00014405329972089673,False
S2,15,0.00013504996848834067,False
W1,14,0.00012604663725578465,False
B5,12,0.00010803997479067255,False
G2,10,9.003331232556046e-05,False
Ka,8,7.202664986044836e-05,False
U5,8,7.202664986044836e-05,False
V1,8,7.202664986044836e-05,False
A4,7,6.302331862789232e-05,False
Lp,7,6.302331862789232e-05,False
N1,7,6.302331862789232e-05,False
T3,7,6.302331862789232e-05,False
Tb,7,6.302331862789232e-05,False
U6,7,6.302331862789232e-05,False
Lg,6,5.4019987395336276e-05,False
M2,6,5.4019987395336276e-05,False
N2,6,5.4019987395336276e-05,False
Ta,6,5.4019987395336276e-05,False
U7,6,5.4019987395336276e-05,False
Be,5,4.501665616278023e-05,False
Kb,5,4.501665616278023e-05,False
V2,5,4.501665616278023e-05,False
Ac,4,3.601332493022418e-05,False
B6,4,3.601332493022418e-05,False
Ch,4,3.601332493022418e-05,False
Ja,4,3.601332493022418e-05,False
Ke,4,3.601332493022418e-05,False
Mb,4,3.601332493022418e-05,False
Rb,4,3.601332493022418e-05,False
Tc,4,3.601332493022418e-05,False
Cd,3,2.7009993697668138e-05,False
Cm,3,2.7009993697668138e-05,False
H3,3,2.7009993697668138e-05,False
Jb,3,2.7009993697668138e-05,False
Kk,3,2.7009993697668138e-05,False
Ma,3,2.7009993697668138e-05,False
Ra,3,2.7009993697668138e-05,False
Sa,3,2.7009993697668138e-05,False
T4,3,2.7009993697668138e-05,False
Ae,2,1.800666246511209e-05,False
Ag,2,1.800666246511209e-05,False
Ba,2,1.800666246511209e-05,False
Cf,2,1.800666246511209e-05,False
Cg,2,1.800666246511209e-05,False
Ci,2,1.800666246511209e-05,False
Cl,2,1.800666246511209e-05,False
Ef,2,1.800666246511209e-05,False
Jc,2,1.800666246511209e-05,False
Kc,2,1.800666246511209e-05,False
Kl,2,1.800666246511209e-05,False
Lh,2,1.800666246511209e-05,False
Lo,2,1.800666246511209e-05,False
Pd,2,1.800666246511209e-05,False
Qa,2,1.800666246511209e-05,False
Sd,2,1.800666246511209e-05,False
Ua,2,1.800666246511209e-05,False
Uf,2,1.800666246511209e-05,False
Va,2,1.800666246511209e-05,False
Wa,2,1.800666246511209e-05,False
Wq,2,1.800666246511209e-05,False
Xm,2,1.800666246511209e-05,False
Ad,1,9.003331232556045e-06,False
Ai,1,9.003331232556045e-06,False
An,1,9.003331232556045e-06,False
Bd,1,9.003331232556045e-06,False
Bf,1,9.003331232556045e-06,False
Bi,1,9.003331232556045e-06,False
Bj,1,9.003331232556045e-06,False
Co,1,9.003331232556045e-06,False
Cp,1,9.003331232556045e-06,False
Da,1,9.003331232556045e-06,False
Dc,1,9.003331232556045e-06,False
Ee,1,9.003331232556045e-06,False
H2,1,9.003331232556045e-06,False
Kd,1,9.003331232556045e-06,False
Kf,1,9.003331232556045e-06,False
Kj,1,9.003331232556045e-06,False
Km,1,9.003331232556045e-06,False
Lr,1,9.003331232556045e-06,False
Mc,1,9.003331232556045e-06,False
Md,1,9.003331232556045e-06,False
Pe,1,9.003331232556045e-06,False
Pf,1,9.003331232556045e-06,False
Pg,1,9.003331232556045e-06,False
Ph,1,9.003331232556045e-06,False
Pi,1,9.003331232556045e-06,False
Pj,1,9.003331232556045e-06,False
Pk,1,9.003331232556045e-06,False
Pl,1,9.003331232556045e-06,False
Qe,1,9.003331232556045e-06,False
Qf,1,9.003331232556045e-06,False
Qg,1,9.003331232556045e-06,False
Qh,1,9.003331232556045e-06,False
Qi,1,9.003331232556045e-06,False
Qj,1,9.003331232556045e-06,False
Ql,1,9.003331232556045e-06,False
Rc,1,9.003331232556045e-06,False
Rd,1,9.003331232556045e-06,False
Rf,1,9.003331232556045e-06,False
Sb,1,9.003331232556045e-06,False
Se,1,9.003331232556045e-06,False
Sf,1,9.003331232556045e-06,False
Sg,1,9.003331232556045e-06,False
Te,1,9.003331232556045e-06,False
Tf,1,9.003331232556045e-06,False
Tg,1,9.003331232556045e-06,False
Th,1,9.003331232556045e-06,False
Ti,1,9.003331232556045e-06,False
Tj,1,9.003331232556045e-06,False
Tk,1,9.003331232556045e-06,False
Tl,1,9.003331232556045e-06,False
Tn,1,9.003331232556045e-06,False
To,1,9.003331232556045e-06,False
Tp,1,9.003331232556045e-06,False
Tq,1,9.003331232556045e-06,False
Tr,1,9.003331232556045e-06,False
Ts,1,9.003331232556045e-06,False
Tt,1,9.003331232556045e-06,False
Ub,1,9.003331232556045e-06,False
Ug,1,9.003331232556045e-06,False
Uh,1,9.003331232556045e-06,False
Ui,1,9.003331232556045e-06,False
Uj,1,9.003331232556045e-06,False
Uk,1,9.003331232556045e-06,False
Ul,1,9.003331232556045e-06,False
Um,1,9.003331232556045e-06,False
Un,1,9.003331232556045e-06,False
Vb,1,9.003331232556045e-06,False
Vc,1,9.003331232556045e-06,False
Vd,1,9.003331232556045e-06,False
Wb,1,9.003331232556045e-06,False
Wc,1,9.003331232556045e-06,False
Wd,1,9.003331232556045e-06,False
Wf,1,9.003331232556045e-06,False
Wg,1,9.003331232556045e-06,False
Wi,1,9.003331232556045e-06,False
Wj,1,9.003331232556045e-06,False
Wk,1,9.003331232556045e-06,False
Wl,1,9.003331232556045e-06,False
Wm,1,9.003331232556045e-06,False
Wn,1,9.003331232556045e-06,False
Wo,1,9.003331232556045e-06,False
Wp,1,9.003331232556045e-06,False
X2,1,9.003331232556045e-06,False
Xb,1,9.003331232556045e-06,False
Xe,1,9.003331232556045e-06,False
Xg,1,9.003331232556045e-06,False
Xk,1,9.003331232556045e-06,False
Xl,1,9.003331232556045e-06,False
Xn,1,9.003331232556045e-06,False
Yd,1,9.003331232556045e-06,False
Yn,1,9.003331232556045e-06,False
Yp,1,9.003331232556045e-06,False
Ys,1,9.003331232556045e-06,False
