dimension,group,glyph,count,frequency_within_group
section,astronomical,A1,685,0.1822293163075286
section,astronomical,A2,468,0.12450119712689545
section,astronomical,A3,322,0.0856610800744879
section,astronomical,B1,311,0.08273476988560788
section,astronomical,K1,287,0.07635009310986965
section,astronomical,J1,273,0.07262569832402235
section,astronomical,Q1,238,0.0633147113594041
section,astronomical,B2,174,0.04628890662410216
section,astronomical,C1,158,0.04203245544027667
section,astronomical,C2,158,0.04203245544027667
section,astronomical,Q2,155,0.041234370843309394
section,astronomical,K2,148,0.03937217345038574
section,astronomical,L1,67,0.01782388933226922
section,astronomical,G1,63,0.01675977653631285
section,astronomical,D1,38,0.010109071561585529
section,astronomical,P1,26,0.006916733173716414
section,astronomical,B3,22,0.005852620377760042
section,astronomical,F3,22,0.005852620377760042
section,astronomical,M1,19,0.005054535780792764
section,astronomical,F1,16,0.004256451183825486
section,astronomical,U1,16,0.004256451183825486
section,astronomical,U2,16,0.004256451183825486
section,astronomical,B4,12,0.0031923383878691143
section,astronomical,G3,10,0.0026602819898909284
section,astronomical,T1,8,0.002128225591912743
section,astronomical,P2,7,0.00186219739292365
section,astronomical,E1,5,0.0013301409949454642
section,astronomical,E2,4,0.0010641127959563714
section,astronomical,F2,3,0.0007980845969672786
section,astronomical,H1,3,0.0007980845969672786
section,astronomical,Ja,2,0.0005320563979781857
section,astronomical,Pd,2,0.0005320563979781857
section,astronomical,T2,2,0.0005320563979781857
section,astronomical,B5,1,0.00026602819898909286
section,astronomical,B6,1,0.00026602819898909286
section,astronomical,Cf,1,0.00026602819898909286
section,astronomical,H3,1,0.00026602819898909286
section,astronomical,Kk,1,0.00026602819898909286
section,astronomical,Kl,1,0.00026602819898909286
section,astronomical,Lp,1,0.00026602819898909286
section,astronomical,Mb,1,0.00026602819898909286
section,astronomical,N1,1,0.00026602819898909286
section,astronomical,S2,1,0.00026602819898909286
section,astronomical,Tb,1,0.00026602819898909286
section,astronomical,Tc,1,0.00026602819898909286
section,astronomical,U3,1,0.00026602819898909286
section,astronomical,Ub,1,0.00026602819898909286
