dimension,category,loci
section,astronomical,240
section,biological,599
section,cosmological,350
section,herbal,1166
section,marginal_stars,790
section,pharmaceutical,260
section,text_only,148
section,zodiac,249
currier,A,1184
currier,B,2000
currier,UNSET,618
scribe,1,1184
scribe,2,962
scribe,3,847
scribe,4,770
scribe,5,39
locus_type,C,60
locus_type,L,712
locus_type,P,2907
locus_type,R,123
quire,1,191
quire,10,80
quire,11,183
quire,12,66
quire,13,599
quire,14,348
quire,15,239
quire,17,129
quire,19,87
quire,2,116
quire,20,791
quire,3,183
quire,4,102
quire,5,143
quire,6,207
quire,7,50
quire,8,7
quire,9,281
