scope,position,observations,unique_types,entropy_bits,js_divergence_bits
token_internal_glyph,initial,27477,124,3.489853876569302,
token_internal_glyph,medial,57046,105,3.514176516826212,
token_internal_glyph,final,27477,81,2.8374913416364365,
token_internal_glyph,initial_vs_medial,,,,0.2563857854904784
token_internal_glyph,initial_vs_final,,,,0.6027621556504114
token_internal_glyph,medial_vs_final,,,,0.6978931669801738
locus_token,initial,3802,2016,10.12825126285719,
locus_token,medial,20529,4491,9.839519174587297,
locus_token,final,3802,1977,10.032949391724392,
locus_token,initial_vs_medial,,,,0.5296259809818019
locus_token,initial_vs_final,,,,0.5576023987717896
locus_token,medial_vs_final,,,,0.48015179107240064
paragraph_token,initial,525,430,8.560670905174833,
paragraph_token,medial,23594,5252,10.05233375381986,
paragraph_token,final,525,391,8.315398227135779,
paragraph_token,initial_vs_medial,,,,0.9111695680956391
paragraph_token,initial_vs_final,,,,0.9709246095868357
paragraph_token,medial_vs_final,,,,0.5684354881693295
