dimension,group_a,group_b,js_divergence_bits,glyphs_a,glyphs_b
scribe,1,2,0.026558324712610475,28956,32988
scribe,1,3,0.03052390612442832,28956,35265
scribe,1,4,0.02879666186320863,28956,12203
scribe,1,5,0.053542620755291294,28956,1658
scribe,2,3,0.008481484245945409,32988,35265
scribe,2,4,0.030764016412825557,32988,12203
scribe,2,5,0.02105114672192037,32988,1658
scribe,3,4,0.02673398990983257,35265,12203
scribe,3,5,0.028827456233284462,35265,1658
scribe,4,5,0.039309022570552424,12203,1658
