dimension,group_a,group_b,js_divergence_bits,glyphs_a,glyphs_b
section,astronomical,biological,0.04594383345590533,3759,18889
section,astronomical,cosmological,0.014872515981218712,3759,6982
section,astronomical,herbal,0.024962358996945818,3759,31567
section,astronomical,marginal_stars,0.029573448064492143,3759,33458
section,astronomical,pharmaceutical,0.02411670392606296,3759,6670
section,astronomical,text_only,0.03561447427956757,3759,5681
section,astronomical,zodiac,0.022597284310322298,3759,4064
section,biological,cosmological,0.04225315997383548,18889,6982
section,biological,herbal,0.03498108590272317,18889,31567
section,biological,marginal_stars,0.01791878030286549,18889,33458
section,biological,pharmaceutical,0.031611038749006067,18889,6670
section,biological,text_only,0.03698244979203151,18889,5681
section,biological,zodiac,0.05591538624256145,18889,4064
section,cosmological,herbal,0.020330233319454816,6982,31567
section,cosmological,marginal_stars,0.020210235854711964,6982,33458
section,cosmological,pharmaceutical,0.022524096427935354,6982,6670
section,cosmological,text_only,0.01687145158899848,6982,5681
section,cosmological,zodiac,0.019258605337903884,6982,4064
section,herbal,marginal_stars,0.025730195367507692,31567,33458
section,herbal,pharmaceutical,0.018631728345992145,31567,6670
section,herbal,text_only,0.016175652708898883,31567,5681
section,herbal,zodiac,0.04013590780931623,31567,4064
section,marginal_stars,pharmaceutical,0.02385856759489448,33458,6670
section,marginal_stars,text_only,0.0194546098004769,33458,5681
section,marginal_stars,zodiac,0.03683677192088187,33458,4064
section,pharmaceutical,text_only,0.027789535092081957,6670,5681
section,pharmaceutical,zodiac,0.03339781619179184,6670,4064
section,text_only,zodiac,0.035865678182014346,5681,4064
