token,count,frequency,length_glyphs,contains_unknown
B1A3G1,623,0.022668558745406252,3,False
A1B2,413,0.015027471527853583,2,False
K1J1B1A2,368,0.013390095695520868,4,False
A3G1,355,0.01291707601062475,2,False
A1C1,278,0.010115344030855438,2,False
K1A1B2,278,0.010115344030855438,3,False
A3C1,276,0.01004257177164065,2,False
L1J1B1A2,274,0.009969799512425864,4,False
C2,245,0.008914601753811447,1,False
K1J1A2,241,0.008769057235381872,3,False
B1A3C1,225,0.008186879161663574,3,False
D1A1Q1K2B1A2,224,0.00815049303205618,6,False
D1A1Q1K2A2,203,0.007386384310300914,5,False
D1A1Q1A3F1,201,0.007313612051086126,5,False
A2,200,0.007277225921478732,1,False
D1A1Q1A3G1,197,0.007168067532656551,5,False
D1A1Q1J1B1A2,193,0.0070225230142269765,6,False
B1A2,182,0.006622275588545647,2,False
L1J1A2,174,0.006331186551686497,3,False
A3B2,171,0.006222028162864316,2,False
B1A3B2,158,0.005749008477968199,3,False
K1A1C1,151,0.0054943055707164425,3,False
B1A3F1,149,0.005421533311501655,3,False
A1Q1A3G1,147,0.005348761052286868,4,False
D1A1Q1A3B2,138,0.005021285885820325,5,False
K1K2A2,137,0.004984899756212932,3,False
L1A1B2,133,0.004839355237783357,3,False
A1,127,0.004621038460138995,1,False
A1Q1K2A2,126,0.004584652330531601,4,False
B2,126,0.004584652330531601,1,False
K1J1A1B2,126,0.004584652330531601,4,False
A1Q2J1B1A2,119,0.004329949423279846,5,False
D1A1Q1A3C1,115,0.004184404904850271,5,False
K1A2,114,0.0041480187752428775,2,False
A1Q2A3G1,113,0.004111632645635484,4,False
K1B1A2,112,0.00407524651602809,3,False
C1,111,0.004038860386420697,1,False
L1K2A2,106,0.003856929738383728,3,False
A1Q2K2A2,103,0.0037477713495615472,4,False
D1A1B2,103,0.0037477713495615472,3,False
A1Q2A3C1,97,0.003529454571917185,4,False
A1Q1A3C1,96,0.0034930684423097914,4,False
A1Q1A3B2,94,0.003420296183095004,4,False
A1Q2A3B2,93,0.0033839100534876106,4,False
C2A3G1,92,0.003347523923880217,3,False
D1A1Q1A2,92,0.003347523923880217,4,False
A1Q1A3F1,91,0.0033111377942728233,4,False
K1U1A2,90,0.0032747516646654297,3,False
U2A2,87,0.0031655932758432484,2,False
A3F1,86,0.0031292071462358548,2,False
A1Q2A2,82,0.0029836626278062803,3,False
L1A1,82,0.0029836626278062803,2,False
B1A3F3,80,0.002910890368591493,3,False
B2K1J1B1A2,80,0.002910890368591493,5,False
D1A1Q1A1B2,77,0.002801731979769312,5,False
L1J1A1B2,76,0.002765345850161918,4,False
A1Q1J1B1A2,75,0.0027289597205545245,5,False
B1A1B2,75,0.0027289597205545245,3,False
L1A2,75,0.0027289597205545245,2,False
A1Q2A3F1,72,0.0026198013317323436,4,False
L1A1C1,72,0.0026198013317323436,3,False
A1Q2K2B1A2,71,0.00258341520212495,5,False
A1Q1A2,70,0.0025470290725175563,3,False
A1Q1K2B1A2,70,0.0025470290725175563,5,False
