scope,position,item,count,frequency_within_position
token_internal_glyph,initial,A1,6271,0.22822724460457838
token_internal_glyph,initial,K1,4336,0.15780470939331076
token_internal_glyph,initial,D1,3880,0.14120901117298104
token_internal_glyph,initial,B1,2555,0.09298686173890891
token_internal_glyph,initial,L1,2146,0.07810168504567457
token_internal_glyph,initial,A3,1508,0.05488226516723078
token_internal_glyph,initial,A2,1458,0.05306256141500164
token_internal_glyph,initial,B2,1016,0.036976380245296064
token_internal_glyph,initial,C2,960,0.03493831204279943
token_internal_glyph,initial,Q1,852,0.031007751937984496
token_internal_glyph,initial,Q2,745,0.027113585908214142
token_internal_glyph,initial,P1,383,0.01393893074207519
token_internal_glyph,initial,U2,375,0.013647778141718529
token_internal_glyph,initial,C1,373,0.013574989991629363
token_internal_glyph,initial,U1,118,0.004294500855260764
token_internal_glyph,initial,T1,94,0.0034210430541907776
token_internal_glyph,initial,P2,80,0.0029115260035666194
token_internal_glyph,initial,J1,45,0.0016377333770062235
token_internal_glyph,initial,K2,32,0.0011646104014266477
token_internal_glyph,initial,M1,28,0.0010190341012483168
token_internal_glyph,initial,T2,22,0.0008006696509808203
token_internal_glyph,initial,B4,15,0.0005459111256687411
token_internal_glyph,initial,S2,10,0.00036394075044582743
token_internal_glyph,initial,X1,9,0.00032754667540124465
token_internal_glyph,initial,Lb,8,0.00029115260035666193
token_internal_glyph,initial,S1,7,0.0002547585253120792
token_internal_glyph,initial,Lp,6,0.00021836445026749646
token_internal_glyph,initial,Ta,6,0.00021836445026749646
token_internal_glyph,initial,U7,6,0.00021836445026749646
token_internal_glyph,initial,B3,5,0.00018197037522291372
token_internal_glyph,initial,U5,5,0.00018197037522291372
token_internal_glyph,initial,W2,5,0.00018197037522291372
token_internal_glyph,initial,Cd,3,0.00010918222513374823
token_internal_glyph,initial,G3,3,0.00010918222513374823
token_internal_glyph,initial,Mb,3,0.00010918222513374823
token_internal_glyph,initial,Rb,3,0.00010918222513374823
token_internal_glyph,initial,U4,3,0.00010918222513374823
token_internal_glyph,initial,W1,3,0.00010918222513374823
token_internal_glyph,initial,Ag,2,7.278815008916548e-05
token_internal_glyph,initial,B5,2,7.278815008916548e-05
token_internal_glyph,initial,Cf,2,7.278815008916548e-05
token_internal_glyph,initial,Cg,2,7.278815008916548e-05
token_internal_glyph,initial,Cl,2,7.278815008916548e-05
token_internal_glyph,initial,Cm,2,7.278815008916548e-05
token_internal_glyph,initial,E2,2,7.278815008916548e-05
token_internal_glyph,initial,Ka,2,7.278815008916548e-05
token_internal_glyph,initial,Kl,2,7.278815008916548e-05
token_internal_glyph,initial,Lg,2,7.278815008916548e-05
token_internal_glyph,initial,Qa,2,7.278815008916548e-05
token_internal_glyph,initial,U3,2,7.278815008916548e-05
token_internal_glyph,initial,U6,2,7.278815008916548e-05
token_internal_glyph,initial,Wq,2,7.278815008916548e-05
token_internal_glyph,initial,A4,1,3.639407504458274e-05
token_internal_glyph,initial,Ac,1,3.639407504458274e-05
token_internal_glyph,initial,Ad,1,3.639407504458274e-05
token_internal_glyph,initial,Ai,1,3.639407504458274e-05
token_internal_glyph,initial,An,1,3.639407504458274e-05
token_internal_glyph,initial,Ba,1,3.639407504458274e-05
token_internal_glyph,initial,Bi,1,3.639407504458274e-05
token_internal_glyph,initial,Ci,1,3.639407504458274e-05
token_internal_glyph,initial,Co,1,3.639407504458274e-05
token_internal_glyph,initial,Da,1,3.639407504458274e-05
token_internal_glyph,initial,Dc,1,3.639407504458274e-05
token_internal_glyph,initial,E1,1,3.639407504458274e-05
token_internal_glyph,initial,F2,1,3.639407504458274e-05
token_internal_glyph,initial,G1,1,3.639407504458274e-05
token_internal_glyph,initial,H1,1,3.639407504458274e-05
token_internal_glyph,initial,Ja,1,3.639407504458274e-05
token_internal_glyph,initial,Kb,1,3.639407504458274e-05
token_internal_glyph,initial,Kd,1,3.639407504458274e-05
token_internal_glyph,initial,Ke,1,3.639407504458274e-05
token_internal_glyph,initial,Kj,1,3.639407504458274e-05
token_internal_glyph,initial,Kk,1,3.639407504458274e-05
token_internal_glyph,initial,Km,1,3.639407504458274e-05
token_internal_glyph,initial,Lo,1,3.639407504458274e-05
token_internal_glyph,initial,Ma,1,3.639407504458274e-05
token_internal_glyph,initial,Md,1,3.639407504458274e-05
token_internal_glyph,initial,Pd,1,3.639407504458274e-05
token_internal_glyph,initial,Pe,1,3.639407504458274e-05
token_internal_glyph,initial,Pf,1,3.639407504458274e-05
token_internal_glyph,initial,Pg,1,3.639407504458274e-05
token_internal_glyph,initial,Ph,1,3.639407504458274e-05
token_internal_glyph,initial,Pj,1,3.639407504458274e-05
token_internal_glyph,initial,Qf,1,3.639407504458274e-05
token_internal_glyph,initial,Qh,1,3.639407504458274e-05
token_internal_glyph,initial,Qi,1,3.639407504458274e-05
token_internal_glyph,initial,Qj,1,3.639407504458274e-05
token_internal_glyph,initial,Ra,1,3.639407504458274e-05
token_internal_glyph,initial,Rd,1,3.639407504458274e-05
token_internal_glyph,initial,Rf,1,3.639407504458274e-05
token_internal_glyph,initial,Sd,1,3.639407504458274e-05
token_internal_glyph,initial,Sf,1,3.639407504458274e-05
token_internal_glyph,initial,Tb,1,3.639407504458274e-05
token_internal_glyph,initial,Tc,1,3.639407504458274e-05
token_internal_glyph,initial,Te,1,3.639407504458274e-05
token_internal_glyph,initial,Tf,1,3.639407504458274e-05
token_internal_glyph,initial,Tg,1,3.639407504458274e-05
token_internal_glyph,initial,Th,1,3.639407504458274e-05
token_internal_glyph,initial,Tj,1,3.639407504458274e-05
token_internal_glyph,initial,Tk,1,3.639407504458274e-05
token_internal_glyph,initial,Tn,1,3.639407504458274e-05
token_internal_glyph,initial,To,1,3.639407504458274e-05
token_internal_glyph,initial,Tp,1,3.639407504458274e-05
token_internal_glyph,initial,Uf,1,3.639407504458274e-05
token_internal_glyph,initial,Uh,1,3.639407504458274e-05
token_internal_glyph,initial,Ui,1,3.639407504458274e-05
token_internal_glyph,initial,Uj,1,3.639407504458274e-05
token_internal_glyph,initial,Uk,1,3.639407504458274e-05
token_internal_glyph,initial,Ul,1,3.639407504458274e-05
token_internal_glyph,initial,Um,1,3.639407504458274e-05
token_internal_glyph,initial,Un,1,3.639407504458274e-05
token_internal_glyph,initial,Vd,1,3.639407504458274e-05
token_internal_glyph,initial,Wb,1,3.639407504458274e-05
token_internal_glyph,initial,Wf,1,3.639407504458274e-05
token_internal_glyph,initial,Wg,1,3.639407504458274e-05
token_internal_glyph,initial,Wo,1,3.639407504458274e-05
token_internal_glyph,initial,Wp,1,3.639407504458274e-05
token_internal_glyph,initial,X2,1,3.639407504458274e-05
token_internal_glyph,initial,Xg,1,3.639407504458274e-05
token_internal_glyph,initial,Xk,1,3.639407504458274e-05
token_internal_glyph,initial,Xl,1,3.639407504458274e-05
token_internal_glyph,initial,Xm,1,3.639407504458274e-05
token_internal_glyph,initial,Xn,1,3.639407504458274e-05
token_internal_glyph,initial,Ys,1,3.639407504458274e-05
token_internal_glyph,medial,A1,10956,0.19205553413035095
token_internal_glyph,medial,A3,8933,0.15659292500788838
token_internal_glyph,medial,J1,7043,0.12346176769624513
token_internal_glyph,medial,B1,6511,0.11413596045296778
token_internal_glyph,medial,Q1,6047,0.10600217368439505
token_internal_glyph,medial,Q2,3589,0.06291413946639554
token_internal_glyph,medial,K1,3545,0.062142832100410196
token_internal_glyph,medial,K2,3142,0.05507835781649897
token_internal_glyph,medial,B2,2266,0.039722329348245274
token_internal_glyph,medial,L1,856,0.015005434210987625
token_internal_glyph,medial,C1,853,0.014952845072397714
token_internal_glyph,medial,P1,639,0.011201486519650809
token_internal_glyph,medial,U1,456,0.007993549065666305
token_internal_glyph,medial,A2,384,0.0067314097395084664
token_internal_glyph,medial,U2,313,0.0054868001262139325
token_internal_glyph,medial,C2,266,0.0046629036216386775
token_internal_glyph,medial,M1,265,0.004645373908775374
token_internal_glyph,medial,P2,207,0.003628650562703783
token_internal_glyph,medial,E1,142,0.0024892192265890687
token_internal_glyph,medial,F3,102,0.0017880307120569365
token_internal_glyph,medial,F2,63,0.0011043719103881078
token_internal_glyph,medial,T1,58,0.0010167233460715913
token_internal_glyph,medial,G1,40,0.000701188514532132
token_internal_glyph,medial,B3,33,0.0005784805244890089
token_internal_glyph,medial,T2,25,0.0004382428215825825
token_internal_glyph,medial,U3,25,0.0004382428215825825
token_internal_glyph,medial,F1,23,0.00040318339585597587
token_internal_glyph,medial,D1,21,0.0003681239701293693
token_internal_glyph,medial,W2,15,0.00026294569294954946
token_internal_glyph,medial,G3,14,0.0002454159800862462
token_internal_glyph,medial,U4,13,0.0002278862672229429
token_internal_glyph,medial,Lb,12,0.00021035655435963958
token_internal_glyph,medial,W1,11,0.0001928268414963363
token_internal_glyph,medial,X1,10,0.000175297128633033
token_internal_glyph,medial,B4,8,0.0001402377029064264
token_internal_glyph,medial,G2,8,0.0001402377029064264
token_internal_glyph,medial,S1,8,0.0001402377029064264
token_internal_glyph,medial,V1,8,0.0001402377029064264
token_internal_glyph,medial,N1,7,0.0001227079900431231
token_internal_glyph,medial,B5,6,0.00010517827717981979
token_internal_glyph,medial,Ka,6,0.00010517827717981979
token_internal_glyph,medial,T3,6,0.00010517827717981979
token_internal_glyph,medial,Tb,6,0.00010517827717981979
token_internal_glyph,medial,E2,5,8.76485643165165e-05
token_internal_glyph,medial,V2,5,8.76485643165165e-05
token_internal_glyph,medial,Lg,4,7.01188514532132e-05
