base_family_json,occurrences,distinct_suffixes,lag16_pairs,lag16_matches,lag16_match_rate
"[""B1"",""A3""]",1900,13,1884,526,0.2791932059447983
"[""A3""]",1548,14,1532,335,0.21866840731070497
"[""A1""]",1124,25,1108,451,0.40703971119133575
"[""D1"",""A1"",""Q1"",""A3""]",964,12,948,261,0.27531645569620256
"[""A1"",""Q1"",""A3""]",735,13,719,149,0.20723226703755215
"[""K1"",""A1""]",709,17,693,281,0.4054834054834055
"[""A1"",""Q2"",""A3""]",626,12,610,131,0.21475409836065573
"[""K1"",""J1"",""B1""]",512,4,496,486,0.9798387096774194
"[""K1"",""J1""]",505,10,489,265,0.5419222903885481
"[""L1"",""J1"",""B1""]",436,3,420,416,0.9904761904761905
"[""L1"",""J1""]",380,13,364,211,0.5796703296703297
"[""C2"",""A3""]",375,13,359,85,0.23676880222841226
"[""D1"",""A1"",""Q1"",""K2""]",353,6,337,254,0.7537091988130564
"[""B1""]",334,16,318,221,0.6949685534591195
"[""K1""]",327,21,311,113,0.3633440514469453
"[""L1"",""A1""]",325,11,309,135,0.4368932038834951
"[""K1"",""J1"",""A1""]",324,10,308,121,0.39285714285714285
"[""D1"",""A1"",""Q1"",""K2"",""B1""]",307,1,291,291,1.0
"[""D1"",""A1"",""Q2"",""A3""]",285,10,269,54,0.20074349442379183
"[""L1""]",285,13,269,92,0.3420074349442379
"[""D1"",""A1"",""Q1"",""J1"",""B1""]",276,1,260,260,1.0
"[""K1"",""K2""]",246,7,230,137,0.5956521739130435
"[""Q1"",""A3""]",240,11,224,54,0.24107142857142858
"[""K1"",""A3""]",235,12,219,55,0.2511415525114155
"[""A1"",""Q1"",""K2""]",230,7,214,138,0.6448598130841121
"[""D1"",""A1""]",224,14,208,110,0.5288461538461539
"[""B1"",""A1""]",210,9,194,81,0.4175257731958763
"[""L1"",""J1"",""A1""]",189,9,173,68,0.3930635838150289
"[""L1"",""K2""]",183,7,167,115,0.688622754491018
"[""A1"",""Q2"",""K2""]",176,5,160,113,0.70625
"[""D1"",""A1"",""Q1""]",170,12,154,114,0.7402597402597403
"[""A1"",""Q2"",""J1"",""B1""]",165,1,149,149,1.0
"[""C2"",""A1""]",159,11,143,42,0.2937062937062937
"[""D1"",""A1"",""Q1"",""A1""]",151,10,135,59,0.43703703703703706
"[""A1"",""B1"",""A3""]",149,10,133,25,0.18796992481203006
"[""K1"",""B1""]",148,3,132,129,0.9772727272727273
"[""K1"",""U1""]",145,4,129,119,0.9224806201550387
"[""Q2"",""A3""]",145,11,129,32,0.24806201550387597
"[""C1"",""A3""]",141,10,125,30,0.24
"[""A1"",""Q2""]",138,9,122,92,0.7540983606557377
"[""A1"",""Q1"",""A1""]",136,7,120,52,0.43333333333333335
"[""A1"",""Q2"",""A1""]",135,7,119,59,0.4957983193277311
"[""B2"",""Q1"",""A3""]",132,9,116,22,0.1896551724137931
"[""D1"",""A1"",""Q1"",""J1""]",128,6,112,77,0.6875
"[""K1"",""J1"",""B1"",""A3""]",128,9,112,22,0.19642857142857142
"[""U2""]",127,7,111,75,0.6756756756756757
"[""A1"",""Q1"",""J1"",""B1""]",121,2,105,103,0.9809523809523809
"[""A2"",""Q1"",""A3""]",121,9,105,24,0.22857142857142856
"[""B2"",""K1"",""J1"",""B1""]",118,3,102,99,0.9705882352941176
"[""A1"",""B2"",""Q1"",""A3""]",117,8,101,32,0.31683168316831684
"[""A1"",""Q1""]",116,8,100,86,0.86
"[""U2"",""A1""]",114,8,98,41,0.41836734693877553
"[""A1"",""Q1"",""K2"",""B1""]",111,1,95,95,1.0
"[""A2"",""Q2"",""A3""]",109,8,93,18,0.1935483870967742
"[""A1"",""Q1"",""J1"",""A1""]",108,6,92,44,0.4782608695652174
"[""A1"",""Q2"",""K2"",""B1""]",107,2,91,89,0.978021978021978
"[""A1"",""B2""]",100,9,84,43,0.5119047619047619
"[""A1"",""B2"",""A3""]",99,9,83,25,0.30120481927710846
"[""D1"",""A1"",""Q2""]",98,6,82,67,0.8170731707317073
"[""K1"",""J1"",""A3""]",98,8,82,28,0.34146341463414637
"[""K1"",""A1"",""B1""]",96,4,80,74,0.925
"[""B2"",""A1""]",95,8,79,27,0.34177215189873417
"[""L1"",""A3""]",95,9,79,20,0.25316455696202533
"[""K1"",""J1"",""A1"",""B1""]",93,3,77,73,0.948051948051948
"[""A1"",""Q1"",""J1""]",90,5,74,44,0.5945945945945946
"[""D1"",""A1"",""Q1"",""J1"",""A1""]",89,7,73,29,0.3972602739726027
"[""D1"",""A1"",""Q2"",""J1"",""B1""]",89,1,73,73,1.0
"[""D1"",""A1"",""Q1"",""K1""]",86,5,70,44,0.6285714285714286
"[""K1"",""U2""]",85,3,69,63,0.9130434782608695
"[""A1"",""C1"",""A3""]",84,8,68,20,0.29411764705882354
"[""A1"",""Q2"",""J1""]",84,5,68,36,0.5294117647058824
"[""L1"",""K2"",""B1""]",84,2,68,67,0.9852941176470589
"[""A1"",""Q2"",""J1"",""A1""]",81,7,65,16,0.24615384615384617
"[""K1"",""B1"",""A3""]",81,6,65,8,0.12307692307692308
"[""D1"",""A1"",""B1"",""A3""]",79,7,63,23,0.36507936507936506
"[""Q2"",""A1""]",79,8,63,25,0.3968253968253968
"[""D1"",""A1"",""Q2"",""A1""]",78,8,62,25,0.4032258064516129
"[""D1"",""A1"",""Q2"",""K2"",""B1""]",78,2,62,60,0.967741935483871
"[""Q1"",""A1""]",78,7,62,21,0.3387096774193548
"[""K1"",""A1"",""B1"",""A3""]",77,6,61,28,0.45901639344262296
"[""D1"",""A1"",""Q2"",""K1""]",76,4,60,41,0.6833333333333333
"[""Q1"",""K2""]",74,6,58,34,0.5862068965517241
"[""A2"",""Q1"",""K2""]",73,5,57,33,0.5789473684210527
"[""K1"",""J1"",""Q1""]",67,2,51,50,0.9803921568627451
"[""B2""]",65,11,49,9,0.1836734693877551
"[""Q1"",""K2"",""B1""]",62,1,46,46,1.0
"[""A1"",""A3""]",60,7,44,11,0.25
"[""B2"",""K1"",""J1""]",60,5,44,30,0.6818181818181818
"[""L1"",""U1""]",60,1,44,44,1.0
"[""A1"",""B2"",""A1""]",59,7,43,18,0.4186046511627907
"[""B1"",""K1"",""A1""]",59,6,43,16,0.37209302325581395
"[""K1"",""K2"",""B1""]",59,1,43,43,1.0
"[""U2"",""J1""]",59,4,43,33,0.7674418604651163
"[""A3"",""C1"",""A3""]",58,9,42,3,0.07142857142857142
"[""A1"",""Q2"",""K1""]",57,7,41,26,0.6341463414634146
"[""K1"",""Q1"",""A3""]",56,6,40,6,0.15
"[""L1"",""J1"",""A3""]",56,6,40,14,0.35
"[""A1"",""B1""]",55,5,39,30,0.7692307692307693
"[""D1"",""A1"",""Q2"",""K2""]",54,4,38,23,0.6052631578947368
"[""L1"",""A1"",""B1""]",54,2,38,37,0.9736842105263158
"[""D1""]",53,4,37,30,0.8108108108108109
"[""Q1"",""K1"",""A1""]",53,6,37,14,0.3783783783783784
"[""D1"",""A1"",""Q1"",""K1"",""B1""]",51,1,35,35,1.0
"[""A1"",""P1"",""A3""]",50,7,34,8,0.23529411764705882
"[""A1"",""Q2"",""K1"",""A1""]",50,5,34,18,0.5294117647058824
"[""K1"",""J1"",""U1""]",50,3,34,31,0.9117647058823529
"[""L1"",""J1"",""B1"",""A3""]",50,7,34,6,0.17647058823529413
"[""A1"",""P1"",""K1"",""J1"",""B1""]",49,1,33,33,1.0
"[""C2""]",49,5,33,21,0.6363636363636364
"[""L1"",""J1"",""A1"",""B1""]",49,1,33,33,1.0
"[""Q1"",""J1"",""B1""]",48,2,32,31,0.96875
"[""A1"",""Q1"",""K1""]",47,5,31,12,0.3870967741935484
"[""K1"",""A1"",""Q1"",""A3""]",47,7,31,7,0.22580645161290322
"[""Q1"",""K1""]",47,5,31,20,0.6451612903225806
"[""D1"",""A1"",""A3""]",46,7,30,6,0.2
"[""L1"",""B1""]",46,2,30,29,0.9666666666666667
"[""A1"",""B2"",""Q1"",""K2"",""B1""]",45,1,29,29,1.0
"[""A1"",""B2"",""Q1"",""K2""]",45,3,29,22,0.7586206896551724
"[""B1"",""A3"",""B2""]",45,5,29,15,0.5172413793103449
