lag,match_rate,matches,pairs,primary_period
1,0.5253023851689965,13941,26539,False
2,0.5202270303214993,13657,26252,False
3,0.5133448873483536,13329,25965,False
4,0.5140587273152115,13200,25678,False
5,0.5063211374108936,12856,25391,False
6,0.5064929891650733,12715,25104,False
7,0.5055808518354354,12547,24817,False
8,0.5053811659192825,12397,24530,False
9,0.4998556284288248,12118,24243,False
10,0.5031724828852897,12054,23956,False
11,0.4949512019941696,11715,23669,False
12,0.4977332991189804,11638,23382,False
13,0.49738038536479756,11487,23095,False
14,0.49316029463346195,11248,22808,False
15,0.49087518316238177,11055,22521,False
16,0.48596743725825314,10805,22234,True
32,0.45909965782720275,,18704,False
